## EBL from Khaire & Srianand 2018; Q14 Model with alpha=-1.4 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.466520e-37
 1.122019e-08     3.586122e-37
 1.258925e-08     5.135030e-37
 1.412538e-08     7.211394e-37
 1.584893e-08     9.931622e-37
 1.778279e-08     1.343132e-36
 1.995263e-08     1.786665e-36
 2.238721e-08     2.341641e-36
 2.511887e-08     3.028515e-36
 2.818382e-08     3.870661e-36
 3.162278e-08     4.894866e-36
 3.548135e-08     6.131834e-36
 3.981071e-08     7.616856e-36
 4.466837e-08     9.390596e-36
 5.011870e-08     1.149989e-35
 5.623413e-08     1.399890e-35
 6.309576e-08     1.695018e-35
 7.079456e-08     2.042606e-35
 7.943284e-08     2.451040e-35
 8.912505e-08     2.930016e-35
 1.000000e-07     3.490784e-35
 1.122019e-07     4.146365e-35
 1.258925e-07     4.911846e-35
 1.412538e-07     5.804740e-35
 1.584892e-07     6.845300e-35
 1.778279e-07     8.057058e-35
 1.995263e-07     9.467246e-35
 2.238721e-07     1.110742e-34
 2.511887e-07     1.301420e-34
 2.818382e-07     1.522998e-34
 3.162278e-07     1.780394e-34
 3.548136e-07     2.079306e-34
 3.981071e-07     2.426331e-34
 4.466837e-07     2.829129e-34
 5.011870e-07     3.296562e-34
 5.623413e-07     3.838914e-34
 6.309576e-07     4.468092e-34
 7.079456e-07     5.197891e-34
 7.943284e-07     6.044320e-34
 8.912505e-07     7.025898e-34
 1.000000e-06     8.164125e-34
 1.122019e-06     9.483881e-34
 1.258925e-06     1.101399e-33
 1.412538e-06     1.278793e-33
 1.584893e-06     1.484438e-33
 1.778279e-06     1.722823e-33
 1.995263e-06     1.999154e-33
 2.238721e-06     2.319453e-33
 2.511887e-06     2.690707e-33
 2.818382e-06     3.121006e-33
 3.162278e-06     3.619735e-33
 3.548136e-06     4.197758e-33
 3.981071e-06     4.867661e-33
 4.466837e-06     5.644051e-33
 5.011870e-06     6.543821e-33
 5.623413e-06     7.586586e-33
 6.309576e-06     8.795044e-33
 7.079456e-06     1.019549e-32
 7.943284e-06     1.181845e-32
 8.912505e-06     1.369921e-32
 1.000000e-05     1.587876e-32
 1.122019e-05     1.840451e-32
 1.258925e-05     2.133142e-32
 1.412538e-05     2.472325e-32
 1.584893e-05     2.865376e-32
 1.778279e-05     3.320851e-32
 1.995263e-05     3.848665e-32
 2.238721e-05     4.460298e-32
 2.511887e-05     5.169065e-32
 2.818382e-05     5.990380e-32
 3.162278e-05     6.942130e-32
 3.548135e-05     8.045013e-32
 3.981071e-05     9.323022e-32
 4.466837e-05     1.080398e-31
 5.011870e-05     1.252009e-31
 5.623413e-05     1.450871e-31
 6.309577e-05     1.681311e-31
 7.079457e-05     1.948339e-31
 7.943284e-05     2.257770e-31
 8.912505e-05     2.616330e-31
 1.000000e-04     3.031828e-31
 1.122018e-04     3.513295e-31
 1.258926e-04     4.070615e-31
 1.412538e-04     4.704460e-31
 1.584893e-04     5.433704e-31
 1.778279e-04     6.277690e-31
 1.995262e-04     7.257492e-31
 2.238722e-04     8.397053e-31
 2.511887e-04     9.724136e-31
 2.818383e-04     1.127130e-30
 3.162278e-04     1.307686e-30
 3.548134e-04     1.518603e-30
 3.981073e-04     1.765226e-30
 4.466837e-04     2.053872e-30
 5.011873e-04     2.392020e-30
 5.623413e-04     2.788530e-30
 6.309572e-04     3.253903e-30
 7.079460e-04     3.800601e-30
 7.943284e-04     4.443400e-30
 8.912510e-04     5.199861e-30
 1.000000e-03     6.090854e-30
 1.122018e-03     7.141182e-30
 1.258926e-03     8.380380e-30
 1.412538e-03     9.843555e-30
 1.584893e-03     1.157256e-29
 1.778279e-03     1.361724e-29
 1.995262e-03     1.603703e-29
 2.238722e-03     1.890280e-29
 2.511887e-03     2.229906e-29
 2.818383e-03     2.632675e-29
 3.162278e-03     3.110635e-29
 3.548133e-03     3.678173e-29
 3.981073e-03     4.352491e-29
 4.466837e-03     5.154139e-29
 5.011873e-03     6.107723e-29
 5.623413e-03     7.242768e-29
 6.309573e-03     8.594878e-29
 7.079460e-03     1.020739e-28
 7.943284e-03     1.213371e-28
 8.912510e-03     1.444081e-28
 1.000000e-02     1.721389e-28
 1.122019e-02     2.056248e-28
 1.258925e-02     2.462763e-28
 1.412538e-02     2.959008e-28
 1.584894e-02     3.567809e-28
 1.778279e-02     4.317521e-28
 1.995263e-02     5.242731e-28
 2.238721e-02     6.384802e-28
 2.511887e-02     7.792485e-28
 2.818385e-02     9.522439e-28
 3.162277e-02     1.163991e-27
 3.548136e-02     1.421978e-27
 3.981071e-02     1.734757e-27
 4.466837e-02     2.112149e-27
 5.011876e-02     2.565439e-27
 5.623413e-02     3.107675e-27
 6.309576e-02     3.754056e-27
 7.079456e-02     4.522322e-27
 7.943284e-02     5.433352e-27
 8.912515e-02     6.511756e-27
 1.000000e-01     7.786652e-27
 1.122019e-01     9.293554e-27
 1.258925e-01     1.103561e-26
 1.412538e-01     1.297084e-26
 1.584894e-01     1.507051e-26
 1.778279e-01     1.731350e-26
 1.995263e-01     1.968326e-26
 2.238721e-01     2.216607e-26
 2.511887e-01     2.475068e-26
 2.818385e-01     2.742786e-26
 3.162278e-01     3.016535e-26
 3.548135e-01     3.271801e-26
 3.981071e-01     3.523732e-26
 4.466837e-01     3.780198e-26
 5.011876e-01     4.045358e-26
 5.623413e-01     4.321760e-26
 6.309576e-01     4.611468e-26
 7.079456e-01     4.916610e-26
 7.943284e-01     5.239679e-26
 8.912515e-01     5.583668e-26
 1.000000e+00     5.952198e-26
 1.122019e+00     6.349623e-26
 1.258925e+00     6.781119e-26
 1.412538e+00     7.252860e-26
 1.584894e+00     7.772136e-26
 1.778279e+00     8.347568e-26
 1.995263e+00     8.989350e-26
 2.238721e+00     9.709487e-26
 2.511887e+00     1.052216e-25
 2.818385e+00     1.144407e-25
 3.162278e+00     1.249487e-25
 3.548136e+00     1.369771e-25
 3.981071e+00     1.507968e-25
 4.466837e+00     1.667252e-25
 5.011876e+00     1.851310e-25
 5.623413e+00     2.064397e-25
 6.309576e+00     2.310853e-25
 7.079456e+00     2.589583e-25
 7.943284e+00     2.911070e-25
 8.912516e+00     3.284185e-25
 1.000000e+01     3.716830e-25
 1.122019e+01     4.215796e-25
 1.258925e+01     4.785707e-25
 1.412538e+01     5.429805e-25
 1.584894e+01     6.148658e-25
 1.778279e+01     6.942674e-25
 1.995263e+01     7.790254e-25
 2.238721e+01     8.587508e-25
 2.511887e+01     9.505580e-25
 2.818385e+01     1.037135e-24
 3.162278e+01     1.107909e-24
 3.548135e+01     1.171128e-24
 3.981071e+01     1.221450e-24
 4.466837e+01     1.244741e-24
 5.011876e+01     1.255451e-24
 5.623413e+01     1.251134e-24
 6.309576e+01     1.239945e-24
 7.079456e+01     1.223246e-24
 7.943284e+01     1.208957e-24
 8.912515e+01     1.196092e-24
 1.000000e+02     1.186006e-24
 1.120000e+02     1.176743e-24
 1.250000e+02     1.166124e-24
 1.400000e+02     1.152045e-24
 1.550000e+02     1.136313e-24
 1.650000e+02     1.125098e-24
 1.750000e+02     1.113684e-24
 1.850000e+02     1.103748e-24
 1.900000e+02     1.101808e-24
 1.950000e+02     1.105454e-24
 2.000000e+02     1.123016e-24
 2.050000e+02     1.172157e-24
 2.100000e+02     1.288059e-24
 2.150000e+02     1.542266e-24
 2.180000e+02     1.813798e-24
 2.210000e+02     2.229296e-24
 2.240000e+02     2.856156e-24
 2.260000e+02     3.438121e-24
 2.270000e+02     3.791670e-24
 2.275000e+02     3.986323e-24
 2.278400e+02     4.126637e-24
 2.380000e+02     1.714723e-23
 2.500000e+02     3.101401e-23
 2.700000e+02     4.677349e-23
 2.900000e+02     5.779336e-23
 3.035000e+02     6.373174e-23
 3.037800e+02     1.253951e-22
 3.045000e+02     1.231208e-22
 3.060000e+02     1.195326e-22
 3.080000e+02     1.147759e-22
 3.100000e+02     1.106784e-22
 3.120000e+02     1.067175e-22
 3.150000e+02     1.018125e-22
 3.200000e+02     9.518053e-23
 3.250000e+02     9.014031e-23
 3.300000e+02     8.664499e-23
 3.400000e+02     8.295141e-23
 3.600000e+02     8.299057e-23
 3.800000e+02     8.709286e-23
 4.050000e+02     9.354287e-23
