## EBL from Khaire & Srianand 2018; Q14 Model with alpha=-1.4 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.363685e-37
 1.122019e-08     3.446570e-37
 1.258925e-08     4.998375e-37
 1.412538e-08     7.178571e-37
 1.584893e-08     1.017867e-36
 1.778279e-08     1.422355e-36
 1.995263e-08     1.957323e-36
 2.238721e-08     2.652579e-36
 2.511887e-08     3.542215e-36
 2.818382e-08     4.665159e-36
 3.162278e-08     6.065946e-36
 3.548135e-08     7.795499e-36
 3.981071e-08     9.912154e-36
 4.466837e-08     1.248286e-35
 5.011870e-08     1.558442e-35
 5.623413e-08     1.930530e-35
 6.309576e-08     2.374728e-35
 7.079456e-08     2.902774e-35
 7.943284e-08     3.528235e-35
 8.912505e-08     4.266768e-35
 1.000000e-07     5.136513e-35
 1.122019e-07     6.158443e-35
 1.258925e-07     7.356833e-35
 1.412538e-07     8.759848e-35
 1.584892e-07     1.040005e-34
 1.778279e-07     1.231526e-34
 1.995263e-07     1.454924e-34
 2.238721e-07     1.715271e-34
 2.511887e-07     2.018449e-34
 2.818382e-07     2.371272e-34
 3.162278e-07     2.781644e-34
 3.548136e-07     3.258721e-34
 3.981071e-07     3.813106e-34
 4.466837e-07     4.457111e-34
 5.011870e-07     5.204977e-34
 5.623413e-07     6.073238e-34
 6.309576e-07     7.081034e-34
 7.079456e-07     8.250539e-34
 7.943284e-07     9.607489e-34
 8.912505e-07     1.118165e-33
 1.000000e-06     1.300759e-33
 1.122019e-06     1.512532e-33
 1.258925e-06     1.758118e-33
 1.412538e-06     2.042896e-33
 1.584893e-06     2.373087e-33
 1.778279e-06     2.755911e-33
 1.995263e-06     3.199734e-33
 2.238721e-06     3.714240e-33
 2.511887e-06     4.310664e-33
 2.818382e-06     5.002012e-33
 3.162278e-06     5.803373e-33
 3.548136e-06     6.732218e-33
 3.981071e-06     7.808779e-33
 4.466837e-06     9.056543e-33
 5.011870e-06     1.050267e-32
 5.623413e-06     1.217872e-32
 6.309576e-06     1.412116e-32
 7.079456e-06     1.637228e-32
 7.943284e-06     1.898116e-32
 8.912505e-06     2.200454e-32
 1.000000e-05     2.550833e-32
 1.122019e-05     2.956878e-32
 1.258925e-05     3.427421e-32
 1.412538e-05     3.972718e-32
 1.584893e-05     4.604627e-32
 1.778279e-05     5.336906e-32
 1.995263e-05     6.185499e-32
 2.238721e-05     7.168860e-32
 2.511887e-05     8.308406e-32
 2.818382e-05     9.628918e-32
 3.162278e-05     1.115915e-31
 3.548135e-05     1.293240e-31
 3.981071e-05     1.498722e-31
 4.466837e-05     1.736837e-31
 5.011870e-05     2.012762e-31
 5.623413e-05     2.332506e-31
 6.309577e-05     2.703024e-31
 7.079457e-05     3.132371e-31
 7.943284e-05     3.629899e-31
 8.912505e-05     4.206423e-31
 1.000000e-04     4.874497e-31
 1.122018e-04     5.648647e-31
 1.258926e-04     6.545652e-31
 1.412538e-04     7.581014e-31
 1.584893e-04     8.774820e-31
 1.778279e-04     1.015150e-30
 1.995262e-04     1.174047e-30
 2.238722e-04     1.357721e-30
 2.511887e-04     1.570423e-30
 2.818383e-04     1.817209e-30
 3.162278e-04     2.104047e-30
 3.548134e-04     2.437959e-30
 3.981073e-04     2.827204e-30
 4.466837e-04     3.281503e-30
 5.011873e-04     3.812313e-30
 5.623413e-04     4.433160e-30
 6.309572e-04     5.160034e-30
 7.079460e-04     6.011864e-30
 7.943284e-04     7.011055e-30
 8.912510e-04     8.184181e-30
 1.000000e-03     9.562773e-30
 1.122018e-03     1.118424e-29
 1.258926e-03     1.309307e-29
 1.412538e-03     1.534206e-29
 1.584893e-03     1.799407e-29
 1.778279e-03     2.112387e-29
 1.995262e-03     2.482048e-29
 2.238722e-03     2.918993e-29
 2.511887e-03     3.435854e-29
 2.818383e-03     4.047697e-29
 3.162278e-03     4.772491e-29
 3.548133e-03     5.631668e-29
 3.981073e-03     6.650829e-29
 4.466837e-03     7.860522e-29
 5.011873e-03     9.297270e-29
 5.623413e-03     1.100474e-28
 6.309573e-03     1.303528e-28
 7.079460e-03     1.545183e-28
 7.943284e-03     1.833052e-28
 8.912510e-03     2.176428e-28
 1.000000e-02     2.586786e-28
 1.122019e-02     3.078457e-28
 1.258925e-02     3.669514e-28
 1.412538e-02     4.382934e-28
 1.584894e-02     5.247884e-28
 1.778279e-02     6.301275e-28
 1.995263e-02     7.589418e-28
 2.238721e-02     9.169644e-28
 2.511887e-02     1.111209e-27
 2.818385e-02     1.350134e-27
 3.162277e-02     1.643805e-27
 3.548136e-02     2.004091e-27
 3.981071e-02     2.444821e-27
 4.466837e-02     2.982056e-27
 5.011876e-02     3.634321e-27
 5.623413e-02     4.422976e-27
 6.309576e-02     5.372694e-27
 7.079456e-02     6.511968e-27
 7.943284e-02     7.873922e-27
 8.912515e-02     9.497117e-27
 1.000000e-01     1.142669e-26
 1.122019e-01     1.371586e-26
 1.258925e-01     1.641785e-26
 1.412538e-01     1.956498e-26
 1.584894e-01     2.317411e-26
 1.778279e-01     2.724533e-26
 1.995263e-01     3.176317e-26
 2.238721e-01     3.669998e-26
 2.511887e-01     4.202119e-26
 2.818385e-01     4.768986e-26
 3.162278e-01     5.366709e-26
 3.548135e-01     5.982755e-26
 3.981071e-01     6.610376e-26
 4.466837e-01     7.245424e-26
 5.011876e-01     7.886328e-26
 5.623413e-01     8.534391e-26
 6.309576e-01     9.193387e-26
 7.079456e-01     9.868697e-26
 7.943284e-01     1.056661e-25
 8.912515e-01     1.129386e-25
 1.000000e+00     1.205753e-25
 1.122019e+00     1.286526e-25
 1.258925e+00     1.372550e-25
 1.412538e+00     1.464796e-25
 1.584894e+00     1.564388e-25
 1.778279e+00     1.672651e-25
 1.995263e+00     1.791152e-25
 2.238721e+00     1.921738e-25
 2.511887e+00     2.066599e-25
 2.818385e+00     2.228320e-25
 3.162278e+00     2.409957e-25
 3.548136e+00     2.615126e-25
 3.981071e+00     2.848095e-25
 4.466837e+00     3.113922e-25
 5.011876e+00     3.418578e-25
 5.623413e+00     3.769125e-25
 6.309576e+00     4.173854e-25
 7.079456e+00     4.640146e-25
 7.943284e+00     5.178719e-25
 8.912516e+00     5.803011e-25
 1.000000e+01     6.529431e-25
 1.122019e+01     7.377787e-25
 1.258925e+01     8.371450e-25
