## EBL from Khaire & Srianand 2018; Q14 Model with alpha=-1.4 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     8.807931e-37
 1.122019e-08     1.281774e-36
 1.258925e-08     1.841978e-36
 1.412538e-08     2.600987e-36
 1.584893e-08     3.604792e-36
 1.778279e-08     4.906593e-36
 1.995263e-08     6.567583e-36
 2.238721e-08     8.657881e-36
 2.511887e-08     1.125779e-35
 2.818382e-08     1.445909e-35
 3.162278e-08     1.836696e-35
 3.548135e-08     2.310190e-35
 3.981071e-08     2.880227e-35
 4.466837e-08     3.562741e-35
 5.011870e-08     4.376069e-35
 5.623413e-08     5.341405e-35
 6.309576e-08     6.483204e-35
 7.079456e-08     7.829745e-35
 7.943284e-08     9.413796e-35
 8.912505e-08     1.127323e-34
 1.000000e-07     1.345199e-34
 1.122019e-07     1.600094e-34
 1.258925e-07     1.897898e-34
 1.412538e-07     2.245451e-34
 1.584892e-07     2.650660e-34
 1.778279e-07     3.122715e-34
 1.995263e-07     3.672248e-34
 2.238721e-07     4.311582e-34
 2.511887e-07     5.055016e-34
 2.818382e-07     5.919102e-34
 3.162278e-07     6.923048e-34
 3.548136e-07     8.089097e-34
 3.981071e-07     9.443017e-34
 4.466837e-07     1.101472e-33
 5.011870e-07     1.283880e-33
 5.623413e-07     1.495542e-33
 6.309576e-07     1.741109e-33
 7.079456e-07     2.025967e-33
 7.943284e-07     2.356368e-33
 8.912505e-07     2.739542e-33
 1.000000e-06     3.183887e-33
 1.122019e-06     3.699118e-33
 1.258925e-06     4.296492e-33
 1.412538e-06     4.989077e-33
 1.584893e-06     5.791984e-33
 1.778279e-06     6.722748e-33
 1.995263e-06     7.801687e-33
 2.238721e-06     9.052320e-33
 2.511887e-06     1.050194e-32
 2.818382e-06     1.218213e-32
 3.162278e-06     1.412954e-32
 3.548136e-06     1.638661e-32
 3.981071e-06     1.900247e-32
 4.466837e-06     2.203418e-32
 5.011870e-06     2.554770e-32
 5.623413e-06     2.961963e-32
 6.309576e-06     3.433861e-32
 7.079456e-06     3.980734e-32
 7.943284e-06     4.614499e-32
 8.912505e-06     5.348941e-32
 1.000000e-05     6.200062e-32
 1.122019e-05     7.186382e-32
 1.258925e-05     8.329356e-32
 1.412538e-05     9.653890e-32
 1.584893e-05     1.118878e-31
 1.778279e-05     1.296745e-31
 1.995263e-05     1.502861e-31
 2.238721e-05     1.741710e-31
 2.511887e-05     2.018491e-31
 2.818382e-05     2.339225e-31
 3.162278e-05     2.710894e-31
 3.548135e-05     3.141584e-31
 3.981071e-05     3.640662e-31
 4.466837e-05     4.218996e-31
 5.011870e-05     4.889158e-31
 5.623413e-05     5.665743e-31
 6.309577e-05     6.565644e-31
 7.079457e-05     7.608425e-31
 7.943284e-05     8.816796e-31
 8.912505e-05     1.021703e-30
 1.000000e-04     1.183961e-30
 1.122018e-04     1.371981e-30
