## EBL from Khaire & Srianand 2018; Q14 Model with alpha=-1.4 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     3.977662e-46
 1.122019e-08     5.787359e-46
 1.258925e-08     8.219317e-46
 1.412538e-08     1.141791e-45
 1.584893e-08     1.555158e-45
 1.778279e-08     2.081283e-45
 1.995263e-08     2.742123e-45
 2.238721e-08     3.562701e-45
 2.511887e-08     4.571610e-45
 2.818382e-08     5.801528e-45
 3.162278e-08     7.289945e-45
 3.548135e-08     9.079885e-45
 3.981071e-08     1.122086e-44
 4.466837e-08     1.377000e-44
 5.011870e-08     1.679316e-44
 5.623413e-08     2.036657e-44
 6.309576e-08     2.457830e-44
 7.079456e-08     2.953026e-44
 7.943284e-08     3.534066e-44
 8.912505e-08     4.214616e-44
 1.000000e-07     5.010541e-44
 1.122019e-07     5.940202e-44
 1.258925e-07     7.024876e-44
 1.412538e-07     8.289264e-44
 1.584892e-07     9.761928e-44
 1.778279e-07     1.147606e-43
 1.995263e-07     1.347006e-43
 2.238721e-07     1.578844e-43
 2.511887e-07     1.848285e-43
 2.818382e-07     2.161308e-43
 3.162278e-07     2.524849e-43
 3.548136e-07     2.946941e-43
 3.981071e-07     3.436892e-43
 4.466837e-07     4.005503e-43
 5.011870e-07     4.665270e-43
 5.623413e-07     5.430697e-43
 6.309576e-07     6.318577e-43
 7.079456e-07     7.348363e-43
 7.943284e-07     8.542630e-43
 8.912505e-07     9.927494e-43
 1.000000e-06     1.153327e-42
 1.122019e-06     1.339506e-42
 1.258925e-06     1.555349e-42
 1.412538e-06     1.805577e-42
 1.584893e-06     2.095645e-42
 1.778279e-06     2.431887e-42
 1.995263e-06     2.821638e-42
 2.238721e-06     3.273393e-42
 2.511887e-06     3.797005e-42
 2.818382e-06     4.403882e-42
 3.162278e-06     5.107258e-42
 3.548136e-06     5.922453e-42
 3.981071e-06     6.867215e-42
 4.466837e-06     7.962143e-42
 5.011870e-06     9.231059e-42
 5.623413e-06     1.070162e-41
 6.309576e-06     1.240584e-41
 7.079456e-06     1.438080e-41
 7.943284e-06     1.666953e-41
 8.912505e-06     1.932181e-41
 1.000000e-05     2.239542e-41
 1.122019e-05     2.595724e-41
 1.258925e-05     3.008475e-41
 1.412538e-05     3.486788e-41
 1.584893e-05     4.041061e-41
 1.778279e-05     4.683364e-41
 1.995263e-05     5.427676e-41
 2.238721e-05     6.290183e-41
 2.511887e-05     7.289666e-41
 2.818382e-05     8.447860e-41
 3.162278e-05     9.789985e-41
 3.548135e-05     1.134523e-40
 3.981071e-05     1.314743e-40
 4.466837e-05     1.523582e-40
 5.011870e-05     1.765580e-40
 5.623413e-05     2.046008e-40
 6.309577e-05     2.370964e-40
 7.079457e-05     2.747515e-40
 7.943284e-05     3.183860e-40
 8.912505e-05     3.689485e-40
 1.000000e-04     4.275400e-40
 1.122018e-04     4.954343e-40
 1.258926e-04     5.739855e-40
 1.412538e-04     6.622638e-40
 1.584893e-04     7.645952e-40
 1.778279e-04     8.835180e-40
 1.995262e-04     1.021857e-39
 2.238722e-04     1.182939e-39
 2.511887e-04     1.370682e-39
 2.818383e-04     1.589709e-39
 3.162278e-04     1.845483e-39
 3.548134e-04     2.144453e-39
 3.981073e-04     2.494250e-39
 4.466837e-04     2.903899e-39
 5.011873e-04     3.384093e-39
 5.623413e-04     3.947501e-39
 6.309572e-04     4.609149e-39
 7.079460e-04     5.386871e-39
 7.943284e-04     6.301829e-39
 8.912510e-04     7.379180e-39
 1.000000e-03     8.648825e-39
 1.122018e-03     1.014633e-38
 1.258926e-03     1.191403e-38
 1.412538e-03     1.400231e-38
 1.584893e-03     1.647122e-38
 1.778279e-03     1.939231e-38
 1.995262e-03     2.285091e-38
 2.238722e-03     2.694882e-38
 2.511887e-03     3.180746e-38
 2.818383e-03     3.757185e-38
 3.162278e-03     4.441517e-38
 3.548133e-03     5.254427e-38
 3.981073e-03     6.220651e-38
 4.466837e-03     7.369750e-38
 5.011873e-03     8.737147e-38
 5.623413e-03     1.036541e-37
 6.309573e-03     1.230602e-37
 7.079460e-03     1.462200e-37
 7.943284e-03     1.739165e-37
 8.912510e-03     2.071407e-37
 1.000000e-02     2.471649e-37
 1.122019e-02     2.956346e-37
 1.258925e-02     3.546721e-37
 1.412538e-02     4.269882e-37
 1.584894e-02     5.159815e-37
 1.778279e-02     6.258313e-37
 1.995263e-02     7.615769e-37
 2.238721e-02     9.291733e-37
 2.511887e-02     1.135565e-36
 2.818385e-02     1.388750e-36
 3.162277e-02     1.697884e-36
 3.548136e-02     2.073434e-36
 3.981071e-02     2.527351e-36
 4.466837e-02     3.073370e-36
 5.011876e-02     3.727325e-36
 5.623413e-02     4.507591e-36
 6.309576e-02     5.435648e-36
 7.079456e-02     6.536667e-36
 7.943284e-02     7.840367e-36
 8.912515e-02     9.381856e-36
 1.000000e-01     1.120276e-35
 1.122019e-01     1.335440e-35
 1.258925e-01     1.580931e-35
 1.412538e-01     1.846073e-35
 1.584894e-01     2.128923e-35
 1.778279e-01     2.427835e-35
 1.995263e-01     2.741259e-35
 2.238721e-01     3.067788e-35
 2.511887e-01     3.406230e-35
 2.818385e-01     3.755625e-35
 3.162278e-01     4.110385e-35
 3.548135e-01     4.415499e-35
 3.981071e-01     4.732178e-35
 4.466837e-01     5.063225e-35
 5.011876e-01     5.409527e-35
 5.623413e-01     5.772581e-35
 6.309576e-01     6.151830e-35
 7.079456e-01     6.553875e-35
 7.943284e-01     6.980282e-35
 8.912515e-01     7.434826e-35
 1.000000e+00     7.921905e-35
 1.122019e+00     8.446475e-35
 1.258925e+00     9.013888e-35
 1.412538e+00     9.629688e-35
 1.584894e+00     1.029908e-34
 1.778279e+00     1.102614e-34
 1.995263e+00     1.181239e-34
 2.238721e+00     1.265454e-34
 2.511887e+00     1.354107e-34
 2.818385e+00     1.444723e-34
 3.162278e+00     1.532859e-34
 3.548136e+00     1.611419e-34
 3.981071e+00     1.670223e-34
 4.466837e+00     1.696505e-34
 5.011876e+00     1.674222e-34
 5.623413e+00     1.604346e-34
 6.309576e+00     1.476794e-34
 7.079456e+00     1.305002e-34
 7.943284e+00     1.119804e-34
 8.912516e+00     9.409151e-35
 1.000000e+01     7.797469e-35
 1.122019e+01     6.406349e-35
 1.258925e+01     5.235023e-35
 1.412538e+01     4.266233e-35
 1.584894e+01     3.472734e-35
 1.778279e+01     2.827977e-35
 1.995263e+01     2.304987e-35
 2.238721e+01     1.881816e-35
 2.511887e+01     1.539176e-35
 2.818385e+01     1.261776e-35
 3.162278e+01     1.036561e-35
 3.548135e+01     8.536400e-36
 3.981071e+01     7.045699e-36
 4.466837e+01     5.829851e-36
 5.011876e+01     4.836615e-36
 5.623413e+01     4.022166e-36
 6.309576e+01     3.354107e-36
 7.079456e+01     2.805076e-36
 7.943284e+01     2.353051e-36
 8.912515e+01     1.979985e-36
 1.000000e+02     1.671926e-36
 1.120000e+02     1.420836e-36
 1.250000e+02     1.218468e-36
 1.400000e+02     1.044239e-36
 1.550000e+02     9.129638e-37
 1.650000e+02     8.425530e-37
 1.750000e+02     7.833521e-37
 1.850000e+02     7.355004e-37
 1.900000e+02     7.204430e-37
 1.950000e+02     7.187876e-37
 2.000000e+02     7.453534e-37
 2.050000e+02     8.312621e-37
 2.100000e+02     1.039073e-36
 2.150000e+02     1.489759e-36
 2.180000e+02     1.964284e-36
 2.210000e+02     2.680705e-36
 2.240000e+02     3.747151e-36
 2.260000e+02     4.725001e-36
 2.270000e+02     5.314739e-36
 2.275000e+02     5.638393e-36
 2.278400e+02     5.870223e-36
 2.380000e+02     4.607386e-25
 2.500000e+02     4.677838e-25
 2.700000e+02     4.792058e-25
 2.900000e+02     4.902070e-25
 3.035000e+02     4.973563e-25
 3.037800e+02     4.974988e-25
 3.045000e+02     4.978812e-25
 3.060000e+02     4.986591e-25
 3.080000e+02     4.997014e-25
 3.100000e+02     5.007245e-25
 3.120000e+02     5.017602e-25
 3.150000e+02     5.032880e-25
 3.200000e+02     5.058225e-25
 3.250000e+02     5.083150e-25
 3.300000e+02     5.107799e-25
 3.400000e+02     5.156525e-25
 3.600000e+02     5.250571e-25
 3.800000e+02     5.340885e-25
 4.050000e+02     5.449101e-25
 4.250000e+02     5.533300e-25
 4.500000e+02     5.635100e-25
 4.650000e+02     5.697914e-25
 4.750000e+02     5.739100e-25
 4.820000e+02     5.767349e-25
 4.870000e+02     5.787626e-25
 4.910000e+02     5.803613e-25
 4.950000e+02     5.819324e-25
 4.980000e+02     5.831253e-25
 5.000000e+02     5.839248e-25
 5.020000e+02     5.848401e-25
 5.039800e+02     5.857733e-25
 5.100000e+02     8.328091e-25
 5.250000e+02     8.352243e-25
 5.600000e+02     8.422063e-25
 6.000000e+02     8.543157e-25
 6.500000e+02     8.866997e-25
 7.000000e+02     9.444436e-25
 7.500000e+02     1.044766e-24
 8.000000e+02     1.196993e-24
 8.300000e+02     1.322659e-24
 8.600000e+02     1.477383e-24
 8.800000e+02     1.598514e-24
 8.900000e+02     1.664839e-24
 8.960000e+02     1.706464e-24
 9.000000e+02     1.735162e-24
 9.030000e+02     1.757009e-24
 9.060000e+02     1.779232e-24
 9.090000e+02     1.801831e-24
 9.117800e+02     1.823107e-24
 9.300000e+02     8.077659e-22
 9.500000e+02     1.786365e-21
 9.750000e+02     3.122493e-21
 9.900000e+02     3.152588e-21
 1.005000e+03     3.229166e-21
 1.025000e+03     3.643101e-21
 1.045000e+03     3.668476e-21
 1.065000e+03     4.077405e-21
 1.085000e+03     4.507002e-21
 1.105000e+03     4.503445e-21
 1.125000e+03     4.682728e-21
 1.145000e+03     4.571553e-21
 1.165000e+03     4.646752e-21
 1.185000e+03     4.581328e-21
 1.205000e+03     4.519674e-21
 1.215600e+03     4.431800e-21
 1.215670e+03     1.019967e-20
 1.216000e+03     1.017661e-20
 1.218000e+03     1.003633e-20
 1.221000e+03     9.824382e-21
 1.225000e+03     9.556181e-21
 1.230000e+03     9.225219e-21
 1.240000e+03     9.414482e-21
 1.250000e+03     9.220966e-21
 1.265000e+03     4.487749e-21
 1.285000e+03     4.784456e-21
 1.305000e+03     4.981482e-21
 1.325000e+03     5.066581e-21
 1.345000e+03     5.063238e-21
 1.365000e+03     5.104749e-21
 1.385000e+03     5.102820e-21
 1.405000e+03     5.042459e-21
 1.425000e+03     4.925738e-21
 1.442000e+03     4.872212e-21
 1.455000e+03     4.935149e-21
