# Gamma-ray optical depth for source at z=0.090 (for KS18 EBL Q18 model with CMB)
# column1: Observed photon energy in GeV  & column2: Gamma-ray optical depth
    0.0100000   5.9773868e-08
    0.0112202   7.0149795e-08
    0.0125893   8.1904498e-08
    0.0141254   9.5114506e-08
    0.0158489   1.0984341e-07
    0.0177828   1.2614094e-07
    0.0199526   1.4404303e-07
    0.0223872   1.6357224e-07
    0.0251189   1.8473846e-07
    0.0281838   2.0754042e-07
    0.0316228   2.3196681e-07
    0.0354813   2.5799827e-07
    0.0398107   2.8560879e-07
    0.0446684   3.1476726e-07
    0.0501187   3.4543927e-07
    0.0562341   3.7758855e-07
    0.0630957   4.1117831e-07
    0.0707946   4.4617257e-07
    0.0794328   4.8253696e-07
    0.0891251   5.2023995e-07
     0.100000   5.5925376e-07
     0.112202   5.9955508e-07
     0.125893   6.4112538e-07
     0.141254   6.8395194e-07
     0.158489   7.2802780e-07
     0.177828   7.7335145e-07
     0.199526   8.1992874e-07
     0.223872   8.6777474e-07
     0.251189   9.1692010e-07
     0.281838   9.6742022e-07
     0.316228   1.0193704e-06
     0.354813   1.0729289e-06
     0.398107   1.1283451e-06
     0.446684   1.1859960e-06
     0.501187   1.2464256e-06
     0.562341   1.3103893e-06
     0.630957   1.3788978e-06
     0.707946   1.4532620e-06
     0.794328   1.5351340e-06
     0.891251   1.6265439e-06
      1.00000   1.7299232e-06
      1.12202   1.8481128e-06
      1.25893   1.9843418e-06
      1.41254   2.1421679e-06
      1.58489   2.3253784e-06
      1.77828   2.5378417e-06
      1.99526   2.7833580e-06
      2.23872   3.0655461e-06
      2.51189   3.3878451e-06
      2.81838   3.7536817e-06
      3.16228   4.1666513e-06
      3.54813   4.6305053e-06
      3.98107   5.1491768e-06
      4.46684   5.7267861e-06
      5.01187   6.3716035e-06
      5.62341   7.1077303e-06
      6.30957   7.9778567e-06
      7.07946   9.0603790e-06
      7.94328   1.0467921e-05
      8.91251   1.2334373e-05
      10.0000   1.4819144e-05
      11.2202   1.8107035e-05
      12.5893   2.2410558e-05
      14.1254   2.7961005e-05
      15.8489   3.4999710e-05
      17.7828   4.3780431e-05
      19.9526   5.4771045e-05
      22.3872   7.1449995e-05
      25.1189   0.00010567157
      28.1838   0.00018051560
      31.6228   0.00033210734
      35.4813   0.00060937187
      39.8107    0.0010697933
      44.6684    0.0017752543
      50.1187    0.0027865879
      56.2341    0.0041618147
      63.0957    0.0059620913
      70.7946    0.0082606097
      79.4328     0.011149644
      89.1251     0.014757926
      100.000     0.019302230
      112.202     0.025110088
      125.893     0.032596305
      141.254     0.042245651
      158.489     0.054578491
      177.828     0.070110757
      199.526     0.089321045
      223.872      0.11262382
      251.189      0.14034548
      281.838      0.17267273
      316.228      0.20963529
      354.814      0.25111938
      398.107      0.29686227
      446.684      0.34640000
      501.188      0.39903345
      562.341      0.45382320
      630.958      0.50966520
      707.946      0.56543831
      794.328      0.62013486
      891.252      0.67297389
      1000.00      0.72345865
      1122.02      0.77137580
      1258.93      0.81677485
      1412.54      0.86008352
      1584.89      0.90228036
      1778.28      0.94525286
      1995.26      0.99163448
      2238.72       1.0435421
      2511.89       1.1026760
      2818.38       1.1711003
      3162.28       1.2503119
      3548.14       1.3403656
      3981.07       1.4408430
      4466.84       1.5515034
      5011.88       1.6722052
      5623.41       1.8035374
      6309.58       1.9478248
      7079.46       2.1099606
      7943.28       2.2987036
      8912.52       2.5281027
      10000.0       2.8184652
      11220.2       3.1970052
      12589.3       3.6988937
      14125.4       4.3679457
      15848.9       5.2570108
      17782.8       6.4300200
      19952.6       7.9660646
      22387.2       9.9626956
      25118.9       12.534963
      28183.8       15.806498
      31622.8       19.892159
      35481.4       24.873988
      39810.7       30.776965
      44668.4       37.550693
      50118.8       45.062630
      56234.1       53.110857
      63095.8       61.469923
      70794.6       70.018402
      79432.8       79.083986
      89125.2       90.266410
      100000.       108.11310
