# Gamma-ray optical depth for source at z=0.500 (for KS18 EBL Q18 model with CMB)
# column1: Observed photon energy in GeV  & column2: Gamma-ray optical depth
    0.0100000   6.8637639e-07
    0.0112202   7.9077586e-07
    0.0125893   9.0600543e-07
    0.0141254   1.0323014e-06
    0.0158489   1.1698129e-06
    0.0177828   1.3186060e-06
    0.0199526   1.4786728e-06
    0.0223872   1.6499404e-06
    0.0251189   1.8322803e-06
    0.0281838   2.0255211e-06
    0.0316228   2.2294568e-06
    0.0354813   2.4438603e-06
    0.0398107   2.6684916e-06
    0.0446684   2.9031055e-06
    0.0501187   3.1474627e-06
    0.0562341   3.4013368e-06
    0.0630957   3.6645203e-06
    0.0707946   3.9368317e-06
    0.0794328   4.2181179e-06
    0.0891251   4.5082615e-06
     0.100000   4.8071845e-06
     0.112202   5.1148481e-06
     0.125893   5.4312491e-06
     0.141254   5.7564310e-06
     0.158489   6.0905120e-06
     0.177828   6.4337357e-06
     0.199526   6.7865687e-06
     0.223872   7.1498239e-06
     0.251189   7.5248387e-06
     0.281838   7.9136827e-06
     0.316228   8.3194029e-06
     0.354813   8.7463055e-06
     0.398107   9.2002463e-06
     0.446684   9.6889496e-06
     0.501187   1.0222322e-05
     0.562341   1.0812747e-05
     0.630957   1.1475362e-05
     0.707946   1.2228235e-05
     0.794328   1.3092440e-05
     0.891251   1.4091949e-05
      1.00000   1.5253290e-05
      1.12202   1.6604863e-05
      1.25893   1.8176201e-05
      1.41254   1.9997707e-05
      1.58489   2.2100855e-05
      1.77828   2.4518770e-05
      1.99526   2.7287247e-05
      2.23872   3.0445951e-05
      2.51189   3.4038709e-05
      2.81838   3.8113189e-05
      3.16228   4.2720254e-05
      3.54813   4.7924334e-05
      3.98107   5.3873679e-05
      4.46684   6.0871062e-05
      5.01187   6.9465934e-05
      5.62341   8.0552413e-05
      6.30957   9.5260574e-05
      7.07946   0.00011488453
      7.94328   0.00014083078
      8.91251   0.00017461100
      10.0000   0.00021785336
      11.2202   0.00027230279
      12.5893   0.00033988960
      14.1254   0.00042306411
      15.8489   0.00053034937
      17.7828   0.00069535895
      19.9526    0.0010032519
      22.3872    0.0016166739
      25.1189    0.0027929890
      28.1838    0.0048779745
      31.6228    0.0082846222
      35.4813     0.013457940
      39.8107     0.020838023
      44.6684     0.030852244
      50.1187     0.043937110
      56.2341     0.060572428
      63.0957     0.081338089
      70.7946      0.10709307
      79.4328      0.13919942
      89.1251      0.17960136
      100.000      0.23078313
      112.202      0.29561145
      125.893      0.37710013
      141.254      0.47818311
      158.489      0.60150548
      177.828      0.74926197
      199.526      0.92301383
      223.872       1.1235257
      251.189       1.3507198
      281.838       1.6036645
      316.228       1.8804922
      354.814       2.1781976
      398.107       2.4924838
      446.684       2.8178784
      501.188       3.1481043
      562.341       3.4767473
      630.958       3.7980508
      707.946       4.1075019
      794.328       4.4022209
      891.252       4.6809974
      1000.00       4.9443833
      1122.02       5.1960270
      1258.93       5.4444260
      1412.54       5.7049427
      1584.89       5.9951239
      1778.28       6.3286099
      1995.26       6.7152093
      2238.72       7.1625612
      2511.89       7.6751722
      2818.38       8.2545387
      3162.28       8.9013812
      3548.14       9.6177113
      3981.07       10.410283
      4466.84       11.295146
      5011.88       12.303065
      5623.41       13.487617
      6309.58       14.935715
      7079.46       16.776659
      7943.28       19.187946
      8912.52       22.399424
      10000.0       26.696632
      11220.2       32.424165
      12589.3       39.991835
      14125.4       49.884601
      15848.9       62.663551
      17782.8       78.945688
      19952.6       99.352377
      22387.2       124.42515
      25118.9       154.52386
      28183.8       189.72815
      31622.8       229.78874
      35481.4       274.22248
      39810.7       322.79128
      44668.4       376.92081
      50118.8       443.04774
      56234.1       539.32208
      63095.8       707.01565
      70794.6       1026.9569
      79432.8       1639.3171
      89125.2       2762.4418
      100000.       4704.5975
