# Gamma-ray optical depth for source at z=0.700 (for KS18 EBL Q18 model with CMB)
# column1: Observed photon energy in GeV  & column2: Gamma-ray optical depth
    0.0100000   1.2361020e-06
    0.0112202   1.4125772e-06
    0.0125893   1.6054771e-06
    0.0141254   1.8149916e-06
    0.0158489   2.0411967e-06
    0.0177828   2.2840627e-06
    0.0199526   2.5434698e-06
    0.0223872   2.8192229e-06
    0.0251189   3.1110646e-06
    0.0281838   3.4186949e-06
    0.0316228   3.7417804e-06
    0.0354813   4.0799748e-06
    0.0398107   4.4329282e-06
    0.0446684   4.8002985e-06
    0.0501187   5.1817645e-06
    0.0562341   5.5770363e-06
    0.0630957   5.9858619e-06
    0.0707946   6.4080366e-06
    0.0794328   6.8434058e-06
    0.0891251   7.2918741e-06
     0.100000   7.7534026e-06
     0.112202   8.2280055e-06
     0.125893   8.7157689e-06
     0.141254   9.2169158e-06
     0.158489   9.7319176e-06
     0.177828   1.0261655e-05
     0.199526   1.0807654e-05
     0.223872   1.1372352e-05
     0.251189   1.1959446e-05
     0.281838   1.2574253e-05
     0.316228   1.3224127e-05
     0.354813   1.3918914e-05
     0.398107   1.4671397e-05
     0.446684   1.5497784e-05
     0.501187   1.6418140e-05
     0.562341   1.7456763e-05
     0.630957   1.8642439e-05
     0.707946   2.0008479e-05
     0.794328   2.1592524e-05
     0.891251   2.3435946e-05
      1.00000   2.5582745e-05
      1.12202   2.8079066e-05
      1.25893   3.0973724e-05
      1.41254   3.4319061e-05
      1.58489   3.8172247e-05
      1.77828   4.2596765e-05
      1.99526   4.7664255e-05
      2.23872   5.3454764e-05
      2.51189   6.0055791e-05
      2.81838   6.7561582e-05
      3.16228   7.6096492e-05
      3.54813   8.5939143e-05
      3.98107   9.7633666e-05
      4.46684   0.00011215743
      5.01187   0.00013104103
      5.62341   0.00015614747
      6.30957   0.00018953756
      7.07946   0.00023340857
      7.94328   0.00029006260
      8.91251   0.00036196518
      10.0000   0.00045184061
      11.2202   0.00056282623
      12.5893   0.00069921955
      14.1254   0.00087499539
      15.8489    0.0011389709
      17.7828    0.0016104586
      19.9526    0.0025153527
      22.3872    0.0042150959
      25.1189    0.0072055729
      28.1838     0.012089316
      31.6228     0.019522829
      35.4813     0.030160356
      39.8107     0.044637222
      44.6684     0.063586490
      50.1187     0.087673074
      56.2341      0.11767444
      63.0957      0.15474022
      70.7946      0.20067517
      79.4328      0.25802317
      89.1251      0.33002653
      100.000      0.42045175
      112.202      0.53329151
      125.893      0.67244176
      141.254      0.84144128
      158.489       1.0432418
      177.828       1.2799524
      199.526       1.5526604
      223.872       1.8613498
      251.189       2.2049153
      281.838       2.5809787
      316.228       2.9856342
      354.814       3.4132745
      398.107       3.8566376
      446.684       4.3073031
      501.188       4.7564908
      562.341       5.1960658
      630.958       5.6194039
      707.946       6.0219192
      794.328       6.4011934
      891.252       6.7573701
      1000.00       7.0954349
      1122.02       7.4282975
      1258.93       7.7780881
      1412.54       8.1676892
      1584.89       8.6142099
      1778.28       9.1314796
      1995.26       9.7309551
      2238.72       10.419244
      2511.89       11.200317
      2818.38       12.079193
      3162.28       13.063430
      3548.14       14.167607
      3981.07       15.420753
      4466.84       16.875211
      5011.88       18.619034
      5623.41       20.791272
      6309.58       23.593993
      7079.46       27.299372
      7943.28       32.256715
      8912.52       38.898089
      10000.0       47.742441
      11220.2       59.399026
      12589.3       74.563723
      14125.4       93.998370
      15848.9       118.48048
      17782.8       148.72524
      19952.6       185.28730
      22387.2       228.45817
      25118.9       278.22306
      28183.8       334.40364
      31622.8       397.36441
      35481.4       470.09314
      39810.7       563.06186
      44668.4       703.75598
      50118.8       952.45730
      56234.1       1424.3732
      63095.8       2315.4519
      70794.6       3926.0257
      79432.8       6674.7068
      89125.2       11094.801
      100000.       17808.981
