# Gamma-ray optical depth for source at z=0.070 (for KS18 EBL Q18 model with CMB)
# column1: Observed photon energy in GeV  & column2: Gamma-ray optical depth
    0.0100000   4.4570691e-08
    0.0112202   5.2350348e-08
    0.0125893   6.1175681e-08
    0.0141254   7.1106902e-08
    0.0158489   8.2194436e-08
    0.0177828   9.4478173e-08
    0.0199526   1.0798738e-07
    0.0223872   1.2274099e-07
    0.0251189   1.3874810e-07
    0.0281838   1.5600910e-07
    0.0316228   1.7451647e-07
    0.0354813   1.9425632e-07
    0.0398107   2.1520946e-07
    0.0446684   2.3735258e-07
    0.0501187   2.6065964e-07
    0.0562341   2.8510303e-07
    0.0630957   3.1065454e-07
    0.0707946   3.3728645e-07
    0.0794328   3.6497211e-07
    0.0891251   3.9368699e-07
     0.100000   4.2340928e-07
     0.112202   4.5412052e-07
     0.125893   4.8580585e-07
     0.141254   5.1845478e-07
     0.158489   5.5206127e-07
     0.177828   5.8662336e-07
     0.199526   6.2214461e-07
     0.223872   6.5863522e-07
     0.251189   6.9611648e-07
     0.281838   7.3462714e-07
     0.316228   7.7423424e-07
     0.354813   8.1504977e-07
     0.398107   8.5725134e-07
     0.446684   9.0110941e-07
     0.501187   9.4701741e-07
     0.562341   9.9552430e-07
     0.630957   1.0473694e-06
     0.707946   1.1035157e-06
     0.794328   1.1651826e-06
     0.891251   1.2338742e-06
      1.00000   1.3113987e-06
      1.12202   1.3998772e-06
      1.25893   1.5017308e-06
      1.41254   1.6196390e-06
      1.58489   1.7564693e-06
      1.77828   1.9151670e-06
      1.99526   2.0986372e-06
      2.23872   2.3096498e-06
      2.51189   2.5508198e-06
      2.81838   2.8247142e-06
      3.16228   3.1340014e-06
      3.54813   3.4814578e-06
      3.98107   3.8699844e-06
      4.46684   4.3025923e-06
      5.01187   4.7846799e-06
      5.62341   5.3329218e-06
      6.30957   5.9775168e-06
      7.07946   6.7737054e-06
      7.94328   7.8043052e-06
      8.91251   9.1678445e-06
      10.0000   1.0982463e-05
      11.2202   1.3385909e-05
      12.5893   1.6537491e-05
      14.1254   2.0612420e-05
      15.8489   2.5793818e-05
      17.7828   3.2273602e-05
      19.9526   4.0343808e-05
      22.3872   5.2217165e-05
      25.1189   7.6154089e-05
      28.1838   0.00012886799
      31.6228   0.00023682054
      35.4813   0.00043646755
      39.8107   0.00077110631
      44.6684    0.0012877982
      50.1187    0.0020332577
      56.2341    0.0030518896
      63.0957    0.0043899007
      70.7946    0.0061021240
      79.4328    0.0082576675
      89.1251     0.010950947
      100.000     0.014339983
      112.202     0.018668534
      125.893     0.024249105
      141.254     0.031449995
      158.489     0.040670470
      177.828     0.052309839
      199.526     0.066741815
      223.872     0.084292951
      251.189      0.10522600
      281.838      0.12969955
      316.228      0.15775170
      354.814      0.18930881
      398.107      0.22418487
      446.684      0.26204259
      501.188      0.30236479
      562.341      0.34444836
      630.958      0.38744890
      707.946      0.43049715
      794.328      0.47280070
      891.252      0.51373174
      1000.00      0.55288198
      1122.02      0.59006118
      1258.93      0.62528272
      1412.54      0.65882986
      1584.89      0.69139954
      1778.28      0.72433033
      1995.26      0.75962284
      2238.72      0.79894862
      2511.89      0.84358924
      2818.38      0.89512150
      3162.28      0.95485321
      3548.14       1.0229594
      3981.07       1.0991005
      4466.84       1.1830858
      5011.88       1.2747828
      5623.41       1.3745041
      6309.58       1.4837908
      7079.46       1.6060720
      7943.28       1.7475819
      8912.52       1.9184628
      10000.0       2.1335637
      11220.2       2.4128954
      12589.3       2.7824627
      14125.4       3.2748514
      15848.9       3.9295043
      17782.8       4.7940867
      19952.6       5.9275258
      22387.2       7.4027758
      25118.9       9.3067623
      28183.8       11.734515
      31622.8       14.776814
      35481.4       18.502122
      39810.7       22.937618
      44668.4       28.054023
      50118.8       33.758582
      56234.1       39.901853
      63095.8       46.306163
      70794.6       52.844691
      79432.8       59.659621
      89125.2       67.700271
      100000.       79.862207
