# Gamma-ray optical depth for source at z=0.040 (for KS18 EBL Q18 model with CMB)
# column1: Observed photon energy in GeV  & column2: Gamma-ray optical depth
    0.0100000   2.3740577e-08
    0.0112202   2.7919730e-08
    0.0125893   3.2670679e-08
    0.0141254   3.8028248e-08
    0.0158489   4.4021953e-08
    0.0177828   5.0675512e-08
    0.0199526   5.8006730e-08
    0.0223872   6.6027599e-08
    0.0251189   7.4744538e-08
    0.0281838   8.4158967e-08
    0.0316228   9.4267751e-08
    0.0354813   1.0506403e-07
    0.0398107   1.1653781e-07
    0.0446684   1.2867663e-07
    0.0501187   1.4146635e-07
    0.0562341   1.5489176e-07
    0.0630957   1.6893721e-07
    0.0707946   1.8358717e-07
    0.0794328   1.9882660e-07
    0.0891251   2.1464149e-07
     0.100000   2.3101934e-07
     0.112202   2.4794934e-07
     0.125893   2.6542267e-07
     0.141254   2.8343286e-07
     0.158489   3.0197591e-07
     0.177828   3.2105008e-07
     0.199526   3.4065655e-07
     0.223872   3.6079994e-07
     0.251189   3.8149033e-07
     0.281838   4.0274642e-07
     0.316228   4.2460070e-07
     0.354813   4.4710804e-07
     0.398107   4.7035631e-07
     0.446684   4.9448084e-07
     0.501187   5.1968069e-07
     0.562341   5.4623643e-07
     0.630957   5.7452934e-07
     0.707946   6.0505998e-07
     0.794328   6.3846666e-07
     0.891251   6.7554159e-07
      1.00000   7.1724300e-07
      1.12202   7.6470165e-07
      1.25893   8.1921650e-07
      1.41254   8.8223533e-07
      1.58489   9.5531994e-07
      1.77828   1.0400888e-06
      1.99526   1.1381491e-06
      2.23872   1.2510386e-06
      2.51189   1.3801981e-06
      2.81838   1.5270102e-06
      3.16228   1.6928866e-06
      3.54813   1.8792846e-06
      3.98107   2.0877180e-06
      4.46684   2.3197517e-06
      5.01187   2.5777619e-06
      5.62341   2.8695674e-06
      6.30957   3.2100540e-06
      7.07946   3.6259339e-06
      7.94328   4.1601293e-06
      8.91251   4.8639396e-06
      10.0000   5.7994693e-06
      11.2202   7.0399543e-06
      12.5893   8.6706765e-06
      14.1254   1.0787092e-05
      15.8489   1.3489531e-05
      17.7828   1.6882691e-05
      19.9526   2.1096303e-05
      22.3872   2.7038795e-05
      25.1189   3.8643083e-05
      28.1838   6.4399784e-05
      31.6228   0.00011801184
      35.4813   0.00021881592
      39.8107   0.00039020982
      44.6684   0.00065796974
      50.1187    0.0010481066
      56.2341    0.0015853225
      63.0957    0.0022948317
      70.7946    0.0032061168
      79.4328    0.0043563337
      89.1251    0.0057949626
      100.000    0.0076033239
      112.202    0.0099105285
      125.893     0.012885661
      141.254     0.016730405
      158.489     0.021666778
      177.828     0.027919834
      199.526     0.035703088
      223.872     0.045205648
      251.189     0.056583925
      281.838     0.069939441
      316.228     0.085306752
      354.814      0.10265689
      398.107      0.12189915
      446.684      0.14286149
      501.188      0.16527194
      562.341      0.18875502
      630.958      0.21284484
      707.946      0.23705025
      794.328      0.26091471
      891.252      0.28406420
      1000.00      0.30624702
      1122.02      0.32733438
      1258.93      0.34731245
      1412.54      0.36630389
      1584.89      0.38465515
      1778.28      0.40302116
      1995.26      0.42248114
      2238.72      0.44400450
      2511.89      0.46829874
      2818.38      0.49621662
      3162.28      0.52860206
      3548.14      0.56569455
      3981.07      0.60730310
      4466.84      0.65330891
      5011.88      0.70362985
      5623.41      0.75834150
      6309.58      0.81810412
      7079.46      0.88456490
      7943.28      0.96080347
      8912.52       1.0519452
      10000.0       1.1656482
      11220.2       1.3123304
      12589.3       1.5056451
      14125.4       1.7628577
      15848.9       2.1050109
      17782.8       2.5575209
      19952.6       3.1517546
      22387.2       3.9267097
      25118.9       4.9295064
      28183.8       6.2129368
      31622.8       7.8294365
      35481.4       9.8214898
      39810.7       12.210858
      44668.4       14.989301
      50118.8       18.113204
      56234.1       21.505193
      63095.8       25.065763
      70794.6       28.705717
      79432.8       32.437157
      89125.2       36.607887
      100000.       42.425193
