# Gamma-ray optical depth for source at z=0.800 (for KS18 EBL Q18 model with CMB)
# column1: Observed photon energy in GeV  & column2: Gamma-ray optical depth
    0.0100000   1.5853840e-06
    0.0112202   1.8049680e-06
    0.0125893   2.0439766e-06
    0.0141254   2.3025538e-06
    0.0158489   2.5807190e-06
    0.0177828   2.8783783e-06
    0.0199526   3.1953429e-06
    0.0223872   3.5313470e-06
    0.0251189   3.8860623e-06
    0.0281838   4.2591205e-06
    0.0316228   4.6501241e-06
    0.0354813   5.0586687e-06
    0.0398107   5.4843545e-06
    0.0446684   5.9267976e-06
    0.0501187   6.3856452e-06
    0.0562341   6.8605870e-06
    0.0630957   7.3513616e-06
    0.0707946   7.8577681e-06
    0.0794328   8.3796682e-06
    0.0891251   8.9169927e-06
     0.100000   9.4697335e-06
     0.112202   1.0037952e-05
     0.125893   1.0621832e-05
     0.141254   1.1221796e-05
     0.158489   1.1838687e-05
     0.177828   1.2474005e-05
     0.199526   1.3130234e-05
     0.223872   1.3811195e-05
     0.251189   1.4522482e-05
     0.281838   1.5271918e-05
     0.316228   1.6070061e-05
     0.354813   1.6930752e-05
     0.398107   1.7871650e-05
     0.446684   1.8914788e-05
     0.501187   2.0087057e-05
     0.562341   2.1420556e-05
     0.630957   2.2952784e-05
     0.707946   2.4726511e-05
     0.794328   2.6789245e-05
     0.891251   2.9192278e-05
      1.00000   3.1989915e-05
      1.12202   3.5239890e-05
      1.25893   3.9004301e-05
      1.41254   4.3351013e-05
      1.58489   4.8355700e-05
      1.77828   5.4103972e-05
      1.99526   6.0692927e-05
      2.23872   6.8230305e-05
      2.51189   7.6833159e-05
      2.81838   8.6631938e-05
      3.16228   9.7859554e-05
      3.54813   0.00011102671
      3.98107   0.00012704116
      4.46684   0.00014749649
      5.01187   0.00017452198
      5.62341   0.00021052621
      6.30957   0.00025806635
      7.07946   0.00031981667
      7.94328   0.00039858695
      8.91251   0.00049747291
      10.0000   0.00062001039
      11.2202   0.00077045927
      12.5893   0.00095719375
      14.1254    0.0012115677
      15.8489    0.0016236805
      17.7828    0.0023837736
      19.9526    0.0038237535
      22.3872    0.0064378227
      25.1189     0.010867651
      28.1838     0.017856248
      31.6228     0.028176731
      35.4813     0.042582847
      39.8107     0.061808216
      44.6684     0.086590943
      50.1187      0.11771841
      56.2341      0.15620683
      63.0957      0.20365923
      70.7946      0.26247267
      79.4328      0.33584319
      89.1251      0.42765886
      100.000      0.54224369
      112.202      0.68401291
      125.893      0.85713323
      141.254       1.0652734
      158.489       1.3113289
      177.828       1.5971530
      199.526       1.9234254
      223.872       2.2896163
      251.189       2.6939384
      281.838       3.1330472
      316.228       3.6017754
      354.814       4.0930126
      398.107       4.5979483
      446.684       5.1067980
      501.188       5.6097739
      562.341       6.0981697
      630.958       6.5651891
      707.946       7.0063620
      794.328       7.4196636
      891.252       7.8073864
      1000.00       8.1789845
      1122.02       8.5548809
      1258.93       8.9616005
      1412.54       9.4214133
      1584.89       9.9509959
      1778.28       10.565321
      1995.26       11.275813
      2238.72       12.088975
      2511.89       13.011134
      2818.38       14.051289
      3162.28       15.223826
      3548.14       16.555339
      3981.07       18.094461
      4466.84       19.924309
      5011.88       22.179728
      5623.41       25.063176
      6309.58       28.855259
      7079.46       33.922437
      7943.28       40.725585
      8912.52       49.825540
      10000.0       61.883861
      11220.2       77.656894
      12589.3       97.971245
      14125.4       123.67561
      15848.9       155.56231
      17782.8       194.27151
      19952.6       240.19634
      22387.2       293.43789
      25118.9       353.97357
      28183.8       422.42988
      31622.8       502.38555
      35481.4       605.81113
      39810.7       763.76729
      44668.4       1044.2318
      50118.8       1577.1420
      56234.1       2583.6518
      63095.8       4403.0974
      70794.6       7508.6930
      79432.8       12503.971
      89125.2       20094.440
      100000.       31035.395
