# Gamma-ray optical depth for source at z=3.000 (for KS18 EBL Q18 model with CMB)
# column1: Observed photon energy in GeV  & column2: Gamma-ray optical depth
    0.0100000   9.1455154e-06
    0.0112202   1.0094046e-05
    0.0125893   1.1096529e-05
    0.0141254   1.2152256e-05
    0.0158489   1.3260421e-05
    0.0177828   1.4420146e-05
    0.0199526   1.5630530e-05
    0.0223872   1.6890686e-05
    0.0251189   1.8199762e-05
    0.0281838   1.9556994e-05
    0.0316228   2.0961709e-05
    0.0354813   2.2413382e-05
    0.0398107   2.3911630e-05
    0.0446684   2.5456202e-05
    0.0501187   2.7047004e-05
    0.0562341   2.8684220e-05
    0.0630957   3.0368569e-05
    0.0707946   3.2101743e-05
    0.0794328   3.3886991e-05
    0.0891251   3.5729887e-05
     0.100000   3.7639211e-05
     0.112202   3.9627934e-05
     0.125893   4.1714287e-05
     0.141254   4.3922921e-05
     0.158489   4.6286085e-05
     0.177828   4.8844767e-05
     0.199526   5.1649856e-05
     0.223872   5.4762805e-05
     0.251189   5.8256462e-05
     0.281838   6.2215646e-05
     0.316228   6.6737250e-05
     0.354813   7.1929858e-05
     0.398107   7.7913607e-05
     0.446684   8.4820045e-05
     0.501187   9.2792920e-05
     0.562341   0.00010198845
     0.630957   0.00011257927
     0.707946   0.00012475773
     0.794328   0.00013874034
     0.891251   0.00015477343
      1.00000   0.00017313658
      1.12202   0.00019414279
      1.25893   0.00021814700
      1.41254   0.00024573039
      1.58489   0.00027825073
      1.77828   0.00031827030
      1.99526   0.00037022635
      2.23872   0.00043986858
      2.51189   0.00053353494
      2.81838   0.00065802208
      3.16228   0.00082037773
      3.54813    0.0010282007
      3.98107    0.0012901472
      4.46684    0.0016157997
      5.01187    0.0020167836
      5.62341    0.0025165500
      6.30957    0.0032207714
      7.07946    0.0044520671
      7.94328    0.0068694406
      8.91251     0.011536999
      10.0000     0.019903950
      11.2202     0.033705083
      12.5893     0.054821456
      14.1254     0.085112101
      15.8489      0.12629304
      17.7828      0.17990086
      19.9526      0.24729465
      22.3872      0.32968713
      25.1189      0.42836502
      28.1838      0.54512519
      31.6228      0.68253178
      35.4813      0.84393502
      39.8107       1.0333856
      44.6684       1.2554698
      50.1187       1.5151537
      56.2341       1.8176290
      63.0957       2.1681801
      70.7946       2.5719727
      79.4328       3.0337476
      89.1251       3.5575487
      100.000       4.1464803
      112.202       4.8024082
      125.893       5.5254681
      141.254       6.3136301
      158.489       7.1622285
      177.828       8.0637835
      199.526       9.0081270
      223.872       9.9825673
      251.189       10.972336
      281.838       11.960972
      316.228       12.930974
      354.814       13.865029
      398.107       14.748185
      446.684       15.570571
      501.188       16.331019
      562.341       17.038652
      630.958       17.710595
      707.946       18.370452
      794.328       19.048942
      891.252       19.783874
      1000.00       20.617185
      1122.02       21.592863
      1258.93       22.757509
      1412.54       24.165583
      1584.89       25.891077
      1778.28       28.047812
      1995.26       30.817565
      2238.72       34.486080
      2511.89       39.484514
      2818.38       46.430822
      3162.28       56.157827
      3548.14       69.722029
      3981.07       88.387387
      4466.84       113.57659
      5011.88       146.78140
      5623.41       190.44759
      6309.58       261.80036
      7079.46       413.22043
      7943.28       765.67729
      8912.52       1575.3854
      10000.0       3331.6301
      11220.2       6876.0901
      12589.3       13519.819
      14125.4       25124.578
      15848.9       44111.926
      17782.8       73377.289
      19952.6       116106.08
      22387.2       175507.09
      25118.9       254509.45
      28183.8       355456.58
      31622.8       479851.45
      35481.4       628184.94
      39810.7       799846.44
      44668.4       993151.28
      50118.8       1205429.6
      56234.1       1433194.3
      63095.8       1672354.3
      70794.6       1918420.7
      79432.8       2166746.2
      89125.2       2412711.9
      100000.       2651911.4
