## for UVB models (QSO SED 1.5)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 0.00      5.480e-14      3.099e-14      1.339e-15      2.214e-13      2.773e-13      2.745e-14
 0.10      8.320e-14      4.907e-14      1.989e-15      3.418e-13      4.304e-13      4.039e-14
 0.20      1.208e-13      7.403e-14      2.856e-15      5.031e-13      6.412e-13      5.741e-14
 0.30      1.691e-13      1.070e-13      3.977e-15      7.110e-13      9.205e-13      7.911e-14
 0.40      2.292e-13      1.489e-13      5.381e-15      9.701e-13      1.277e-12      1.060e-13
 0.50      3.020e-13      2.001e-13      7.088e-15      1.283e-12      1.715e-12      1.382e-13
 0.60      3.872e-13      2.605e-13      9.093e-15      1.648e-12      2.238e-12      1.759e-13
 0.70      4.840e-13      3.293e-13      1.137e-14      2.063e-12      2.840e-12      2.184e-13
 0.80      5.906e-13      4.050e-13      1.388e-14      2.518e-12      3.509e-12      2.648e-13
 0.90      7.046e-13      4.854e-13      1.653e-14      3.004e-12      4.228e-12      3.139e-13
 1.00      8.223e-13      5.683e-13      1.921e-14      3.505e-12      4.973e-12      3.635e-13
 1.10      9.388e-13      6.497e-13      2.177e-14      3.999e-12      5.712e-12      4.113e-13
 1.20      1.049e-12      7.270e-13      2.403e-14      4.465e-12      6.416e-12      4.540e-13
 1.30      1.148e-12      7.967e-13      2.591e-14      4.886e-12      7.061e-12      4.902e-13
 1.40      1.234e-12      8.568e-13      2.740e-14      5.249e-12      7.617e-12      5.192e-13
 1.50      1.302e-12      9.044e-13      2.842e-14      5.539e-12      8.062e-12      5.395e-13
 1.60      1.352e-12      9.387e-13      2.893e-14      5.745e-12      8.385e-12      5.506e-13
 1.70      1.379e-12      9.588e-13      2.893e-14      5.864e-12      8.573e-12      5.521e-13
 1.80      1.388e-12      9.645e-13      2.843e-14      5.897e-12      8.629e-12      5.442e-13
 1.90      1.377e-12      9.570e-13      2.746e-14      5.847e-12      8.557e-12      5.275e-13
 2.00      1.349e-12      9.372e-13      2.609e-14      5.724e-12      8.372e-12      5.031e-13
 2.10      1.307e-12      9.077e-13      2.441e-14      5.543e-12      8.094e-12      4.725e-13
 2.20      1.257e-12      8.722e-13      2.253e-14      5.324e-12      7.752e-12      4.380e-13
 2.30      1.203e-12      8.325e-13      2.051e-14      5.087e-12      7.362e-12      4.009e-13
 2.40      1.145e-12      7.909e-13      1.844e-14      4.836e-12      6.949e-12      3.623e-13
 2.50      1.088e-12      7.491e-13      1.636e-14      4.584e-12      6.533e-12      3.234e-13
 2.60      1.034e-12      7.082e-13      1.433e-14      4.343e-12      6.119e-12      2.851e-13
 2.70      9.845e-13      6.699e-13      1.238e-14      4.122e-12      5.724e-12      2.482e-13
 2.80      9.409e-13      6.350e-13      1.055e-14      3.922e-12      5.357e-12      2.132e-13
 2.90      9.046e-13      6.041e-13      8.859e-15      3.751e-12      5.024e-12      1.807e-13
 3.00      8.760e-13      5.780e-13      7.315e-15      3.612e-12      4.732e-12      1.508e-13
 3.10      8.554e-13      5.566e-13      5.932e-15      3.506e-12      4.484e-12      1.239e-13
 3.20      8.425e-13      5.398e-13      4.714e-15      3.430e-12      4.275e-12      9.997e-14
 3.30      8.369e-13      5.275e-13      3.663e-15      3.384e-12      4.109e-12      7.916e-14
 3.40      8.374e-13      5.190e-13      2.774e-15      3.363e-12      3.980e-12      6.139e-14
 3.50      8.428e-13      5.138e-13      2.043e-15      3.363e-12      3.885e-12      4.658e-14
 3.60      8.516e-13      5.109e-13      1.461e-15      3.377e-12      3.815e-12      3.456e-14
 3.70      8.619e-13      5.094e-13      1.016e-15      3.399e-12      3.767e-12      2.510e-14
 3.80      8.719e-13      5.085e-13      6.905e-16      3.422e-12      3.731e-12      1.792e-14
 3.90      8.801e-13      5.073e-13      4.616e-16      3.439e-12      3.701e-12      1.263e-14
 4.00      8.847e-13      5.048e-13      3.064e-16      3.445e-12      3.668e-12      8.841e-15
 4.10      8.847e-13      5.005e-13      2.032e-16      3.435e-12      3.628e-12      6.182e-15
 4.20      8.794e-13      4.940e-13      1.353e-16      3.407e-12      3.576e-12      4.332e-15
 4.30      8.686e-13      4.850e-13      9.085e-17      3.358e-12      3.509e-12      3.052e-15
 4.40      8.520e-13      4.735e-13      6.162e-17      3.289e-12      3.426e-12      2.165e-15
 4.50      8.300e-13      4.596e-13      4.229e-17      3.201e-12      3.328e-12      1.548e-15
 4.60      8.028e-13      4.435e-13      2.939e-17      3.094e-12      3.216e-12      1.116e-15
 4.70      7.700e-13      4.251e-13      2.058e-17      2.967e-12      3.088e-12      8.073e-16
 4.80      7.329e-13      4.050e-13      1.384e-17      2.826e-12      2.951e-12      5.651e-16
 4.90      6.951e-13      3.846e-13      9.426e-18      2.682e-12      2.811e-12      3.991e-16
 5.00      6.573e-13      3.643e-13      6.497e-18      2.539e-12      2.671e-12      2.843e-16
 5.10      6.199e-13      3.443e-13      4.532e-18      2.397e-12      2.533e-12      2.043e-16
 5.20      5.835e-13      3.249e-13      3.198e-18      2.259e-12      2.399e-12      1.481e-16
 5.30      5.484e-13      3.062e-13      2.283e-18      2.126e-12      2.269e-12      1.083e-16
 5.40      5.147e-13      2.882e-13      1.647e-18      1.998e-12      2.144e-12      7.988e-17
 5.50      4.826e-13      2.712e-13      1.200e-18      1.876e-12      2.025e-12      5.938e-17
 5.60      4.523e-13      2.551e-13      8.836e-19      1.761e-12      1.912e-12      4.451e-17
 5.70      4.237e-13      2.399e-13      6.568e-19      1.652e-12      1.807e-12      3.362e-17
 5.80      3.967e-13      2.256e-13      4.926e-19      1.550e-12      1.709e-12      2.558e-17
 5.90      3.715e-13      2.124e-13      3.726e-19      1.455e-12      1.621e-12      1.961e-17
 6.00      3.480e-13      2.004e-13      2.837e-19      1.368e-12      1.553e-12      1.512e-17
 6.20      3.050e-13      1.769e-13      1.686e-19      1.203e-12      1.380e-12      9.164e-18
 6.40      2.676e-13      1.564e-13      1.026e-19      1.059e-12      1.229e-12      5.665e-18
 6.60      2.350e-13      1.384e-13      6.364e-20      9.329e-13      1.095e-12      3.557e-18
 6.80      2.067e-13      1.227e-13      4.001e-20      8.231e-13      9.761e-13      2.260e-18
 7.00      1.820e-13      1.089e-13      2.541e-20      7.273e-13      8.715e-13      1.448e-18
 7.20      1.605e-13      9.674e-14      1.626e-20      6.435e-13      7.790e-13      9.334e-19
 7.40      1.418e-13      8.609e-14      1.045e-20      5.702e-13      6.971e-13      6.040e-19
 7.60      1.254e-13      7.672e-14      6.749e-21      5.060e-13      6.246e-13      3.919e-19
 7.80      1.111e-13      6.847e-14      4.359e-21      4.498e-13      5.604e-13      2.546e-19
 8.00      9.867e-14      6.119e-14      2.820e-21      4.005e-13      5.033e-13      1.654e-19
 8.20      8.772e-14      5.477e-14      1.826e-21      3.570e-13      4.526e-13      1.075e-19
 8.40      7.811e-14      4.909e-14      1.182e-21      3.188e-13      4.075e-13      6.987e-20
 8.60      6.967e-14      4.406e-14      7.644e-22      2.851e-13      3.673e-13      4.537e-20
 8.80      6.224e-14      3.961e-14      4.941e-22      2.554e-13      3.315e-13      2.943e-20
 9.00      5.569e-14      3.565e-14      3.192e-22      2.291e-13      2.995e-13      1.907e-20
 9.20      4.991e-14      3.213e-14      2.060e-22      2.058e-13      2.709e-13      1.235e-20
 9.40      4.480e-14      2.900e-14      1.328e-22      1.852e-13      2.454e-13      7.984e-21
 9.60      4.027e-14      2.621e-14      8.550e-23      1.668e-13      2.225e-13      5.157e-21
 9.80      3.626e-14      2.371e-14      5.500e-23      1.505e-13      2.020e-13      3.326e-21
10.00      3.270e-14      2.150e-14      3.535e-23      1.361e-13      1.838e-13      2.143e-21
10.50      2.540e-14      1.689e-14      1.165e-23      1.062e-13      1.454e-13      7.107e-22
11.00      1.990e-14      1.338e-14      3.813e-24      8.357e-14      1.158e-13      2.341e-22
11.50      1.573e-14      1.067e-14      1.241e-24      6.630e-14      9.280e-14      7.665e-23
12.00      1.252e-14      8.570e-15      4.016e-25      5.299e-14      7.489e-14      2.494e-23
12.50      1.005e-14      6.930e-15      1.292e-25      4.265e-14      6.081e-14      8.071e-24
13.00      8.120e-15      5.639e-15      4.139e-26      3.457e-14      4.968e-14      2.598e-24
13.50      6.605e-15      4.617e-15      1.319e-26      2.820e-14      4.081e-14      8.319e-25
14.00      5.408e-15      3.802e-15      4.187e-27      2.314e-14      3.371e-14      2.649e-25
14.50      4.450e-15      3.161e-15      1.329e-27      1.913e-14      2.812e-14      8.359e-26
15.00      1.010e-15      9.402e-16      1.711e-28      5.139e-15      8.431e-15      1.301e-26
