## for UVB models (QSO SED 1.4)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 3.10      8.778e-13      6.001e-13      7.816e-15      3.674e-12      4.997e-12      1.669e-13
 3.20      8.625e-13      5.789e-13      6.278e-15      3.580e-12      4.731e-12      1.360e-13
 3.30      8.545e-13      5.622e-13      4.941e-15      3.516e-12      4.508e-12      1.089e-13
 3.40      8.530e-13      5.498e-13      3.800e-15      3.479e-12      4.329e-12      8.561e-14
 3.50      8.565e-13      5.409e-13      2.850e-15      3.465e-12      4.188e-12      6.594e-14
 3.60      8.636e-13      5.347e-13      2.081e-15      3.466e-12      4.078e-12      4.974e-14
 3.70      8.724e-13      5.304e-13      1.477e-15      3.477e-12      3.994e-12      3.676e-14
 3.80      8.811e-13      5.268e-13      1.023e-15      3.490e-12      3.925e-12      2.667e-14
 3.90      8.880e-13      5.230e-13      6.947e-16      3.498e-12      3.866e-12      1.907e-14
 4.00      8.915e-13      5.185e-13      4.664e-16      3.496e-12      3.809e-12      1.351e-14
 4.10      8.906e-13      5.123e-13      3.116e-16      3.479e-12      3.747e-12      9.529e-15
 4.20      8.845e-13      5.040e-13      2.083e-16      3.444e-12      3.677e-12      6.720e-15
 4.30      8.729e-13      4.936e-13      1.400e-16      3.390e-12      3.595e-12      4.753e-15
 4.40      8.557e-13      4.809e-13      9.486e-17      3.316e-12      3.500e-12      3.380e-15
 4.50      8.332e-13      4.660e-13      6.493e-17      3.224e-12      3.390e-12      2.419e-15
 4.60      8.054e-13      4.489e-13      4.493e-17      3.113e-12      3.268e-12      1.744e-15
 4.70      7.722e-13      4.296e-13      3.129e-17      2.983e-12      3.132e-12      1.258e-15
 4.80      7.348e-13      4.088e-13      2.090e-17      2.840e-12      2.988e-12      8.790e-16
 4.90      6.967e-13      3.878e-13      1.412e-17      2.694e-12      2.842e-12      6.187e-16
 5.00      6.586e-13      3.670e-13      9.648e-18      2.548e-12      2.697e-12      4.389e-16
 5.10      6.210e-13      3.466e-13      6.666e-18      2.405e-12      2.555e-12      3.138e-16
 5.20      5.844e-13      3.268e-13      4.656e-18      2.266e-12      2.417e-12      2.260e-16
 5.30      5.491e-13      3.077e-13      3.286e-18      2.131e-12      2.284e-12      1.641e-16
 5.40      5.153e-13      2.895e-13      2.345e-18      2.002e-12      2.156e-12      1.201e-16
 5.50      4.832e-13      2.723e-13      1.690e-18      1.880e-12      2.035e-12      8.852e-17
 5.60      4.527e-13      2.559e-13      1.230e-18      1.764e-12      1.921e-12      6.577e-17
 5.70      4.240e-13      2.406e-13      9.036e-19      1.655e-12      1.814e-12      4.925e-17
 5.80      3.970e-13      2.263e-13      6.702e-19      1.552e-12      1.715e-12      3.716e-17
 5.90      3.718e-13      2.129e-13      5.016e-19      1.457e-12      1.626e-12      2.824e-17
 6.00      3.481e-13      2.008e-13      3.775e-19      1.369e-12      1.556e-12      2.159e-17
 6.20      3.051e-13      1.772e-13      2.205e-19      1.204e-12      1.383e-12      1.290e-17
 6.40      2.677e-13      1.566e-13      1.322e-19      1.059e-12      1.230e-12      7.875e-18
 6.60      2.351e-13      1.386e-13      8.102e-20      9.333e-13      1.096e-12      4.896e-18
 6.80      2.067e-13      1.228e-13      5.047e-20      8.234e-13      9.769e-13      3.087e-18
 7.00      1.820e-13      1.089e-13      3.184e-20      7.275e-13      8.720e-13      1.967e-18
 7.20      1.605e-13      9.678e-14      2.027e-20      6.436e-13      7.793e-13      1.262e-18
 7.40      1.418e-13      8.611e-14      1.298e-20      5.702e-13      6.973e-13      8.146e-19
 7.60      1.254e-13      7.674e-14      8.361e-21      5.060e-13      6.247e-13      5.273e-19
 7.80      1.111e-13      6.848e-14      5.390e-21      4.498e-13      5.605e-13      3.420e-19
 8.00      9.868e-14      6.120e-14      3.483e-21      4.005e-13      5.033e-13      2.221e-19
 8.20      8.772e-14      5.478e-14      2.252e-21      3.570e-13      4.526e-13      1.443e-19
 8.40      7.812e-14      4.909e-14      1.457e-21      3.188e-13      4.075e-13      9.370e-20
 8.60      6.967e-14      4.407e-14      9.422e-22      2.851e-13      3.673e-13      6.082e-20
 8.80      6.224e-14      3.961e-14      6.089e-22      2.554e-13      3.315e-13      3.945e-20
 9.00      5.569e-14      3.565e-14      3.932e-22      2.291e-13      2.995e-13      2.557e-20
 9.20      4.991e-14      3.213e-14      2.537e-22      2.058e-13      2.710e-13      1.655e-20
 9.40      4.480e-14      2.900e-14      1.636e-22      1.852e-13      2.454e-13      1.070e-20
 9.60      4.027e-14      2.621e-14      1.053e-22      1.668e-13      2.225e-13      6.913e-21
 9.80      3.626e-14      2.372e-14      6.777e-23      1.505e-13      2.020e-13      4.459e-21
10.00      3.270e-14      2.150e-14      4.355e-23      1.361e-13      1.838e-13      2.873e-21
10.50      2.540e-14      1.689e-14      1.435e-23      1.062e-13      1.454e-13      9.531e-22
11.00      1.990e-14      1.338e-14      4.700e-24      8.357e-14      1.158e-13      3.141e-22
11.50      1.573e-14      1.067e-14      1.530e-24      6.630e-14      9.280e-14      1.028e-22
12.00      1.252e-14      8.570e-15      4.951e-25      5.299e-14      7.489e-14      3.347e-23
12.50      1.005e-14      6.930e-15      1.594e-25      4.265e-14      6.081e-14      1.083e-23
13.00      8.120e-15      5.639e-15      5.104e-26      3.457e-14      4.968e-14      3.486e-24
13.50      6.605e-15      4.617e-15      1.627e-26      2.820e-14      4.081e-14      1.117e-24
14.00      5.408e-15      3.802e-15      5.164e-27      2.314e-14      3.372e-14      3.556e-25
14.50      4.450e-15      3.161e-15      1.639e-27      1.913e-14      2.812e-14      1.122e-25
15.00      1.010e-15      9.402e-16      2.110e-28      5.139e-15      8.431e-15      1.748e-26
