## for UVB models (QSO SED 2.0)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 0.00      3.364e-14      1.361e-14      3.860e-16      1.187e-13      1.015e-13      7.721e-15
 0.10      5.309e-14      2.250e-14      5.867e-16      1.903e-13      1.649e-13      1.152e-14
 0.20      7.974e-14      3.519e-14      8.619e-16      2.893e-13      2.555e-13      1.662e-14
 0.30      1.149e-13      5.247e-14      1.227e-15      4.205e-13      3.796e-13      2.324e-14
 0.40      1.599e-13      7.488e-14      1.694e-15      5.880e-13      5.423e-13      3.160e-14
 0.50      2.153e-13      1.029e-13      2.275e-15      7.944e-13      7.474e-13      4.181e-14
 0.60      2.815e-13      1.365e-13      2.970e-15      1.040e-12      9.964e-13      5.389e-14
 0.70      3.577e-13      1.755e-13      3.775e-15      1.323e-12      1.288e-12      6.771e-14
 0.80      4.428e-13      2.191e-13      4.672e-15      1.639e-12      1.617e-12      8.299e-14
 0.90      5.351e-13      2.660e-13      5.628e-15      1.981e-12      1.976e-12      9.918e-14
 1.00      6.316e-13      3.148e-13      6.596e-15      2.338e-12      2.352e-12      1.156e-13
 1.10      7.283e-13      3.638e-13      7.511e-15      2.695e-12      2.732e-12      1.312e-13
 1.20      8.208e-13      4.109e-13      8.297e-15      3.036e-12      3.099e-12      1.449e-13
 1.30      9.055e-13      4.540e-13      8.920e-15      3.350e-12      3.439e-12      1.561e-13
 1.40      9.795e-13      4.919e-13      9.392e-15      3.625e-12      3.738e-12      1.646e-13
 1.50      1.040e-12      5.230e-13      9.690e-15      3.851e-12      3.985e-12      1.702e-13
 1.60      1.086e-12      5.466e-13      9.808e-15      4.020e-12      4.171e-12      1.727e-13
 1.70      1.114e-12      5.620e-13      9.740e-15      4.128e-12      4.293e-12      1.719e-13
 1.80      1.126e-12      5.693e-13      9.496e-15      4.176e-12      4.349e-12      1.681e-13
 1.90      1.122e-12      5.688e-13      9.096e-15      4.164e-12      4.344e-12      1.615e-13
 2.00      1.104e-12      5.612e-13      8.559e-15      4.100e-12      4.281e-12      1.525e-13
 2.10      1.076e-12      5.484e-13      7.915e-15      3.997e-12      4.175e-12      1.416e-13
 2.20      1.040e-12      5.319e-13      7.209e-15      3.867e-12      4.038e-12      1.295e-13
 2.30      1.000e-12      5.129e-13      6.465e-15      3.724e-12      3.880e-12      1.168e-13
 2.40      9.583e-13      4.934e-13      5.713e-15      3.573e-12      3.713e-12      1.037e-13
 2.50      9.166e-13      4.741e-13      4.970e-15      3.423e-12      3.547e-12      9.083e-14
 2.60      8.778e-13      4.561e-13      4.254e-15      3.283e-12      3.389e-12      7.831e-14
 2.70      8.433e-13      4.400e-13      3.577e-15      3.159e-12      3.244e-12      6.643e-14
 2.80      8.138e-13      4.266e-13      2.952e-15      3.054e-12      3.120e-12      5.538e-14
 2.90      7.906e-13      4.162e-13      2.384e-15      2.972e-12      3.019e-12      4.529e-14
 3.00      7.743e-13      4.092e-13      1.878e-15      2.916e-12      2.944e-12      3.626e-14
 3.10      7.650e-13      4.056e-13      1.439e-15      2.886e-12      2.898e-12      2.836e-14
