## for UVB models (QSO SED 1.7)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 2.30      1.113e-12      6.801e-13      1.287e-14      4.457e-12      5.614e-12      2.416e-13
 2.40      1.062e-12      6.491e-13      1.149e-14      4.252e-12      5.327e-12      2.170e-13
 2.50      1.012e-12      6.179e-13      1.013e-14      4.047e-12      5.035e-12      1.924e-13
 2.60      9.647e-13      5.880e-13      8.796e-15      3.853e-12      4.751e-12      1.682e-13
 2.70      9.219e-13      5.602e-13      7.528e-15      3.677e-12      4.482e-12      1.451e-13
 2.80      8.846e-13      5.356e-13      6.341e-15      3.521e-12      4.236e-12      1.233e-13
 2.90      8.541e-13      5.145e-13      5.250e-15      3.391e-12      4.020e-12      1.031e-13
 3.00      8.309e-13      4.975e-13      4.264e-15      3.291e-12      3.837e-12      8.473e-14
 3.10      8.153e-13      4.846e-13      3.389e-15      3.219e-12      3.689e-12      6.834e-14
 3.20      8.070e-13      4.758e-13      2.628e-15      3.176e-12      3.575e-12      5.399e-14
 3.30      8.055e-13      4.707e-13      1.983e-15      3.160e-12      3.495e-12      4.169e-14
 3.40      8.097e-13      4.688e-13      1.450e-15      3.166e-12      3.444e-12      3.141e-14
 3.50      8.185e-13      4.695e-13      1.027e-15      3.190e-12      3.419e-12      2.308e-14
 3.60      8.303e-13      4.720e-13      7.060e-16      3.226e-12      3.414e-12      1.658e-14
 3.70      8.433e-13      4.755e-13      4.734e-16      3.268e-12      3.422e-12      1.167e-14
 3.80      8.558e-13      4.790e-13      3.130e-16      3.308e-12      3.436e-12      8.120e-15
 3.90      8.661e-13      4.816e-13      2.051e-16      3.341e-12      3.448e-12      5.607e-15
 4.00      8.726e-13      4.826e-13      1.346e-16      3.361e-12      3.453e-12      3.870e-15
 4.10      8.744e-13      4.814e-13      8.882e-17      3.363e-12      3.444e-12      2.681e-15
 4.20      8.706e-13      4.776e-13      5.917e-17      3.345e-12      3.419e-12      1.869e-15
 4.30      8.610e-13      4.709e-13      3.991e-17      3.305e-12      3.374e-12      1.315e-15
 4.40      8.456e-13      4.615e-13      2.728e-17      3.245e-12      3.312e-12      9.342e-16
 4.50      8.245e-13      4.495e-13      1.892e-17      3.163e-12      3.231e-12      6.708e-16
 4.60      7.981e-13      4.349e-13      1.332e-17      3.062e-12      3.134e-12      4.867e-16
 4.70      7.661e-13      4.178e-13      9.473e-18      2.940e-12      3.020e-12      3.553e-16
 4.80      7.297e-13      3.989e-13      6.482e-18      2.803e-12      2.893e-12      2.513e-16
 4.90      6.924e-13      3.794e-13      4.501e-18      2.663e-12      2.762e-12      1.797e-16
 5.00      6.550e-13      3.600e-13      3.167e-18      2.523e-12      2.630e-12      1.298e-16
 5.10      6.180e-13      3.407e-13      2.258e-18      2.384e-12      2.499e-12      9.477e-17
 5.20      5.820e-13      3.219e-13      1.629e-18      2.248e-12      2.370e-12      6.986e-17
 5.30      5.471e-13      3.037e-13      1.189e-18      2.116e-12      2.245e-12      5.199e-17
 5.40      5.136e-13      2.862e-13      8.772e-19      1.990e-12      2.124e-12      3.904e-17
 5.50      4.818e-13      2.695e-13      6.538e-19      1.870e-12      2.009e-12      2.956e-17
 5.60      4.516e-13      2.537e-13      4.919e-19      1.756e-12      1.899e-12      2.256e-17
 5.70      4.231e-13      2.387e-13      3.733e-19      1.648e-12      1.796e-12      1.734e-17
 5.80      3.963e-13      2.247e-13      2.856e-19      1.547e-12      1.700e-12      1.342e-17
 5.90      3.711e-13      2.117e-13      2.201e-19      1.452e-12      1.613e-12      1.045e-17
 6.00      3.476e-13      1.997e-13      1.706e-19      1.365e-12      1.547e-12      8.181e-18
 6.20      3.048e-13      1.765e-13      1.044e-19      1.201e-12      1.376e-12      5.086e-18
 6.40      2.675e-13      1.561e-13      6.499e-20      1.058e-12      1.226e-12      3.209e-18
 6.60      2.349e-13      1.383e-13      4.102e-20      9.323e-13      1.093e-12      2.047e-18
 6.80      2.066e-13      1.226e-13      2.614e-20      8.226e-13      9.749e-13      1.317e-18
 7.00      1.820e-13      1.088e-13      1.677e-20      7.270e-13      8.707e-13      8.513e-19
 7.20      1.605e-13      9.668e-14      1.081e-20      6.433e-13      7.785e-13      5.524e-19
 7.40      1.418e-13      8.605e-14      6.985e-21      5.700e-13      6.967e-13      3.593e-19
 7.60      1.254e-13      7.669e-14      4.526e-21      5.059e-13      6.244e-13      2.340e-19
 7.80      1.111e-13      6.845e-14      2.931e-21      4.497e-13      5.602e-13      1.524e-19
 8.00      9.867e-14      6.118e-14      1.900e-21      4.004e-13      5.032e-13      9.925e-20
 8.20      8.772e-14      5.476e-14      1.232e-21      3.570e-13      4.525e-13      6.460e-20
 8.40      7.811e-14      4.909e-14      7.977e-22      3.188e-13      4.074e-13      4.202e-20
 8.60      6.967e-14      4.406e-14      5.164e-22      2.851e-13      3.673e-13      2.731e-20
 8.80      6.224e-14      3.960e-14      3.339e-22      2.554e-13      3.315e-13      1.773e-20
 9.00      5.569e-14      3.565e-14      2.157e-22      2.291e-13      2.995e-13      1.150e-20
 9.20      4.991e-14      3.213e-14      1.392e-22      2.058e-13      2.709e-13      7.446e-21
 9.40      4.480e-14      2.900e-14      8.976e-23      1.852e-13      2.454e-13      4.817e-21
 9.60      4.027e-14      2.621e-14      5.781e-23      1.668e-13      2.225e-13      3.112e-21
 9.80      3.626e-14      2.371e-14      3.718e-23      1.505e-13      2.020e-13      2.008e-21
10.00      3.270e-14      2.150e-14      2.389e-23      1.361e-13      1.838e-13      1.294e-21
10.50      2.540e-14      1.689e-14      7.872e-24      1.062e-13      1.454e-13      4.297e-22
11.00      1.990e-14      1.338e-14      2.577e-24      8.357e-14      1.158e-13      1.417e-22
11.50      1.573e-14      1.067e-14      8.384e-25      6.630e-14      9.280e-14      4.643e-23
12.00      1.252e-14      8.570e-15      2.713e-25      5.299e-14      7.489e-14      1.512e-23
12.50      1.005e-14      6.930e-15      8.729e-26      4.265e-14      6.081e-14      4.898e-24
13.00      8.120e-15      5.639e-15      2.795e-26      3.457e-14      4.968e-14      1.578e-24
13.50      6.605e-15      4.617e-15      8.908e-27      2.820e-14      4.081e-14      5.058e-25
14.00      5.408e-15      3.802e-15      2.826e-27      2.314e-14      3.371e-14      1.612e-25
14.50      4.450e-15      3.161e-15      8.970e-28      1.913e-14      2.812e-14      5.079e-26
15.00      1.010e-15      9.401e-16      1.155e-28      5.139e-15      8.430e-15      7.856e-27
