## for UVB models (QSO SED 1.8)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 7.00      1.819e-13      1.087e-13      1.393e-20      7.269e-13      8.704e-13      6.944e-19
 7.20      1.605e-13      9.666e-14      9.003e-21      6.432e-13      7.783e-13      4.520e-19
 7.40      1.417e-13      8.603e-14      5.830e-21      5.700e-13      6.966e-13      2.947e-19
 7.60      1.254e-13      7.668e-14      3.783e-21      5.059e-13      6.243e-13      1.922e-19
 7.80      1.111e-13      6.845e-14      2.452e-21      4.497e-13      5.602e-13      1.254e-19
 8.00      9.867e-14      6.118e-14      1.590e-21      4.004e-13      5.031e-13      8.178e-20
 8.20      8.772e-14      5.476e-14      1.031e-21      3.570e-13      4.525e-13      5.329e-20
 8.40      7.811e-14      4.908e-14      6.682e-22      3.188e-13      4.074e-13      3.470e-20
 8.60      6.967e-14      4.406e-14      4.326e-22      2.851e-13      3.673e-13      2.257e-20
 8.80      6.224e-14      3.960e-14      2.798e-22      2.554e-13      3.315e-13      1.466e-20
 9.00      5.569e-14      3.565e-14      1.808e-22      2.291e-13      2.995e-13      9.516e-21
 9.20      4.991e-14      3.213e-14      1.167e-22      2.058e-13      2.709e-13      6.168e-21
 9.40      4.480e-14      2.900e-14      7.523e-23      1.852e-13      2.454e-13      3.993e-21
 9.60      4.027e-14      2.620e-14      4.845e-23      1.668e-13      2.225e-13      2.582e-21
 9.80      3.626e-14      2.371e-14      3.117e-23      1.505e-13      2.020e-13      1.667e-21
10.00      3.270e-14      2.150e-14      2.003e-23      1.361e-13      1.838e-13      1.075e-21
10.50      2.540e-14      1.689e-14      6.598e-24      1.062e-13      1.454e-13      3.573e-22
11.00      1.990e-14      1.338e-14      2.160e-24      8.357e-14      1.158e-13      1.180e-22
11.50      1.573e-14      1.067e-14      7.027e-25      6.630e-14      9.280e-14      3.872e-23
12.00      1.252e-14      8.570e-15      2.273e-25      5.299e-14      7.489e-14      1.263e-23
12.50      1.005e-14      6.930e-15      7.316e-26      4.265e-14      6.081e-14      4.096e-24
13.00      8.120e-15      5.639e-15      2.342e-26      3.457e-14      4.968e-14      1.322e-24
13.50      6.605e-15      4.617e-15      7.465e-27      2.820e-14      4.081e-14      4.241e-25
14.00      5.408e-15      3.802e-15      2.369e-27      2.314e-14      3.371e-14      1.352e-25
14.50      4.450e-15      3.161e-15      7.517e-28      1.913e-14      2.812e-14      4.258e-26
15.00      1.010e-15      9.401e-16      9.675e-29      5.139e-15      8.430e-15      6.545e-27
