## for UVB models (QSO SED 1.9)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 0.00      3.685e-14      1.586e-14      4.860e-16      1.332e-13      1.221e-13      9.640e-15
 0.10      5.775e-14      2.604e-14      7.368e-16      2.121e-13      1.967e-13      1.439e-14
 0.20      8.619e-14      4.048e-14      1.079e-15      3.205e-13      3.029e-13      2.075e-14
 0.30      1.235e-13      5.997e-14      1.532e-15      4.636e-13      4.473e-13      2.900e-14
 0.40      1.710e-13      8.515e-14      2.109e-15      6.453e-13      6.356e-13      3.938e-14
 0.50      2.294e-13      1.166e-13      2.823e-15      8.683e-13      8.716e-13      5.203e-14
 0.60      2.988e-13      1.542e-13      3.675e-15      1.133e-12      1.157e-12      6.697e-14
 0.70      3.786e-13      1.976e-13      4.659e-15      1.437e-12      1.491e-12      8.403e-14
 0.80      4.674e-13      2.460e-13      5.752e-15      1.775e-12      1.867e-12      1.028e-13
 0.90      5.635e-13      2.981e-13      6.914e-15      2.141e-12      2.277e-12      1.228e-13
 1.00      6.637e-13      3.521e-13      8.090e-15      2.520e-12      2.705e-12      1.430e-13
 1.10      7.639e-13      4.060e-13      9.205e-15      2.900e-12      3.135e-12      1.622e-13
 1.20      8.595e-13      4.575e-13      1.017e-14      3.262e-12      3.549e-12      1.793e-13
 1.30      9.468e-13      5.051e-13      1.095e-14      3.593e-12      3.933e-12      1.933e-13
 1.40      1.023e-12      5.462e-13      1.154e-14      3.883e-12      4.268e-12      2.041e-13
 1.50      1.085e-12      5.800e-13      1.193e-14      4.119e-12      4.541e-12      2.114e-13
 1.60      1.131e-12      6.049e-13      1.209e-14      4.294e-12      4.746e-12      2.148e-13
 1.70      1.159e-12      6.213e-13      1.203e-14      4.404e-12      4.879e-12      2.142e-13
 1.80      1.171e-12      6.284e-13      1.175e-14      4.450e-12      4.938e-12      2.099e-13
 1.90      1.166e-12      6.268e-13      1.127e-14      4.432e-12      4.923e-12      2.021e-13
 2.00      1.146e-12      6.176e-13      1.063e-14      4.360e-12      4.844e-12      1.912e-13
 2.10      1.115e-12      6.023e-13      9.857e-15      4.244e-12      4.716e-12      1.781e-13
