## for UVB models (QSO SED 1.6)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 0.00      4.944e-14      2.602e-14      1.027e-15      1.938e-13      2.234e-13      2.071e-14
 0.10      7.568e-14      4.162e-14      1.536e-15      3.016e-13      3.502e-13      3.064e-14
 0.20      1.107e-13      6.333e-14      2.220e-15      4.472e-13      5.266e-13      4.379e-14
 0.30      1.558e-13      9.215e-14      3.109e-15      6.358e-13      7.620e-13      6.064e-14
 0.40      2.124e-13      1.288e-13      4.229e-15      8.721e-13      1.064e-12      8.160e-14
 0.50      2.811e-13      1.740e-13      5.595e-15      1.158e-12      1.437e-12      1.069e-13
 0.60      3.619e-13      2.275e-13      7.208e-15      1.494e-12      1.884e-12      1.365e-13
 0.70      4.539e-13      2.887e-13      9.051e-15      1.876e-12      2.399e-12      1.701e-13
 0.80      5.556e-13      3.561e-13      1.108e-14      2.298e-12      2.975e-12      2.068e-13
 0.90      6.646e-13      4.281e-13      1.323e-14      2.748e-12      3.597e-12      2.456e-13
 1.00      7.775e-13      5.022e-13      1.541e-14      3.214e-12      4.241e-12      2.849e-13
 1.10      8.896e-13      5.758e-13      1.748e-14      3.675e-12      4.887e-12      3.228e-13
 1.20      9.958e-13      6.452e-13      1.931e-14      4.111e-12      5.502e-12      3.568e-13
 1.30      1.092e-12      7.085e-13      2.082e-14      4.507e-12      6.065e-12      3.854e-13
 1.40      1.175e-12      7.625e-13      2.201e-14      4.847e-12      6.551e-12      4.081e-13
 1.50      1.241e-12      8.056e-13      2.281e-14      5.122e-12      6.941e-12      4.239e-13
 1.60      1.290e-12      8.373e-13      2.319e-14      5.319e-12      7.226e-12      4.322e-13
 1.70      1.318e-12      8.559e-13      2.317e-14      5.436e-12      7.395e-12      4.329e-13
 1.80      1.327e-12      8.621e-13      2.274e-14      5.473e-12      7.449e-12      4.261e-13
 1.90      1.318e-12      8.563e-13      2.194e-14      5.432e-12      7.398e-12      4.125e-13
 2.00      1.292e-12      8.404e-13      2.081e-14      5.325e-12      7.249e-12      3.927e-13
 2.10      1.254e-12      8.155e-13      1.943e-14      5.163e-12      7.018e-12      3.684e-13
 2.20      1.207e-12      7.852e-13      1.789e-14      4.968e-12      6.735e-12      3.406e-13
 2.30      1.156e-12      7.512e-13      1.624e-14      4.755e-12      6.414e-12      3.107e-13
 2.40      1.102e-12      7.151e-13      1.455e-14      4.528e-12      6.069e-12      2.800e-13
 2.50      1.048e-12      6.787e-13      1.287e-14      4.300e-12      5.716e-12      2.490e-13
 2.60      9.979e-13      6.436e-13      1.123e-14      4.083e-12      5.371e-12      2.187e-13
 2.70      9.520e-13      6.109e-13      9.657e-15      3.886e-12      5.045e-12      1.895e-13
 2.80      9.116e-13      5.817e-13      8.185e-15      3.710e-12      4.745e-12      1.620e-13
 2.90      8.784e-13      5.564e-13      6.825e-15      3.562e-12      4.478e-12      1.364e-13
 3.00      8.526e-13      5.351e-13      5.591e-15      3.443e-12      4.247e-12      1.130e-13
 3.10      8.346e-13      5.183e-13      4.491e-15      3.355e-12      4.053e-12      9.201e-14
 3.20      8.241e-13      5.058e-13      3.527e-15      3.297e-12      3.896e-12      7.348e-14
 3.30      8.206e-13      4.972e-13      2.702e-15      3.266e-12      3.775e-12      5.748e-14
 3.40      8.231e-13      4.923e-13      2.012e-15      3.259e-12      3.690e-12      4.395e-14
 3.50      8.302e-13      4.902e-13      1.453e-15      3.272e-12      3.633e-12      3.282e-14
 3.60      8.405e-13      4.902e-13      1.019e-15      3.297e-12      3.598e-12      2.395e-14
 3.70      8.522e-13      4.913e-13      6.944e-16      3.330e-12      3.580e-12      1.711e-14
 3.80      8.636e-13      4.928e-13      4.647e-16      3.362e-12      3.572e-12      1.204e-14
 3.90      8.728e-13      4.936e-13      3.070e-16      3.388e-12      3.565e-12      8.388e-15
 4.00      8.784e-13      4.929e-13      2.023e-16      3.401e-12      3.552e-12      5.823e-15
 4.10      8.793e-13      4.903e-13      1.336e-16      3.397e-12      3.529e-12      4.047e-15
 4.20      8.748e-13      4.851e-13      8.891e-17      3.374e-12      3.490e-12      2.826e-15
 4.30      8.646e-13      4.774e-13      5.975e-17      3.330e-12      3.436e-12      1.987e-15
 4.40      8.486e-13      4.671e-13      4.065e-17      3.266e-12      3.364e-12      1.409e-15
 4.50      8.272e-13      4.542e-13      2.803e-17      3.181e-12      3.277e-12      1.009e-15
 4.60      8.004e-13      4.389e-13      1.959e-17      3.077e-12      3.172e-12      7.290e-16
 4.70      7.679e-13      4.212e-13      1.382e-17      2.953e-12      3.051e-12      5.293e-16
 4.80      7.312e-13      4.017e-13      9.369e-18      2.814e-12      2.919e-12      3.720e-16
 4.90      6.937e-13      3.818e-13      6.438e-18      2.672e-12      2.784e-12      2.641e-16
 5.00      6.561e-13      3.620e-13      4.483e-18      2.530e-12      2.649e-12      1.894e-16
 5.10      6.189e-13      3.424e-13      3.160e-18      2.390e-12      2.515e-12      1.371e-16
 5.20      5.827e-13      3.233e-13      2.255e-18      2.253e-12      2.383e-12      1.002e-16
 5.30      5.477e-13      3.048e-13      1.627e-18      2.121e-12      2.256e-12      7.385e-17
 5.40      5.141e-13      2.871e-13      1.187e-18      1.994e-12      2.133e-12      5.493e-17
 5.50      4.822e-13      2.703e-13      8.753e-19      1.873e-12      2.016e-12      4.121e-17
 5.60      4.519e-13      2.543e-13      6.516e-19      1.758e-12      1.905e-12      3.116e-17
 5.70      4.233e-13      2.392e-13      4.896e-19      1.650e-12      1.801e-12      2.375e-17
 5.80      3.965e-13      2.251e-13      3.711e-19      1.548e-12      1.704e-12      1.823e-17
 5.90      3.713e-13      2.120e-13      2.835e-19      1.454e-12      1.617e-12      1.409e-17
 6.00      3.478e-13      2.000e-13      2.179e-19      1.366e-12      1.549e-12      1.095e-17
 6.20      3.049e-13      1.767e-13      1.315e-19      1.202e-12      1.378e-12      6.725e-18
 6.40      2.675e-13      1.563e-13      8.107e-20      1.058e-12      1.227e-12      4.202e-18
 6.60      2.350e-13      1.383e-13      5.076e-20      9.326e-13      1.094e-12      2.661e-18
 6.80      2.066e-13      1.226e-13      3.215e-20      8.228e-13      9.754e-13      1.702e-18
 7.00      1.820e-13      1.088e-13      2.053e-20      7.272e-13      8.711e-13      1.096e-18
 7.20      1.605e-13      9.671e-14      1.319e-20      6.434e-13      7.787e-13      7.088e-19
 7.40      1.418e-13      8.607e-14      8.506e-21      5.701e-13      6.969e-13      4.599e-19
 7.60      1.254e-13      7.671e-14      5.502e-21      5.059e-13      6.245e-13      2.989e-19
 7.80      1.111e-13      6.846e-14      3.559e-21      4.497e-13      5.603e-13      1.944e-19
 8.00      9.867e-14      6.119e-14      2.305e-21      4.004e-13      5.032e-13      1.265e-19
 8.20      8.772e-14      5.477e-14      1.493e-21      3.570e-13      4.525e-13      8.228e-20
 8.40      7.811e-14      4.909e-14      9.669e-22      3.188e-13      4.074e-13      5.348e-20
 8.60      6.967e-14      4.406e-14      6.257e-22      2.851e-13      3.673e-13      3.474e-20
 8.80      6.224e-14      3.960e-14      4.046e-22      2.554e-13      3.315e-13      2.254e-20
 9.00      5.569e-14      3.565e-14      2.614e-22      2.291e-13      2.995e-13      1.461e-20
 9.20      4.991e-14      3.213e-14      1.687e-22      2.058e-13      2.709e-13      9.461e-21
 9.40      4.480e-14      2.900e-14      1.087e-22      1.852e-13      2.454e-13      6.118e-21
 9.60      4.027e-14      2.621e-14      7.002e-23      1.668e-13      2.225e-13      3.952e-21
 9.80      3.626e-14      2.371e-14      4.504e-23      1.505e-13      2.020e-13      2.550e-21
10.00      3.270e-14      2.150e-14      2.895e-23      1.361e-13      1.838e-13      1.642e-21
10.50      2.540e-14      1.689e-14      9.537e-24      1.062e-13      1.454e-13      5.449e-22
11.00      1.990e-14      1.338e-14      3.122e-24      8.357e-14      1.158e-13      1.796e-22
11.50      1.573e-14      1.067e-14      1.016e-24      6.630e-14      9.280e-14      5.879e-23
12.00      1.252e-14      8.570e-15      3.287e-25      5.299e-14      7.489e-14      1.914e-23
12.50      1.005e-14      6.930e-15      1.058e-25      4.265e-14      6.081e-14      6.194e-24
13.00      8.120e-15      5.639e-15      3.387e-26      3.457e-14      4.968e-14      1.994e-24
13.50      6.605e-15      4.617e-15      1.080e-26      2.820e-14      4.081e-14      6.388e-25
14.00      5.408e-15      3.802e-15      3.426e-27      2.314e-14      3.371e-14      2.034e-25
14.50      4.450e-15      3.161e-15      1.087e-27      1.913e-14      2.812e-14      6.416e-26
15.00      1.010e-15      9.402e-16      1.400e-28      5.139e-15      8.431e-15      9.963e-27
