# Total Lya optical depth for galaxies in ionized bubbles using simple physical model (fesc=1, C=3)
# First column is velocity offset from systemic, other columns are optical depth at quoted UV magnitude
# DV	-24.0	-23.5	-23.0	-22.5	-22.0	-21.5	-21.0	-20.5	-20.0	-19.5	-19.0	-18.5	-18.0	-17.5	-17.0	-16.5	-16.0
-1995.9984680958657	26.51035180576021	40.97729986713097	62.54350454911466	93.69276671896414	136.68867826250866	192.47432319807123	259.3731695595769	332.81996228209215	421.80742171133215	481523.468862596	481783.41363188846	481880.4998523406	481973.4578093174	482045.3487055096	482099.1435608951	482139.5559077793	482170.28891291795
-1991.0652044574913	26.386056440256674	40.789548273352196	62.26709974876698	93.30091170822712	136.16192083311518	191.81459850217482	258.6150814297208	332.0161306178924	418.97303631041535	481531.8416818327	481792.045976547	481890.0404251911	481983.1278998361	482055.31581132975	482109.3814921471	482150.0139488968	482180.9215051309
-1986.1319408191168	26.262013100553123	40.60213534606216	61.991101237720734	92.90944373055508	135.63533393837795	191.15452565449257	257.8558697894537	331.2108801166524	416.53231524861616	481539.8571642604	481800.60577693064	481899.5855818773	481992.7900621538	482065.2728691986	482119.60974906624	482160.4629162082	482191.5456403522
-1981.1986771806862	26.13822215289195	40.415061882370026	61.71551064786933	92.51836580346232	135.10892231503527	190.49411025283598	257.0955357546025	330.40418345683247	414.3837027905803	481547.50243600603	481809.0922322758	481909.13594907033	482002.4443679393	482075.2200435011	482129.82820985955	482170.9027997637	482202.1614506112
-1976.2654135423124	26.01468396295136	40.228328679015654	61.44032961129189	92.12768094869746	134.58269071836264	189.83335794120129	256.33408204424984	329.59602787888036	412.4574055158896	481554.76441261044	481817.5045986498	481918.92473131523	482012.0909730674	482085.15728149423	482140.03690966073	482181.3336304653	482212.7688511486
-1971.3321499038816	25.891398896108086	40.0419365321387	61.1655597605643	91.7373921934705	134.05664392207103	189.17227441135287	255.57151148906473	328.78637368187555	410.7040877179617	481561.62990929536	481825.84202279756	481929.7440926981	482021.7301216997	482095.08468126366	482150.2359647352	482191.7553593879	482223.3679559142
-1966.3988862655071	25.768367317049634	39.855886237191555	60.8912027283401	91.34750256876669	133.53078671711634	188.51086540151425	254.80782702775872	327.9751961576206	409.0876866829999	481568.0855252674	481834.10355686035	481940.5218223016	482031.3618764707	482105.0022380387	482160.42514985206	482202.1679357847	482233.9584896077
-1961.4656226270768	25.645589590191122	39.67017858918111	60.61726014741271	90.95801511112252	133.00512391412252	187.84913669727754	254.0430317096941	327.1624718050077	407.58152966787713	481574.11789231526	481842.2885427199	481951.257254255	482040.98646984564	482114.9099268178	482170.60450554127	482212.5713364905	482244.5405355263
-1956.5323589887028	25.523066079350915	39.48481438232987	60.34373365093022	90.56893286084967	132.47966034048014	187.18709413137614	253.27712869227992	326.3481782599809	406.165162194633	481579.7138403532	481850.39610414597	481961.9498399449	482050.6039581435	482124.8077729641	482180.7740487024	482222.96548688057	482255.1140471187
-1951.599095350328	25.400797147931115	39.29979441033355	60.07062487210783	90.18025886346534	131.9544008424543	186.52474358355622	252.51012124060173	325.53229423785393	404.82286471863824	481584.86038208	481858.42572176986	481972.59895856614	482060.214778675	482134.69594507007	482190.9338256074	482233.35047780623	482265.67911911313
-1946.6658317118977	25.27878315879781	39.11511946630857	59.797935444481546	89.79199616832476	131.4293502839754	185.8620909805645	251.7420127273889	324.7147994736341	403.5422742006628	481589.54472173966	481866.3763193234	481983.2037465306	482069.81884228525	482144.5742033699	482201.0836719238	482243.7260616302	482276.23541237443
-1941.7325680735232	25.157024474349818	38.93079034259493	59.525667001270676	89.40414782980467	130.90451354668772	185.19914229638263	250.97280663155985	323.8956746718306	402.31347070374835	481593.75527244835	481874.24748233525	481993.7638607111	482079.4165372742	482154.4428504027	482211.2236979215	482254.0924467906	482286.78317995294
-1936.7993044350928	25.035521456579385	38.74680783111826	59.25382117637276	89.01671690656408	130.37989675435995	184.5359035523312	250.2025065393934	323.0749014548359	401.1285209541707	481597.4806081245	481882.038406934	482004.27834768815	482089.00795875955	482164.30182978563	482221.35378549	482264.44944019587	482297.3222674841
-1931.8660407967188	24.914274466892635	38.563172722992306	58.98239960343607	88.62970646126811	129.85550377062324	183.87238081698933	249.43111614197272	322.25246231819114	399.98096831889836	481600.7109848861	481889.74845377624	482014.74664739834	482098.5933069496	482174.1510504594	482231.4740128023	482274.7970883797	482307.852564645
-1926.9327771582882	24.793283866247364	38.37988580871625	58.71140391617976	88.24311956157563	129.33133937938317	183.2085802060202	248.65863923662852	321.42834058775225	398.86541877409746	481603.43819705734	481897.37713318615	482025.1680524526	482108.172963515	482183.9907799868	482241.58427303337	482285.13526460313	482318.3742459138
-1921.9995135199138	24.672550015119537	38.19694787810061	58.44083574849401	87.8569592788878	128.80740853338344	182.54450788208328	247.88507972483208	320.6025203788001	397.7774185503627	481605.6560940809	481904.92391757946	482035.54180905863	482117.74711192364	482193.82080631563	482251.6846735801	482295.4640922154	482328.8870265706
-1917.0662498815393	24.55207327350189	38.01435972042532	58.170696734347295	87.47122868891414	128.2837162030327	181.88017005559036	247.11044161445952	319.7749865612837	396.7132657426295	481607.3612784329	481912.3883779708	482045.8673416577	482127.3159092813	482203.64144898485	482261.7751651712	482305.7835063053	482339.39104600146
-1912.1329862431087	24.43185400078212	37.832122124103	57.90098850753508	87.08593087204426	127.76026737617484	181.2155729839654	246.33472901553546	318.94572472154954	395.66984504386147	481608.5537143835	481919.76989699487	482056.1436822508	482136.8795915037	482213.4525262202	482271.85557614366	482316.0933126733	482349.8862319581
