## EBL from Khaire & Srianand 2018; Q16 Model with alpha=-1.6 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     9.914149e-37
 1.122019e-08     1.443472e-36
 1.258925e-08     2.078947e-36
 1.412538e-08     2.946395e-36
 1.584893e-08     4.101834e-36
 1.778279e-08     5.609777e-36
 1.995263e-08     7.544308e-36
 2.238721e-08     9.990292e-36
 2.511887e-08     1.304493e-35
 2.818382e-08     1.681935e-35
 3.162278e-08     2.144089e-35
 3.548135e-08     2.705537e-35
 3.981071e-08     3.383020e-35
 4.466837e-08     4.195796e-35
 5.011870e-08     5.166024e-35
 5.623413e-08     6.319295e-35
 6.309576e-08     7.685131e-35
 7.079456e-08     9.297655e-35
 7.943284e-08     1.119639e-34
 8.912505e-08     1.342701e-34
 1.000000e-07     1.604252e-34
 1.122019e-07     1.910421e-34
 1.258925e-07     2.268312e-34
 1.412538e-07     2.686170e-34
 1.584892e-07     3.173527e-34
 1.778279e-07     3.741459e-34
 1.995263e-07     4.402785e-34
 2.238721e-07     5.172359e-34
 2.511887e-07     6.067417e-34
 2.818382e-07     7.107912e-34
 3.162278e-07     8.317000e-34
 3.548136e-07     9.721493e-34
 3.981071e-07     1.135245e-33
 4.466837e-07     1.324594e-33
 5.011870e-07     1.544365e-33
 5.623413e-07     1.799402e-33
 6.309576e-07     2.095309e-33
 7.079456e-07     2.438581e-33
 7.943284e-07     2.836754e-33
 8.912505e-07     3.298546e-33
 1.000000e-06     3.834077e-33
 1.122019e-06     4.455062e-33
 1.258925e-06     5.175070e-33
 1.412538e-06     6.009855e-33
 1.584893e-06     6.977635e-33
 1.778279e-06     8.099549e-33
 1.995263e-06     9.400090e-33
 2.238721e-06     1.090762e-32
 2.511887e-06     1.265502e-32
 2.818382e-06     1.468039e-32
 3.162278e-06     1.702790e-32
 3.548136e-06     1.974872e-32
 3.981071e-06     2.290206e-32
 4.466837e-06     2.655672e-32
 5.011870e-06     3.079223e-32
 5.623413e-06     3.570092e-32
 6.309576e-06     4.138966e-32
 7.079456e-06     4.798224e-32
 7.943284e-06     5.562236e-32
 8.912505e-06     6.447617e-32
 1.000000e-05     7.473660e-32
 1.122019e-05     8.662693e-32
 1.258925e-05     1.004058e-31
 1.412538e-05     1.163734e-31
 1.584893e-05     1.348770e-31
 1.778279e-05     1.563195e-31
 1.995263e-05     1.811677e-31
 2.238721e-05     2.099617e-31
 2.511887e-05     2.433288e-31
 2.818382e-05     2.819944e-31
 3.162278e-05     3.268008e-31
 3.548135e-05     3.787223e-31
 3.981071e-05     4.388884e-31
 4.466837e-05     5.086091e-31
 5.011870e-05     5.894002e-31
 5.623413e-05     6.830212e-31
 6.309577e-05     7.915084e-31
 7.079457e-05     9.172206e-31
 7.943284e-05     1.062895e-30
 8.912505e-05     1.231700e-30
 1.000000e-04     1.427310e-30
 1.122018e-04     1.653978e-30
 1.258926e-04     1.916536e-30
 1.412538e-04     2.217275e-30
 1.584893e-04     2.562938e-30
 1.778279e-04     2.961819e-30
 1.995262e-04     3.423606e-30
 2.238722e-04     3.959540e-30
 2.511887e-04     4.582682e-30
 2.818383e-04     5.308295e-30
 3.162278e-04     6.154268e-30
 3.548134e-04     7.141643e-30
 3.981073e-04     8.295240e-30
 4.466837e-04     9.644357e-30
 5.011873e-04     1.122365e-29
 5.623413e-04     1.307415e-29
 6.309572e-04     1.524444e-29
 7.079460e-04     1.779215e-29
 7.943284e-04     2.078559e-29
 8.912510e-04     2.430589e-29
 1.000000e-03     2.844941e-29
 1.122018e-03     3.333064e-29
 1.258926e-03     3.908583e-29
 1.412538e-03     4.587691e-29
 1.584893e-03     5.389676e-29
 1.778279e-03     6.337514e-29
 1.995262e-03     7.458578e-29
 2.238722e-03     8.785504e-29
 2.511887e-03     1.035719e-28
 2.818383e-03     1.222010e-28
 3.162278e-03     1.442963e-28
 3.548133e-03     1.705197e-28
 3.981073e-03     2.016620e-28
 4.466837e-03     2.386674e-28
 5.011873e-03     2.826657e-28
 5.623413e-03     3.350092e-28
 6.309573e-03     3.973201e-28
 7.079460e-03     4.715527e-28
 7.943284e-03     5.600745e-28
 8.912510e-03     6.657788e-28
 1.000000e-02     7.922331e-28
 1.122019e-02     9.438715e-28
 1.258925e-02     1.126227e-27
 1.412538e-02     1.346222e-27
 1.584894e-02     1.612454e-27
 1.778279e-02     1.935535e-27
 1.995263e-02     2.328432e-27
 2.238721e-02     2.806781e-27
 2.511887e-02     3.389276e-27
 2.818385e-02     4.098027e-27
 3.162277e-02     4.958998e-27
 3.548136e-02     6.002586e-27
 3.981071e-02     7.264188e-27
 4.466837e-02     8.785143e-27
 5.011876e-02     1.061368e-26
 5.623413e-02     1.280624e-26
 6.309576e-02     1.542916e-26
 7.079456e-02     1.856051e-26
 7.943284e-02     2.229261e-26
 8.912515e-02     2.673480e-26
 1.000000e-01     3.201682e-26
 1.122019e-01     3.829478e-26
 1.258925e-01     4.565731e-26
 1.412538e-01     5.402104e-26
 1.584894e-01     6.327991e-26
 1.778279e-01     7.332229e-26
 1.995263e-01     8.404086e-26
 2.238721e-01     9.533692e-26
 2.511887e-01     1.071231e-25
 2.818385e-01     1.193234e-25
 3.162278e-01     1.318727e-25
 3.548135e-01     1.447171e-25
 3.981071e-01     1.578126e-25
 4.466837e-01     1.711247e-25
 5.011876e-01     1.846277e-25
 5.623413e-01     1.983039e-25
 6.309576e-01     2.121432e-25
 7.079456e-01     2.261412e-25
 7.943284e-01     2.402994e-25
 8.912515e-01     2.546231e-25
 1.000000e+00     2.691217e-25
 1.122019e+00     2.838076e-25
 1.258925e+00     2.986948e-25
 1.412538e+00     3.137993e-25
 1.584894e+00     3.290853e-25
 1.778279e+00     3.439610e-25
 1.995263e+00     3.588837e-25
 2.238721e+00     3.743327e-25
 2.511887e+00     3.907555e-25
 2.818385e+00     4.085739e-25
 3.162278e+00     4.282092e-25
 3.548136e+00     4.501166e-25
 3.981071e+00     4.748167e-25
 4.466837e+00     5.029305e-25
 5.011876e+00     5.352101e-25
 5.623413e+00     5.725743e-25
 6.309576e+00     6.160535e-25
 7.079456e+00     6.649337e-25
 7.943284e+00     7.214980e-25
 8.912516e+00     7.885173e-25
 1.000000e+01     8.690709e-25
 1.122019e+01     9.665808e-25
 1.258925e+01     1.084885e-24
 1.412538e+01     1.228337e-24
 1.584894e+01     1.401873e-24
 1.778279e+01     1.611036e-24
 1.995263e+01     1.861928e-24
 2.238721e+01     2.160999e-24
 2.511887e+01     2.514699e-24
 2.818385e+01     2.928842e-24
 3.162278e+01     3.407730e-24
 3.548135e+01     3.952630e-24
 3.981071e+01     4.560015e-24
 4.466837e+01     5.188541e-24
 5.011876e+01     5.915992e-24
 5.623413e+01     6.669595e-24
 6.309576e+01     7.555980e-24
 7.079456e+01     8.456775e-24
 7.943284e+01     9.524747e-24
 8.912515e+01     1.072403e-23
 1.000000e+02     1.212082e-23
 1.120000e+02     1.375136e-23
 1.250000e+02     1.552654e-23
 1.400000e+02     1.753899e-23
 1.550000e+02     1.944619e-23
 1.650000e+02     2.069078e-23
 1.750000e+02     2.183243e-23
 1.850000e+02     2.295601e-23
 1.900000e+02     2.352618e-23
 1.950000e+02     2.404457e-23
 2.000000e+02     2.462598e-23
 2.050000e+02     2.528893e-23
 2.100000e+02     2.609288e-23
 2.150000e+02     2.733393e-23
 2.180000e+02     2.842808e-23
 2.210000e+02     3.004670e-23
 2.240000e+02     3.225509e-23
 2.260000e+02     3.433052e-23
 2.270000e+02     3.558447e-23
 2.275000e+02     3.626375e-23
 2.278400e+02     3.680140e-23
 2.380000e+02     4.463244e-23
 2.500000e+02     5.280043e-23
 2.700000e+02     6.598664e-23
 2.900000e+02     7.799986e-23
 3.035000e+02     8.525900e-23
 3.037800e+02     1.268735e-22
 3.045000e+02     1.270291e-22
 3.060000e+02     1.274257e-22
 3.080000e+02     1.279771e-22
 3.100000e+02     1.285346e-22
 3.120000e+02     1.290983e-22
 3.150000e+02     1.299702e-22
 3.200000e+02     1.316005e-22
 3.250000e+02     1.326949e-22
 3.300000e+02     1.338348e-22
 3.400000e+02     1.358451e-22
 3.600000e+02     1.401982e-22
 3.800000e+02     1.439867e-22
 4.050000e+02     1.504419e-22
 4.250000e+02     1.568113e-22
 4.500000e+02     1.665055e-22
 4.650000e+02     1.724272e-22
 4.750000e+02     1.768257e-22
 4.820000e+02     1.808809e-22
 4.870000e+02     1.830686e-22
 4.910000e+02     1.848355e-22
 4.950000e+02     1.866195e-22
 4.980000e+02     1.879699e-22
 5.000000e+02     1.888677e-22
 5.020000e+02     1.896830e-22
 5.039800e+02     1.904940e-22
 5.100000e+02     1.942117e-22
 5.250000e+02     2.026631e-22
 5.600000e+02     2.222847e-22
 6.000000e+02     2.459316e-22
 6.500000e+02     2.757506e-22
 7.000000e+02     3.068083e-22
 7.500000e+02     3.401507e-22
 8.000000e+02     3.774601e-22
 8.300000e+02     4.020665e-22
 8.600000e+02     4.304439e-22
 8.800000e+02     4.508361e-22
 8.900000e+02     4.621190e-22
 8.960000e+02     4.685951e-22
 9.000000e+02     4.731056e-22
 9.030000e+02     4.765149e-22
 9.060000e+02     4.799470e-22
 9.090000e+02     4.834024e-22
 9.117800e+02     4.881898e-22
 9.300000e+02     7.192478e-22
 9.500000e+02     7.517365e-22
 9.750000e+02     1.071949e-21
 9.900000e+02     1.181086e-21
 1.005000e+03     1.386180e-21
 1.025000e+03     1.647441e-21
 1.045000e+03     1.937557e-21
 1.065000e+03     2.297154e-21
 1.085000e+03     2.721697e-21
 1.105000e+03     3.125135e-21
 1.125000e+03     3.605747e-21
 1.145000e+03     4.042456e-21
 1.165000e+03     4.566275e-21
 1.185000e+03     5.051062e-21
 1.205000e+03     5.560224e-21
 1.215600e+03     5.800797e-21
 1.215670e+03     5.966578e-21
 1.216000e+03     5.973188e-21
 1.218000e+03     6.013205e-21
 1.221000e+03     6.071935e-21
 1.225000e+03     6.149892e-21
 1.230000e+03     6.258273e-21
 1.240000e+03     6.496569e-21
 1.250000e+03     6.773339e-21
 1.265000e+03     7.223717e-21
 1.285000e+03     7.862850e-21
 1.305000e+03     8.530563e-21
 1.325000e+03     9.190658e-21
