## EBL from Khaire & Srianand 2018; Q16 Model with alpha=-1.6 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.971376e-38
 1.122019e-08     4.318872e-38
 1.258925e-08     6.172264e-38
 1.412538e-08     8.642778e-38
 1.584893e-08     1.186442e-37
 1.778279e-08     1.599382e-37
 1.995263e-08     2.121124e-37
 2.238721e-08     2.772279e-37
 2.511887e-08     3.576408e-37
 2.818382e-08     4.560429e-37
 3.162278e-08     5.755195e-37
 3.548135e-08     7.196083e-37
 3.981071e-08     8.923768e-37
 4.466837e-08     1.098514e-36
 5.011870e-08     1.343422e-36
 5.623413e-08     1.633350e-36
 6.309576e-08     1.975517e-36
 7.079456e-08     2.378273e-36
 7.943284e-08     2.851297e-36
 8.912505e-08     3.405784e-36
 1.000000e-07     4.054724e-36
 1.122019e-07     4.813152e-36
 1.258925e-07     5.698487e-36
 1.412538e-07     6.730954e-36
 1.584892e-07     7.933937e-36
 1.778279e-07     9.334611e-36
 1.995263e-07     1.096442e-35
 2.238721e-07     1.285980e-35
 2.511887e-07     1.506305e-35
 2.818382e-07     1.762310e-35
 3.162278e-07     2.059676e-35
 3.548136e-07     2.404982e-35
 3.981071e-07     2.805845e-35
 4.466837e-07     3.271110e-35
 5.011870e-07     3.811009e-35
 5.623413e-07     4.437420e-35
 6.309576e-07     5.164090e-35
 7.079456e-07     6.006946e-35
 7.943284e-07     6.984478e-35
 8.912505e-07     8.118065e-35
 1.000000e-06     9.432532e-35
 1.122019e-06     1.095661e-34
 1.258925e-06     1.272359e-34
 1.412538e-06     1.477209e-34
 1.584893e-06     1.714682e-34
 1.778279e-06     1.989962e-34
 1.995263e-06     2.309054e-34
 2.238721e-06     2.678915e-34
 2.511887e-06     3.107615e-34
 2.818382e-06     3.604492e-34
 3.162278e-06     4.180382e-34
 3.548136e-06     4.847833e-34
 3.981071e-06     5.621375e-34
 4.466837e-06     6.517873e-34
 5.011870e-06     7.556837e-34
 5.623413e-06     8.760912e-34
 6.309576e-06     1.015631e-33
 7.079456e-06     1.177339e-33
 7.943284e-06     1.364740e-33
 8.912505e-06     1.581908e-33
 1.000000e-05     1.833577e-33
 1.122019e-05     2.125221e-33
 1.258925e-05     2.463185e-33
 1.412538e-05     2.854832e-33
 1.584893e-05     3.308677e-33
 1.778279e-05     3.834602e-33
 1.995263e-05     4.444056e-33
 2.238721e-05     5.150292e-33
 2.511887e-05     5.968685e-33
 2.818382e-05     6.917035e-33
 3.162278e-05     8.015992e-33
 3.548135e-05     9.289458e-33
 3.981071e-05     1.076514e-32
 4.466837e-05     1.247516e-32
 5.011870e-05     1.445668e-32
 5.623413e-05     1.675289e-32
 6.309577e-05     1.941371e-32
 7.079457e-05     2.249699e-32
 7.943284e-05     2.606988e-32
 8.912505e-05     3.021006e-32
 1.000000e-04     3.500767e-32
 1.122018e-04     4.056701e-32
 1.258926e-04     4.699916e-32
 1.412538e-04     5.429756e-32
 1.584893e-04     6.270282e-32
 1.778279e-04     7.244160e-32
 1.995262e-04     8.375636e-32
 2.238722e-04     9.692249e-32
 2.511887e-04     1.122603e-31
 2.818383e-04     1.301461e-31
 3.162278e-04     1.510238e-31
 3.548134e-04     1.754171e-31
 3.981073e-04     2.039457e-31
 4.466837e-04     2.373418e-31
 5.011873e-04     2.764732e-31
 5.623413e-04     3.223672e-31
 6.309572e-04     3.762421e-31
 7.079460e-04     4.395435e-31
 7.943284e-04     5.139863e-31
 8.912510e-04     6.016085e-31
 1.000000e-03     7.048318e-31
 1.122018e-03     8.265358e-31
 1.258926e-03     9.701492e-31
 1.412538e-03     1.139748e-30
 1.584893e-03     1.340191e-30
 1.778279e-03     1.577270e-30
 1.995262e-03     1.857883e-30
 2.238722e-03     2.190265e-30
 2.511887e-03     2.584233e-30
 2.818383e-03     3.051511e-30
 3.162278e-03     3.606096e-30
 3.548133e-03     4.264704e-30
 3.981073e-03     5.047324e-30
 4.466837e-03     5.977830e-30
 5.011873e-03     7.084803e-30
 5.623413e-03     8.402488e-30
 6.309573e-03     9.972065e-30
 7.079460e-03     1.184332e-29
 7.943284e-03     1.407692e-29
 8.912510e-03     1.674758e-29
 1.000000e-02     1.994820e-29
 1.122019e-02     2.379505e-29
 1.258925e-02     2.843393e-29
 1.412538e-02     3.404715e-29
 1.584894e-02     4.086046e-29
 1.778279e-02     4.915039e-29
 1.995263e-02     5.925159e-29
 2.238721e-02     7.156340e-29
 2.511887e-02     8.655809e-29
 2.818385e-02     1.047892e-28
 3.162277e-02     1.269019e-28
 3.548136e-02     1.536479e-28
 3.981071e-02     1.859005e-28
 4.466837e-02     2.246793e-28
 5.011876e-02     2.711759e-28
 5.623413e-02     3.267882e-28
 6.309576e-02     3.931652e-28
 7.079456e-02     4.722527e-28
 7.943284e-02     5.663608e-28
 8.912515e-02     6.782302e-28
 1.000000e-01     8.111213e-28
 1.122019e-01     9.690598e-28
 1.258925e-01     1.151450e-27
 1.412538e-01     1.352479e-27
 1.584894e-01     1.568697e-27
 1.778279e-01     1.797713e-27
 1.995263e-01     2.037644e-27
 2.238721e-01     2.286875e-27
 2.511887e-01     2.543996e-27
 2.818385e-01     2.807788e-27
 3.162278e-01     3.077218e-27
 3.548135e-01     3.351457e-27
 3.981071e-01     3.629854e-27
 4.466837e-01     3.911944e-27
 5.011876e-01     4.197419e-27
 5.623413e-01     4.486117e-27
 6.309576e-01     4.777870e-27
 7.079456e-01     5.072863e-27
 7.943284e-01     5.371229e-27
 8.912515e-01     5.673148e-27
 1.000000e+00     5.978835e-27
 1.122019e+00     6.288526e-27
 1.258925e+00     6.602426e-27
 1.412538e+00     6.920700e-27
 1.584894e+00     7.238997e-27
 1.778279e+00     7.536148e-27
 1.995263e+00     7.841207e-27
 2.238721e+00     8.167206e-27
 2.511887e+00     8.521169e-27
 2.818385e+00     8.908096e-27
 3.162278e+00     9.332391e-27
 3.548136e+00     9.798082e-27
 3.981071e+00     1.030829e-26
 4.466837e+00     1.086424e-26
 5.011876e+00     1.146354e-26
 5.623413e+00     1.209806e-26
 6.309576e+00     1.274090e-26
 7.079456e+00     1.324832e-26
 7.943284e+00     1.378191e-26
 8.912516e+00     1.413135e-26
 1.000000e+01     1.446104e-26
 1.122019e+01     1.456047e-26
 1.258925e+01     1.444675e-26
 1.412538e+01     1.410811e-26
 1.584894e+01     1.349490e-26
 1.778279e+01     1.265742e-26
 1.995263e+01     1.165799e-26
 2.238721e+01     1.054546e-26
 2.511887e+01     9.382469e-27
 2.818385e+01     8.242184e-27
 3.162278e+01     7.158516e-27
 3.548135e+01     6.171381e-27
 3.981071e+01     5.295980e-27
 4.466837e+01     4.535596e-27
 5.011876e+01     3.883893e-27
 5.623413e+01     3.331128e-27
 6.309576e+01     2.864350e-27
 7.079456e+01     2.470983e-27
 7.943284e+01     2.140996e-27
 8.912515e+01     1.864800e-27
 1.000000e+02     1.633115e-27
 1.120000e+02     1.442360e-27
 1.250000e+02     1.287512e-27
 1.400000e+02     1.154986e-27
 1.550000e+02     1.055260e-27
 1.650000e+02     1.002749e-27
 1.750000e+02     9.588132e-28
 1.850000e+02     9.238777e-28
 1.900000e+02     9.132200e-28
 1.950000e+02     9.128005e-28
 2.000000e+02     9.344032e-28
 2.050000e+02     1.001596e-27
 2.100000e+02     1.163989e-27
 2.150000e+02     1.517912e-27
 2.180000e+02     1.892538e-27
 2.210000e+02     2.460824e-27
 2.240000e+02     3.310973e-27
 2.260000e+02     4.093826e-27
 2.270000e+02     4.567181e-27
 2.275000e+02     4.827283e-27
 2.278400e+02     5.013732e-27
 2.380000e+02     1.177939e-23
 2.500000e+02     2.470563e-23
 2.700000e+02     3.326328e-23
 2.900000e+02     3.765710e-23
 3.035000e+02     3.998385e-23
 3.037800e+02     4.547434e-23
 3.045000e+02     4.506884e-23
 3.060000e+02     4.440308e-23
 3.080000e+02     4.374956e-23
 3.100000e+02     4.332358e-23
 3.120000e+02     4.306982e-23
 3.150000e+02     4.291316e-23
 3.200000e+02     4.309051e-23
 3.250000e+02     4.357204e-23
 3.300000e+02     4.420290e-23
 3.400000e+02     4.564307e-23
 3.600000e+02     4.863019e-23
 3.800000e+02     5.163311e-23
 4.050000e+02     5.532579e-23
 4.250000e+02     5.826456e-23
 4.500000e+02     6.187376e-23
 4.650000e+02     6.404062e-23
 4.750000e+02     6.547755e-23
 4.820000e+02     6.648151e-23
 4.870000e+02     6.719407e-23
 4.910000e+02     6.777161e-23
 4.950000e+02     6.832606e-23
 4.980000e+02     6.874917e-23
 5.000000e+02     6.903485e-23
 5.020000e+02     6.932318e-23
 5.039800e+02     6.960675e-23
 5.100000e+02     7.709760e-23
 5.250000e+02     8.604319e-23
 5.600000e+02     9.497177e-23
 6.000000e+02     1.023024e-22
 6.500000e+02     1.115145e-22
 7.000000e+02     1.223673e-22
 7.500000e+02     1.363537e-22
 8.000000e+02     1.551424e-22
 8.300000e+02     1.694053e-22
 8.600000e+02     1.867592e-22
 8.800000e+02     2.000839e-22
 8.900000e+02     2.073983e-22
 8.960000e+02     2.119811e-22
 9.000000e+02     2.151247e-22
 9.030000e+02     2.175167e-22
 9.060000e+02     2.199852e-22
 9.090000e+02     2.224459e-22
 9.117800e+02     2.248197e-22
 9.300000e+02     7.380499e-22
 9.500000e+02     1.748080e-21
 9.750000e+02     3.304373e-21
 9.900000e+02     4.096211e-21
 1.005000e+03     5.044067e-21
 1.025000e+03     6.602416e-21
 1.045000e+03     7.876484e-21
 1.065000e+03     9.700970e-21
 1.085000e+03     1.138944e-20
 1.105000e+03     1.303892e-20
 1.125000e+03     1.472424e-20
 1.145000e+03     1.623894e-20
 1.165000e+03     1.786709e-20
 1.185000e+03     1.926109e-20
 1.205000e+03     2.064340e-20
 1.215600e+03     2.121848e-20
 1.215670e+03     2.317213e-20
 1.216000e+03     2.319208e-20
 1.218000e+03     2.331307e-20
 1.221000e+03     2.349421e-20
 1.225000e+03     2.371847e-20
 1.230000e+03     2.396557e-20
 1.240000e+03     2.446727e-20
 1.250000e+03     2.488928e-20
 1.265000e+03     2.599487e-20
 1.285000e+03     2.742115e-20
 1.305000e+03     2.904394e-20
 1.325000e+03     3.034137e-20
 1.345000e+03     3.165587e-20
 1.365000e+03     3.301800e-20
 1.385000e+03     3.417176e-20
 1.405000e+03     3.522696e-20
 1.425000e+03     3.632283e-20
 1.442000e+03     3.716462e-20
 1.455000e+03     3.784940e-20
 1.475000e+03     3.888535e-20
 1.517000e+03     4.052005e-20
 1.595000e+03     4.289400e-20
 1.672000e+03     4.505856e-20
 1.745000e+03     4.669735e-20
 1.825000e+03     4.830897e-20
 1.905000e+03     4.925563e-20
 1.984000e+03     5.008344e-20
 2.065000e+03     5.052638e-20
 2.135000e+03     5.077615e-20
 2.215000e+03     5.086815e-20
 2.295000e+03     5.088740e-20
 2.375000e+03     5.084822e-20
 2.455000e+03     5.083914e-20
 2.525000e+03     5.072120e-20
 2.605000e+03     5.068827e-20
 2.685000e+03     5.084865e-20
 2.765000e+03     5.083424e-20
 2.845000e+03     5.068005e-20
 2.950000e+03     5.065408e-20
 3.110000e+03     5.040473e-20
 3.270000e+03     5.031056e-20
 3.430000e+03     5.013888e-20
 3.590000e+03     4.993540e-20
 3.730000e+03     5.023760e-20
 3.890000e+03     5.267210e-20
 4.050000e+03     5.598572e-20
 4.210000e+03     5.998659e-20
 4.370000e+03     6.311987e-20
 4.530000e+03     6.593787e-20
 4.690000e+03     6.850072e-20
 4.850000e+03     7.010964e-20
 5.010000e+03     7.176159e-20
 5.170000e+03     7.313067e-20
 5.330000e+03     7.442923e-20
 5.490000e+03     7.557653e-20
 5.650000e+03     7.663460e-20
 5.810000e+03     7.766315e-20
 5.970000e+03     7.837268e-20
 6.130000e+03     7.907033e-20
 6.290000e+03     7.967224e-20
 6.450000e+03     8.016809e-20
 6.610000e+03     8.060931e-20
 6.770000e+03     8.109905e-20
 6.930000e+03     8.148985e-20
 7.090000e+03     8.179140e-20
 7.250000e+03     8.206467e-20
 7.410000e+03     8.233995e-20
 7.570000e+03     8.268063e-20
 7.730000e+03     8.306460e-20
 7.890000e+03     8.341547e-20
 8.050000e+03     8.371416e-20
 8.210000e+03     8.401521e-20
 8.370000e+03     8.430795e-20
 8.530000e+03     8.458161e-20
