## EBL from Khaire & Srianand 2018; Q16 Model with alpha=-1.6 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.900291e-40
 1.122019e-08     4.217131e-40
 1.258925e-08     6.015016e-40
 1.412538e-08     8.397897e-40
 1.584893e-08     1.149285e-39
 1.778279e-08     1.544781e-39
 1.995263e-08     2.043240e-39
 2.238721e-08     2.664013e-39
 2.511887e-08     3.429217e-39
 2.818382e-08     4.364110e-39
 3.162278e-08     5.497661e-39
 3.548135e-08     6.863092e-39
 3.981071e-08     8.498617e-39
 4.466837e-08     1.044830e-38
 5.011870e-08     1.276294e-38
 5.623413e-08     1.550128e-38
 6.309576e-08     1.873122e-38
 7.079456e-08     2.253129e-38
 7.943284e-08     2.699256e-38
 8.912505e-08     3.222032e-38
 1.000000e-07     3.833679e-38
 1.122019e-07     4.548343e-38
 1.258925e-07     5.382412e-38
 1.412538e-07     6.354916e-38
 1.584892e-07     7.487855e-38
 1.778279e-07     8.806798e-38
 1.995263e-07     1.034133e-37
 2.238721e-07     1.212573e-37
 2.511887e-07     1.419979e-37
 2.818382e-07     1.660957e-37
 3.162278e-07     1.940850e-37
 3.548136e-07     2.265846e-37
 3.981071e-07     2.643116e-37
 4.466837e-07     3.080979e-37
 5.011870e-07     3.589061e-37
 5.623413e-07     4.178539e-37
 6.309576e-07     4.862345e-37
 7.079456e-07     5.655467e-37
 7.943284e-07     6.575297e-37
 8.912505e-07     7.641951e-37
 1.000000e-06     8.878787e-37
 1.122019e-06     1.031283e-36
 1.258925e-06     1.197541e-36
 1.412538e-06     1.390286e-36
 1.584893e-06     1.613723e-36
 1.778279e-06     1.872730e-36
 1.995263e-06     2.172957e-36
 2.238721e-06     2.520951e-36
 2.511887e-06     2.924301e-36
 2.818382e-06     3.391794e-36
 3.162278e-06     3.933625e-36
 3.548136e-06     4.561600e-36
 3.981071e-06     5.289387e-36
 4.466837e-06     6.132857e-36
 5.011870e-06     7.110362e-36
