## EBL from Khaire & Srianand 2018; Q16 Model with alpha=-1.6 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.413442e-37
 1.122019e-08     3.508807e-37
 1.258925e-08     5.023505e-37
 1.412538e-08     7.053093e-37
 1.584893e-08     9.711036e-37
 1.778279e-08     1.312955e-36
 1.995263e-08     1.746087e-36
 2.238721e-08     2.287931e-36
 2.511887e-08     2.958426e-36
 2.818382e-08     3.780356e-36
 3.162278e-08     4.779834e-36
 3.548135e-08     5.986792e-36
 3.981071e-08     7.435632e-36
 4.466837e-08     9.165998e-36
 5.011870e-08     1.122355e-35
 5.623413e-08     1.366110e-35
 6.309576e-08     1.653962e-35
 7.079456e-08     1.992965e-35
 7.943284e-08     2.391293e-35
 8.912505e-08     2.858401e-35
 1.000000e-07     3.405258e-35
 1.122019e-07     4.044559e-35
 1.258925e-07     4.791014e-35
 1.412538e-07     5.661699e-35
 1.584892e-07     6.676361e-35
 1.778279e-07     7.857943e-35
 1.995263e-07     9.232994e-35
 2.238721e-07     1.083229e-34
 2.511887e-07     1.269152e-34
 2.818382e-07     1.485204e-34
 3.162278e-07     1.736178e-34
 3.548136e-07     2.027631e-34
 3.981071e-07     2.365996e-34
 4.466837e-07     2.758739e-34
 5.011870e-07     3.214501e-34
 5.623413e-07     3.743311e-34
 6.309576e-07     4.356776e-34
 7.079456e-07     5.068350e-34
 7.943284e-07     5.893638e-34
 8.912505e-07     6.850697e-34
 1.000000e-06     7.960491e-34
 1.122019e-06     9.247278e-34
 1.258925e-06     1.073916e-33
 1.412538e-06     1.246878e-33
 1.584893e-06     1.447384e-33
 1.778279e-06     1.679814e-33
 1.995263e-06     1.949241e-33
 2.238721e-06     2.261536e-33
 2.511887e-06     2.623513e-33
 2.818382e-06     3.043060e-33
 3.162278e-06     3.529326e-33
 3.548136e-06     4.092904e-33
 3.981071e-06     4.746067e-33
 4.466837e-06     5.503055e-33
 5.011870e-06     6.380340e-33
 5.623413e-06     7.397045e-33
 6.309576e-06     8.575304e-33
 7.079456e-06     9.940754e-33
 7.943284e-06     1.152315e-32
 8.912505e-06     1.335691e-32
 1.000000e-05     1.548199e-32
 1.122019e-05     1.794462e-32
 1.258925e-05     2.079838e-32
 1.412538e-05     2.410545e-32
 1.584893e-05     2.793772e-32
 1.778279e-05     3.237863e-32
 1.995263e-05     3.752487e-32
