## EBL from Khaire & Srianand 2018; Q16 Model with alpha=-1.6 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.174990e-38
 1.122019e-08     3.161659e-38
 1.258925e-08     4.517924e-38
 1.412538e-08     6.324646e-38
 1.584893e-08     8.679563e-38
 1.778279e-08     1.169697e-37
 1.995263e-08     1.550836e-37
 2.238721e-08     2.026403e-37
 2.511887e-08     2.613578e-37
 2.818382e-08     3.331988e-37
 3.162278e-08     4.204129e-37
 3.548135e-08     5.255795e-37
 3.981071e-08     6.516647e-37
 4.466837e-08     8.020876e-37
 5.011870e-08     9.807881e-37
 5.623413e-08     1.192324e-36
 6.309576e-08     1.441958e-36
 7.079456e-08     1.735780e-36
 7.943284e-08     2.080851e-36
 8.912505e-08     2.485334e-36
 1.000000e-07     2.958703e-36
 1.122019e-07     3.511922e-36
 1.258925e-07     4.157696e-36
 1.412538e-07     4.910775e-36
 1.584892e-07     5.788214e-36
 1.778279e-07     6.809830e-36
 1.995263e-07     7.998556e-36
 2.238721e-07     9.380969e-36
 2.511887e-07     1.098791e-35
 2.818382e-07     1.285507e-35
 3.162278e-07     1.502388e-35
 3.548136e-07     1.754232e-35
 3.981071e-07     2.046594e-35
 4.466837e-07     2.385926e-35
 5.011870e-07     2.779688e-35
 5.623413e-07     3.236545e-35
 6.309576e-07     3.766521e-35
 7.079456e-07     4.381232e-35
 7.943284e-07     5.094164e-35
 8.912505e-07     5.920908e-35
 1.000000e-06     6.879568e-35
 1.122019e-06     7.991102e-35
 1.258925e-06     9.279781e-35
 1.412538e-06     1.077378e-34
 1.584893e-06     1.250570e-34
 1.778279e-06     1.451334e-34
 1.995263e-06     1.684052e-34
 2.238721e-06     1.953795e-34
 2.511887e-06     2.266450e-34
 2.818382e-06     2.628826e-34
 3.162278e-06     3.048828e-34
 3.548136e-06     3.535606e-34
 3.981071e-06     4.099756e-34
 4.466837e-06     4.753579e-34
 5.011870e-06     5.511303e-34
 5.623413e-06     6.389444e-34
 6.309576e-06     7.407116e-34
 7.079456e-06     8.586466e-34
 7.943284e-06     9.953191e-34
 8.912505e-06     1.153702e-33
 1.000000e-05     1.337245e-33
 1.122019e-05     1.549943e-33
 1.258925e-05     1.796422e-33
 1.412538e-05     2.082053e-33
 1.584893e-05     2.413045e-33
 1.778279e-05     2.796605e-33
 1.995263e-05     3.241084e-33
 2.238721e-05     3.756146e-33
 2.511887e-05     4.353005e-33
 2.818382e-05     5.044643e-33
 3.162278e-05     5.846118e-33
 3.548135e-05     6.774864e-33
 3.981071e-05     7.851085e-33
 4.466837e-05     9.098211e-33
 5.011870e-05     1.054335e-32
 5.623413e-05     1.221798e-32
 6.309577e-05     1.415854e-32
 7.079457e-05     1.640719e-32
 7.943284e-05     1.901292e-32
 8.912505e-05     2.203238e-32
 1.000000e-04     2.553130e-32
 1.122018e-04     2.958576e-32
 1.258926e-04     3.427677e-32
 1.412538e-04     3.959818e-32
 1.584893e-04     4.572702e-32
 1.778279e-04     5.282903e-32
 1.995262e-04     6.108101e-32
 2.238722e-04     7.068368e-32
 2.511887e-04     8.187054e-32
 2.818383e-04     9.491614e-32
 3.162278e-04     1.101442e-31
 3.548134e-04     1.279369e-31
 3.981073e-04     1.487463e-31
 4.466837e-04     1.731066e-31
 5.011873e-04     2.016509e-31
 5.623413e-04     2.351287e-31
 6.309572e-04     2.744289e-31
 7.079460e-04     3.206063e-31
 7.943284e-04     3.749121e-31
 8.912510e-04     4.388332e-31
 1.000000e-03     5.141367e-31
 1.122018e-03     6.029235e-31
 1.258926e-03     7.076955e-31
 1.412538e-03     8.314269e-31
 1.584893e-03     9.776630e-31
 1.778279e-03     1.150629e-30
 1.995262e-03     1.355360e-30
 2.238722e-03     1.597864e-30
 2.511887e-03     1.885304e-30
 2.818383e-03     2.226235e-30
 3.162278e-03     2.630871e-30
 3.548133e-03     3.111411e-30
 3.981073e-03     3.682439e-30
 4.466837e-03     4.361377e-30
 5.011873e-03     5.169082e-30
 5.623413e-03     6.130544e-30
 6.309573e-03     7.275814e-30
 7.079460e-03     8.641227e-30
 7.943284e-03     1.027107e-29
 8.912510e-03     1.221988e-29
 1.000000e-02     1.455548e-29
 1.122019e-02     1.736280e-29
 1.258925e-02     2.074830e-29
 1.412538e-02     2.484512e-29
 1.584894e-02     2.981811e-29
 1.778279e-02     3.586918e-29
 1.995263e-02     4.324261e-29
