## EBL from Khaire & Srianand 2018; Q16 Model with alpha=-1.6 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     5.435405e-38
 1.122019e-08     7.899990e-38
 1.258925e-08     1.129401e-37
 1.412538e-08     1.582360e-37
 1.584893e-08     2.173608e-37
 1.778279e-08     2.932020e-37
 1.995263e-08     3.890838e-37
 2.238721e-08     5.088083e-37
 2.511887e-08     6.567233e-37
 2.818382e-08     8.377963e-37
 3.162278e-08     1.057720e-36
 3.548135e-08     1.323023e-36
 3.981071e-08     1.641210e-36
 4.466837e-08     2.020929e-36
 5.011870e-08     2.472149e-36
 5.623413e-08     3.006397e-36
 6.309576e-08     3.636988e-36
 7.079456e-08     4.379322e-36
 7.943284e-08     5.251255e-36
 8.912505e-08     6.273434e-36
 1.000000e-07     7.469817e-36
 1.122019e-07     8.868134e-36
 1.258925e-07     1.050052e-35
 1.412538e-07     1.240426e-35
 1.584892e-07     1.462250e-35
 1.778279e-07     1.720535e-35
 1.995263e-07     2.021081e-35
 2.238721e-07     2.370609e-35
 2.511887e-07     2.776917e-35
 2.818382e-07     3.249035e-35
 3.162278e-07     3.797438e-35
 3.548136e-07     4.434257e-35
 3.981071e-07     5.173546e-35
 4.466837e-07     6.031616e-35
 5.011870e-07     7.027340e-35
 5.623413e-07     8.182623e-35
 6.309576e-07     9.522820e-35
 7.079456e-07     1.107731e-34
 7.943284e-07     1.288019e-34
 8.912505e-07     1.497090e-34
 1.000000e-06     1.739522e-34
 1.122019e-06     2.020615e-34
 1.258925e-06     2.346507e-34
 1.412538e-06     2.724324e-34
 1.584893e-06     3.162308e-34
 1.778279e-06     3.670023e-34
 1.995263e-06     4.258546e-34
 2.238721e-06     4.940705e-34
 2.511887e-06     5.731386e-34
 2.818382e-06     6.647811e-34
 3.162278e-06     7.709969e-34
 3.548136e-06     8.940998e-34
 3.981071e-06     1.036770e-33
 4.466837e-06     1.202118e-33
 5.011870e-06     1.393743e-33
 5.623413e-06     1.615820e-33
 6.309576e-06     1.873185e-33
 7.079456e-06     2.171436e-33
 7.943284e-06     2.517075e-33
 8.912505e-06     2.917618e-33
 1.000000e-05     3.381791e-33
 1.122019e-05     3.919695e-33
