## EBL from Khaire & Srianand 2018; Q16 Model with alpha=-1.6 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     8.384777e-38
 1.122019e-08     1.218724e-37
 1.258925e-08     1.742889e-37
 1.412538e-08     2.443095e-37
 1.584893e-08     3.357785e-37
 1.778279e-08     4.531817e-37
 1.995263e-08     6.016831e-37
 2.238721e-08     7.871914e-37
 2.511887e-08     1.016464e-36
 2.818382e-08     1.297221e-36
 3.162278e-08     1.638310e-36
 3.548135e-08     2.049877e-36
 3.981071e-08     2.543585e-36
 4.466837e-08     3.132874e-36
 5.011870e-08     3.833231e-36
 5.623413e-08     4.662567e-36
 6.309576e-08     5.641568e-36
 7.079456e-08     6.794165e-36
 7.943284e-08     8.148096e-36
 8.912505e-08     9.735436e-36
 1.000000e-07     1.159341e-35
 1.122019e-07     1.376509e-35
 1.258925e-07     1.630041e-35
 1.412538e-07     1.925729e-35
 1.584892e-07     2.270276e-35
 1.778279e-07     2.671466e-35
 1.995263e-07     3.138311e-35
 2.238721e-07     3.681252e-35
 2.511887e-07     4.312403e-35
 2.818382e-07     5.045791e-35
 3.162278e-07     5.897692e-35
 3.548136e-07     6.886952e-35
 3.981071e-07     8.035404e-35
 4.466837e-07     9.368389e-35
 5.011870e-07     1.091522e-34
 5.623413e-07     1.270994e-34
 6.309576e-07     1.479193e-34
 7.079456e-07     1.720684e-34
 7.943284e-07     2.000763e-34
 8.912505e-07     2.325558e-34
 1.000000e-06     2.702181e-34
 1.122019e-06     3.138867e-34
 1.258925e-06     3.645150e-34
 1.412538e-06     4.232101e-34
 1.584893e-06     4.912525e-34
 1.778279e-06     5.701279e-34
 1.995263e-06     6.615575e-34
 2.238721e-06     7.675339e-34
 2.511887e-06     8.903696e-34
 2.818382e-06     1.032741e-33
 3.162278e-06     1.197752e-33
 3.548136e-06     1.388998e-33
 3.981071e-06     1.610644e-33
 4.466837e-06     1.867520e-33
 5.011870e-06     2.165220e-33
 5.623413e-06     2.510229e-33
 6.309576e-06     2.910058e-33
 7.079456e-06     3.373408e-33
 7.943284e-06     3.910377e-33
 8.912505e-06     4.532642e-33
 1.000000e-05     5.253762e-33
 1.122019e-05     6.089427e-33
 1.258925e-05     7.057814e-33
 1.412538e-05     8.180024e-33
 1.584893e-05     9.480454e-33
 1.778279e-05     1.098742e-32
 1.995263e-05     1.273373e-32
 2.238721e-05     1.475735e-32
 2.511887e-05     1.710234e-32
 2.818382e-05     1.981971e-32
 3.162278e-05     2.296862e-32
 3.548135e-05     2.661757e-32
 3.981071e-05     3.084594e-32
 4.466837e-05     3.574576e-32
 5.011870e-05     4.142358e-32
 5.623413e-05     4.800304e-32
 6.309577e-05     5.562726e-32
 7.079457e-05     6.446201e-32
 7.943284e-05     7.469967e-32
 8.912505e-05     8.656280e-32
 1.000000e-04     1.003097e-31
 1.122018e-04     1.162393e-31
 1.258926e-04     1.346730e-31
 1.412538e-04     1.556072e-31
 1.584893e-04     1.797070e-31
 1.778279e-04     2.076188e-31
 1.995262e-04     2.400381e-31
 2.238722e-04     2.777553e-31
 2.511887e-04     3.216883e-31
 2.818383e-04     3.729154e-31
 3.162278e-04     4.327069e-31
 3.548134e-04     5.025618e-31
 3.981073e-04     5.842525e-31
 4.466837e-04     6.798747e-31
 5.011873e-04     7.919102e-31
 5.623413e-04     9.232985e-31
 6.309572e-04     1.077525e-30
 7.079460e-04     1.258723e-30
 7.943284e-04     1.471799e-30
 8.912510e-04     1.722582e-30
 1.000000e-03     2.017997e-30
 1.122018e-03     2.366280e-30
 1.258926e-03     2.777236e-30
 1.412538e-03     3.262522e-30
 1.584893e-03     3.836032e-30
 1.778279e-03     4.514322e-30
 1.995262e-03     5.317126e-30
 2.238722e-03     6.267982e-30
 2.511887e-03     7.394959e-30
 2.818383e-03     8.731576e-30
 3.162278e-03     1.031786e-29
 3.548133e-03     1.220159e-29
 3.981073e-03     1.443991e-29
 4.466837e-03     1.710108e-29
 5.011873e-03     2.026679e-29
 5.623413e-03     2.403493e-29
 6.309573e-03     2.852318e-29
 7.079460e-03     3.387377e-29
 7.943284e-03     4.025992e-29
 8.912510e-03     4.789483e-29
 1.000000e-02     5.704342e-29
 1.122019e-02     6.803710e-29
 1.258925e-02     8.129121e-29
 1.412538e-02     9.732538e-29
 1.584894e-02     1.167831e-28
 1.778279e-02     1.404534e-28
 1.995263e-02     1.692916e-28
 2.238721e-02     2.044389e-28
 2.511887e-02     2.472461e-28
 2.818385e-02     2.992972e-28
 3.162277e-02     3.624398e-28
 3.548136e-02     4.388270e-28
 3.981071e-02     5.309602e-28
