## EBL from Khaire & Srianand 2018; Q19 Model with alpha=-1.9 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.690479e-37
 1.122019e-08     2.457447e-37
 1.258925e-08     3.516689e-37
 1.412538e-08     4.934225e-37
 1.584893e-08     6.788704e-37
 1.778279e-08     9.171824e-37
 1.995263e-08     1.218917e-36
 2.238721e-08     1.596159e-36
 2.511887e-08     2.062731e-36
 2.818382e-08     2.634429e-36
 3.162278e-08     3.329354e-36
 3.548135e-08     4.168258e-36
 3.981071e-08     5.174995e-36
 4.466837e-08     6.377052e-36
 5.011870e-08     7.806096e-36
 5.623413e-08     9.498747e-36
 6.309576e-08     1.149730e-35
 7.079456e-08     1.385067e-35
 7.943284e-08     1.661558e-35
 8.912505e-08     1.985757e-35
 1.000000e-07     2.365275e-35
 1.122019e-07     2.808917e-35
 1.258925e-07     3.326887e-35
 1.412538e-07     3.931031e-35
 1.584892e-07     4.635043e-35
 1.778279e-07     5.454840e-35
 1.995263e-07     6.408836e-35
 2.238721e-07     7.518379e-35
 2.511887e-07     8.808232e-35
 2.818382e-07     1.030706e-34
 3.162278e-07     1.204814e-34
 3.548136e-07     1.406999e-34
 3.981071e-07     1.641726e-34
 4.466837e-07     1.914172e-34
 5.011870e-07     2.230330e-34
 5.623413e-07     2.597157e-34
 6.309576e-07     3.022706e-34
 7.079456e-07     3.516307e-34
 7.943284e-07     4.088786e-34
 8.912505e-07     4.752668e-34
 1.000000e-06     5.522492e-34
 1.122019e-06     6.415086e-34
 1.258925e-06     7.449947e-34
 1.412538e-06     8.649705e-34
 1.584893e-06     1.004053e-33
 1.778279e-06     1.165279e-33
 1.995263e-06     1.352167e-33
 2.238721e-06     1.568790e-33
 2.511887e-06     1.819876e-33
 2.818382e-06     2.110894e-33
 3.162278e-06     2.448191e-33
 3.548136e-06     2.839116e-33
 3.981071e-06     3.292180e-33
 4.466837e-06     3.817260e-33
 5.011870e-06     4.425785e-33
 5.623413e-06     5.131019e-33
 6.309576e-06     5.948310e-33
 7.079456e-06     6.895446e-33
 7.943284e-06     7.993065e-33
 8.912505e-06     9.265040e-33
 1.000000e-05     1.073908e-32
 1.122019e-05     1.244727e-32
 1.258925e-05     1.442676e-32
 1.412538e-05     1.672068e-32
 1.584893e-05     1.937890e-32
 1.778279e-05     2.245931e-32
 1.995263e-05     2.602895e-32
 2.238721e-05     3.016545e-32
 2.511887e-05     3.495889e-32
 2.818382e-05     4.051350e-32
 3.162278e-05     4.695024e-32
 3.548135e-05     5.440908e-32
 3.981071e-05     6.305233e-32
 4.466837e-05     7.306814e-32
 5.011870e-05     8.467424e-32
 5.623413e-05     9.812341e-32
 6.309577e-05     1.137082e-31
 7.079457e-05     1.317675e-31
 7.943284e-05     1.526943e-31
 8.912505e-05     1.769439e-31
 1.000000e-04     2.050443e-31
 1.122018e-04     2.376062e-31
 1.258926e-04     2.752930e-31
 1.412538e-04     3.181239e-31
 1.584893e-04     3.674149e-31
 1.778279e-04     4.244814e-31
 1.995262e-04     4.907474e-31
 2.238722e-04     5.678303e-31
 2.511887e-04     6.576072e-31
 2.818383e-04     7.622808e-31
 3.162278e-04     8.844453e-31
 3.548134e-04     1.027162e-30
 3.981073e-04     1.194048e-30
 4.466837e-04     1.389383e-30
 5.011873e-04     1.618233e-30
 5.623413e-04     1.886596e-30
 6.309572e-04     2.201585e-30
 7.079460e-04     2.571642e-30
 7.943284e-04     3.006774e-30
 8.912510e-04     3.518878e-30
 1.000000e-03     4.122089e-30
 1.122018e-03     4.833211e-30
 1.258926e-03     5.672252e-30
 1.412538e-03     6.662996e-30
 1.584893e-03     7.833793e-30
 1.778279e-03     9.218425e-30
 1.995262e-03     1.085715e-29
 2.238722e-03     1.279800e-29
 2.511887e-03     1.509823e-29
 2.818383e-03     1.782623e-29
 3.162278e-03     2.106364e-29
 3.548133e-03     2.490796e-29
 3.981073e-03     2.947574e-29
 4.466837e-03     3.490620e-29
 5.011873e-03     4.136599e-29
 5.623413e-03     4.905465e-29
 6.309573e-03     5.821191e-29
 7.079460e-03     6.912700e-29
 7.943284e-03     8.215109e-29
 8.912510e-03     9.771457e-29
 1.000000e-02     1.163491e-28
 1.122019e-02     1.387158e-28
 1.258925e-02     1.656382e-28
 1.412538e-02     1.981411e-28
 1.584894e-02     2.374890e-28
 1.778279e-02     2.852288e-28
 1.995263e-02     3.432334e-28
 2.238721e-02     4.137408e-28
 2.511887e-02     4.994071e-28
 2.818385e-02     6.033557e-28
 3.162277e-02     7.292428e-28
 3.548136e-02     8.813456e-28
 3.981071e-02     1.064652e-27
 4.466837e-02     1.285007e-27
 5.011876e-02     1.549259e-27
 5.623413e-02     1.865464e-27
 6.309576e-02     2.243140e-27
 7.079456e-02     2.693540e-27
 7.943284e-02     3.230030e-27
 8.912515e-02     3.868488e-27
 1.000000e-01     4.627816e-27
 1.122019e-01     5.531250e-27
 1.258925e-01     6.578546e-27
 1.412538e-01     7.738813e-27
 1.584894e-01     8.991478e-27
 1.778279e-01     1.032139e-26
 1.995263e-01     1.171637e-26
 2.238721e-01     1.316596e-26
 2.511887e-01     1.466109e-26
 2.818385e-01     1.619389e-26
 3.162278e-01     1.775760e-26
 3.548135e-01     1.934668e-26
 3.981071e-01     2.095662e-26
 4.466837e-01     2.258403e-26
 5.011876e-01     2.422638e-26
 5.623413e-01     2.588203e-26
 6.309576e-01     2.754991e-26
 7.079456e-01     2.922975e-26
 7.943284e-01     3.092172e-26
