## EBL from Khaire & Srianand 2018; Q19 Model with alpha=-1.9 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     5.087428e-37
 1.122019e-08     7.414225e-37
 1.258925e-08     1.072766e-36
 1.412538e-08     1.533425e-36
 1.584893e-08     2.159196e-36
 1.778279e-08     2.991384e-36
 1.995263e-08     4.077336e-36
 2.238721e-08     5.471187e-36
 2.511887e-08     7.234865e-36
 2.818382e-08     9.439146e-36
 3.162278e-08     1.216507e-35
 3.548135e-08     1.550538e-35
 3.981071e-08     1.956642e-35
 4.466837e-08     2.447037e-35
 5.011870e-08     3.035753e-35
 5.623413e-08     3.738969e-35
 6.309576e-08     4.575325e-35
 7.079456e-08     5.566336e-35
 7.943284e-08     6.736898e-35
 8.912505e-08     8.115760e-35
 1.000000e-07     9.736256e-35
 1.122019e-07     1.163693e-34
 1.258925e-07     1.386244e-34
 1.412538e-07     1.646457e-34
 1.584892e-07     1.950324e-34
 1.778279e-07     2.304803e-34
 1.995263e-07     2.717945e-34
 2.238721e-07     3.199083e-34
 2.511887e-07     3.759045e-34
 2.818382e-07     4.410365e-34
 3.162278e-07     5.167592e-34
 3.548136e-07     6.047567e-34
 3.981071e-07     7.069807e-34
 4.466837e-07     8.256962e-34
 5.011870e-07     9.635239e-34
 5.623413e-07     1.123506e-33
 6.309576e-07     1.309165e-33
 7.079456e-07     1.524579e-33
 7.943284e-07     1.774485e-33
 8.912505e-07     2.064359e-33
 1.000000e-06     2.400561e-33
 1.122019e-06     2.790452e-33
 1.258925e-06     3.242558e-33
 1.412538e-06     3.766777e-33
 1.584893e-06     4.374555e-33
 1.778279e-06     5.079177e-33
 1.995263e-06     5.896031e-33
 2.238721e-06     6.842935e-33
 2.511887e-06     7.940562e-33
 2.818382e-06     9.212836e-33
 3.162278e-06     1.068753e-32
 3.548136e-06     1.239676e-32
 3.981071e-06     1.437778e-32
 4.466837e-06     1.667380e-32
 5.011870e-06     1.933478e-32
 5.623413e-06     2.241875e-32
 6.309576e-06     2.599286e-32
 7.079456e-06     3.013490e-32
 7.943284e-06     3.493515e-32
 8.912505e-06     4.049802e-32
 1.000000e-05     4.694474e-32
 1.122019e-05     5.441561e-32
 1.258925e-05     6.307315e-32
 1.412538e-05     7.310602e-32
 1.584893e-05     8.473238e-32
 1.778279e-05     9.820537e-32
 1.995263e-05     1.138183e-31
 2.238721e-05     1.319107e-31
 2.511887e-05     1.528767e-31
 2.818382e-05     1.771720e-31
 3.162278e-05     2.053259e-31
 3.548135e-05     2.379506e-31
 3.981071e-05     2.757559e-31
 4.466837e-05     3.195650e-31
 5.011870e-05     3.703302e-31
 5.623413e-05     4.291572e-31
 6.309577e-05     4.973256e-31
 7.079457e-05     5.763175e-31
 7.943284e-05     6.678532e-31
 8.912505e-05     7.739226e-31
 1.000000e-04     8.968354e-31
 1.122018e-04     1.039264e-30
 1.258926e-04     1.204283e-30
 1.412538e-04     1.394317e-30
 1.584893e-04     1.613084e-30
 1.778279e-04     1.865260e-30
 1.995262e-04     2.156522e-30
 2.238722e-04     2.493670e-30
 2.511887e-04     2.884755e-30
 2.818383e-04     3.339256e-30
 3.162278e-04     3.868292e-30
 3.548134e-04     4.484923e-30
 3.981073e-04     5.204510e-30
 4.466837e-04     6.045148e-30
 5.011873e-04     7.028206e-30
 5.623413e-04     8.178940e-30
 6.309572e-04     9.527236e-30
 7.079460e-04     1.110850e-29
 7.943284e-04     1.296468e-29
 8.912510e-04     1.514556e-29
 1.000000e-03     1.771021e-29
 1.122018e-03     2.072882e-29
 1.258926e-03     2.428482e-29
 1.412538e-03     2.847732e-29
 1.584893e-03     3.342433e-29
 1.778279e-03     3.926634e-29
 1.995262e-03     4.617062e-29
 2.238722e-03     5.433655e-29
 2.511887e-03     6.400166e-29
 2.818383e-03     7.544939e-29
 3.162278e-03     8.901793e-29
 3.548133e-03     1.051108e-28
 3.981073e-03     1.242100e-28
 4.466837e-03     1.468910e-28
 5.011873e-03     1.738417e-28
 5.623413e-03     2.058851e-28
 6.309573e-03     2.440065e-28
 7.079460e-03     2.893891e-28
 7.943284e-03     3.434581e-28
 8.912510e-03     4.079412e-28
 1.000000e-02     4.849460e-28
 1.122019e-02     5.770620e-28
 1.258925e-02     6.874853e-28
 1.412538e-02     8.201800e-28
 1.584894e-02     9.800498e-28
 1.778279e-02     1.173146e-27
 1.995263e-02     1.406889e-27
 2.238721e-02     1.690292e-27
 2.511887e-02     2.034229e-27
 2.818385e-02     2.451688e-27
 3.162277e-02     2.958074e-27
 3.548136e-02     3.571583e-27
 3.981071e-02     4.313567e-27
 4.466837e-02     5.209100e-27
 5.011876e-02     6.287543e-27
 5.623413e-02     7.583331e-27
 6.309576e-02     9.136973e-27
 7.079456e-02     1.099612e-26
 7.943284e-02     1.321711e-26
 8.912515e-02     1.586655e-26
 1.000000e-01     1.902343e-26
 1.122019e-01     2.278214e-26
 1.258925e-01     2.722534e-26
 1.412538e-01     3.237154e-26
 1.584894e-01     3.820612e-26
 1.778279e-01     4.468748e-26
 1.995263e-01     5.175552e-26
 2.238721e-01     5.934048e-26
 2.511887e-01     6.737104e-26
 2.818385e-01     7.577924e-26
 3.162278e-01     8.450343e-26
 3.548135e-01     9.348991e-26
 3.981071e-01     1.026927e-25
 4.466837e-01     1.120735e-25
 5.011876e-01     1.216015e-25
 5.623413e-01     1.312520e-25
 6.309576e-01     1.410071e-25
 7.079456e-01     1.508534e-25
 7.943284e-01     1.607824e-25
 8.912515e-01     1.707895e-25
 1.000000e+00     1.808730e-25
 1.122019e+00     1.910343e-25
 1.258925e+00     2.012759e-25
 1.412538e+00     2.116023e-25
 1.584894e+00     2.220185e-25
 1.778279e+00     2.325297e-25
