## EBL from Khaire & Srianand 2018; Q19 Model with alpha=-1.9 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     9.931592e-37
 1.122019e-08     1.445294e-36
 1.258925e-08     2.076965e-36
 1.412538e-08     2.932803e-36
 1.584893e-08     4.064669e-36
 1.778279e-08     5.532545e-36
 1.995263e-08     7.405433e-36
 2.238721e-08     9.762398e-36
 2.511887e-08     1.269398e-35
 2.818382e-08     1.630368e-35
 3.162278e-08     2.071010e-35
 3.548135e-08     2.604909e-35
 3.981071e-08     3.247668e-35
 4.466837e-08     4.017253e-35
 5.011870e-08     4.934341e-35
 5.623413e-08     6.022827e-35
 6.309576e-08     7.310290e-35
 7.079456e-08     8.828614e-35
 7.943284e-08     1.061475e-34
 8.912505e-08     1.271139e-34
 1.000000e-07     1.516811e-34
 1.122019e-07     1.804224e-34
 1.258925e-07     2.140020e-34
 1.412538e-07     2.531912e-34
 1.584892e-07     2.988815e-34
 1.778279e-07     3.521091e-34
 1.995263e-07     4.140730e-34
 2.238721e-07     4.861626e-34
 2.511887e-07     5.699902e-34
 2.818382e-07     6.674223e-34
 3.162278e-07     7.806247e-34
 3.548136e-07     9.121053e-34
 3.981071e-07     1.064770e-33
 4.466837e-07     1.241991e-33
 5.011870e-07     1.447669e-33
 5.623413e-07     1.686334e-33
 6.309576e-07     1.963229e-33
 7.079456e-07     2.284427e-33
 7.943284e-07     2.656978e-33
 8.912505e-07     3.089035e-33
 1.000000e-06     3.590067e-33
 1.122019e-06     4.171028e-33
 1.258925e-06     4.844611e-33
 1.412538e-06     5.625552e-33
 1.584893e-06     6.530888e-33
 1.778279e-06     7.580393e-33
 1.995263e-06     8.796975e-33
 2.238721e-06     1.020716e-32
 2.511887e-06     1.184171e-32
 2.818382e-06     1.373624e-32
 3.162278e-06     1.593210e-32
 3.548136e-06     1.847711e-32
 3.981071e-06     2.142669e-32
 4.466837e-06     2.484516e-32
 5.011870e-06     2.880692e-32
