## EBL from Khaire & Srianand 2018; Q19 Model with alpha=-1.9 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.482630e-37
 1.122019e-08     2.155226e-37
 1.258925e-08     3.083765e-37
 1.412538e-08     4.325907e-37
 1.584893e-08     5.950413e-37
 1.778279e-08     8.037465e-37
 1.995263e-08     1.067939e-36
 2.238721e-08     1.398184e-36
 2.511887e-08     1.806566e-36
 2.818382e-08     2.306896e-36
 3.162278e-08     2.914999e-36
 3.548135e-08     3.649019e-36
 3.981071e-08     4.529812e-36
 4.466837e-08     5.581409e-36
 5.011870e-08     6.831502e-36
 5.623413e-08     8.312109e-36
 6.309576e-08     1.006021e-35
 7.079456e-08     1.211859e-35
 7.943284e-08     1.453683e-35
 8.912505e-08     1.737225e-35
 1.000000e-07     2.069140e-35
 1.122019e-07     2.457128e-35
 1.258925e-07     2.910111e-35
 1.412538e-07     3.438448e-35
 1.584892e-07     4.054113e-35
 1.778279e-07     4.771025e-35
 1.995263e-07     5.605286e-35
 2.238721e-07     6.575563e-35
 2.511887e-07     7.703509e-35
 2.818382e-07     9.014194e-35
 3.162278e-07     1.053671e-34
 3.548136e-07     1.230474e-34
 3.981071e-07     1.435733e-34
 4.466837e-07     1.673975e-34
 5.011870e-07     1.950440e-34
 5.623413e-07     2.271212e-34
 6.309576e-07     2.643333e-34
 7.079456e-07     3.074961e-34
 7.943284e-07     3.575563e-34
 8.912505e-07     4.156090e-34
 1.000000e-06     4.829257e-34
 1.122019e-06     5.609779e-34
 1.258925e-06     6.514704e-34
 1.412538e-06     7.563820e-34
 1.584893e-06     8.780011e-34
 1.778279e-06     1.018983e-33
 1.995263e-06     1.182405e-33
 2.238721e-06     1.371829e-33
 2.511887e-06     1.591388e-33
 2.818382e-06     1.845864e-33
 3.162278e-06     2.140809e-33
 3.548136e-06     2.482648e-33
 3.981071e-06     2.878823e-33
 4.466837e-06     3.337972e-33
 5.011870e-06     3.870088e-33
 5.623413e-06     4.486769e-33
