## EBL from Khaire & Srianand 2018; Q15 Model with alpha=-1.5 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     4.134270e-37
 1.122019e-08     6.026136e-37
 1.258925e-08     8.725882e-37
 1.412538e-08     1.249198e-36
 1.584893e-08     1.762854e-36
 1.778279e-08     2.448786e-36
 1.995263e-08     3.347435e-36
 2.238721e-08     4.505047e-36
 2.511887e-08     5.974509e-36
 2.818382e-08     7.816249e-36
 3.162278e-08     1.009944e-35
 3.548135e-08     1.290323e-35
 3.981071e-08     1.631836e-35
 4.466837e-08     2.044901e-35
 5.011870e-08     2.541483e-35
 5.623413e-08     3.135371e-35
 6.309576e-08     3.842447e-35
 7.079456e-08     4.681036e-35
 7.943284e-08     5.672338e-35
 8.912505e-08     6.840830e-35
 1.000000e-07     8.214884e-35
 1.122019e-07     9.827312e-35
 1.258925e-07     1.171611e-34
 1.412538e-07     1.392536e-34
 1.584892e-07     1.650602e-34
 1.778279e-07     1.951733e-34
 1.995263e-07     2.302778e-34
 2.238721e-07     2.711679e-34
 2.511887e-07     3.187648e-34
 2.818382e-07     3.741353e-34
 3.162278e-07     4.385169e-34
 3.548136e-07     5.133431e-34
 3.981071e-07     6.002743e-34
 4.466837e-07     7.012379e-34
 5.011870e-07     8.184635e-34
 5.623413e-07     9.545402e-34
 6.309576e-07     1.112465e-33
 7.079456e-07     1.295708e-33
 7.943284e-07     1.508301e-33
 8.912505e-07     1.754903e-33
 1.000000e-06     2.040926e-33
 1.122019e-06     2.372632e-33
 1.258925e-06     2.757278e-33
 1.412538e-06     3.203285e-33
 1.584893e-06     3.720395e-33
 1.778279e-06     4.319910e-33
 1.995263e-06     5.014925e-33
 2.238721e-06     5.820602e-33
 2.511887e-06     6.754533e-33
 2.818382e-06     7.837076e-33
 3.162278e-06     9.091858e-33
 3.548136e-06     1.054622e-32
 3.981071e-06     1.223186e-32
 4.466837e-06     1.418553e-32
 5.011870e-06     1.644976e-32
 5.623413e-06     1.907392e-32
 6.309576e-06     2.211515e-32
 7.079456e-06     2.563966e-32
 7.943284e-06     2.972426e-32
 8.912505e-06     3.445780e-32
 1.000000e-05     3.994343e-32
 1.122019e-05     4.630054e-32
 1.258925e-05     5.366743e-32
 1.412538e-05     6.220463e-32
 1.584893e-05     7.209778e-32
 1.778279e-05     8.356232e-32
 1.995263e-05     9.684783e-32
 2.238721e-05     1.122432e-31
 2.511887e-05     1.300837e-31
 2.818382e-05     1.507573e-31
 3.162278e-05     1.747142e-31
 3.548135e-05     2.024756e-31
 3.981071e-05     2.346453e-31
 4.466837e-05     2.719239e-31
 5.011870e-05     3.151217e-31
 5.623413e-05     3.651794e-31
 6.309577e-05     4.231862e-31
 7.079457e-05     4.904030e-31
 7.943284e-05     5.682939e-31
 8.912505e-05     6.585520e-31
 1.000000e-04     7.631428e-31
 1.122018e-04     8.843401e-31
 1.258926e-04     1.024765e-30
 1.412538e-04     1.186604e-30
 1.584893e-04     1.373003e-30
 1.778279e-04     1.587879e-30
 1.995262e-04     1.835985e-30
 2.238722e-04     2.123042e-30
 2.511887e-04     2.455848e-30
 2.818383e-04     2.842432e-30
 3.162278e-04     3.292227e-30
 3.548134e-04     3.816313e-30
 3.981073e-04     4.427720e-30
 4.466837e-04     5.141790e-30
 5.011873e-04     5.976633e-30
 5.623413e-04     6.953644e-30
 6.309572e-04     8.098134e-30
 7.079460e-04     9.440090e-30
 7.943284e-04     1.101501e-29
 8.912510e-04     1.286504e-29
 1.000000e-03     1.504018e-29
 1.122018e-03     1.759980e-29
 1.258926e-03     2.061450e-29
 1.412538e-03     2.416811e-29
 1.584893e-03     2.836046e-29
 1.778279e-03     3.331035e-29
 1.995262e-03     3.915925e-29
 2.238722e-03     4.607572e-29
 2.511887e-03     5.426058e-29
 2.818383e-03     6.395345e-29
 3.162278e-03     7.544016e-29
 3.548133e-03     8.906175e-29
 3.981073e-03     1.052256e-28
 4.466837e-03     1.244181e-28
 5.011873e-03     1.472205e-28
 5.623413e-03     1.743282e-28
 6.309573e-03     2.065739e-28
 7.079460e-03     2.449580e-28
 7.943284e-03     2.906868e-28
 8.912510e-03     3.452253e-28
 1.000000e-02     4.103660e-28
 1.122019e-02     4.883207e-28
 1.258925e-02     5.818345e-28
 1.412538e-02     6.943335e-28
 1.584894e-02     8.300842e-28
 1.778279e-02     9.943844e-28
 1.995263e-02     1.193769e-27
 2.238721e-02     1.436210e-27
 2.511887e-02     1.731359e-27
 2.818385e-02     2.090762e-27
 3.162277e-02     2.528121e-27
 3.548136e-02     3.059599e-27
 3.981071e-02     3.704116e-27
 4.466837e-02     4.483815e-27
 5.011876e-02     5.424519e-27
 5.623413e-02     6.556374e-27
 6.309576e-02     7.914680e-27
 7.079456e-02     9.540775e-27
 7.943284e-02     1.148333e-26
 8.912515e-02     1.379971e-26
 1.000000e-01     1.655774e-26
 1.122019e-01     1.983818e-26
 1.258925e-01     2.371537e-26
 1.412538e-01     2.821624e-26
 1.584894e-01     3.333985e-26
 1.778279e-01     3.906034e-26
 1.995263e-01     4.533288e-26
 2.238721e-01     5.210102e-26
 2.511887e-01     5.930442e-26
 2.818385e-01     6.688398e-26
 3.162278e-01     7.478538e-26
 3.548135e-01     8.296110e-26
 3.981071e-01     9.137052e-26
 4.466837e-01     9.998045e-26
 5.011876e-01     1.087643e-25
 5.623413e-01     1.177019e-25
 6.309576e-01     1.267741e-25
 7.079456e-01     1.358239e-25
 7.943284e-01     1.448251e-25
 8.912515e-01     1.538021e-25
 1.000000e+00     1.628167e-25
 1.122019e+00     1.719608e-25
 1.258925e+00     1.813437e-25
 1.412538e+00     1.910846e-25
 1.584894e+00     2.013082e-25
 1.778279e+00     2.121468e-25
 1.995263e+00     2.237459e-25
 2.238721e+00     2.362696e-25
 2.511887e+00     2.499101e-25
 2.818385e+00     2.648946e-25
 3.162278e+00     2.814951e-25
 3.548136e+00     3.000386e-25
 3.981071e+00     3.209182e-25
 4.466837e+00     3.446077e-25
 5.011876e+00     3.716770e-25
 5.623413e+00     4.028115e-25
 6.309576e+00     4.388199e-25
 7.079456e+00     4.801533e-25
 7.943284e+00     5.278910e-25
 8.912516e+00     5.834967e-25
 1.000000e+01     6.488083e-25
 1.122019e+01     7.260572e-25
 1.258925e+01     8.178688e-25
 1.412538e+01     9.272809e-25
 1.584894e+01     1.057754e-24
 1.778279e+01     1.213192e-24
 1.995263e+01     1.397930e-24
 2.238721e+01     1.616663e-24
 2.511887e+01     1.874289e-24
 2.818385e+01     2.175592e-24
 3.162278e+01     2.524756e-24
 3.548135e+01     2.924703e-24
 3.981071e+01     3.376307e-24
 4.466837e+01     3.877832e-24
 5.011876e+01     4.424923e-24
 5.623413e+01     4.998969e-24
 6.309576e+01     5.606094e-24
 7.079456e+01     6.297147e-24
 7.943284e+01     7.045783e-24
 8.912515e+01     7.848891e-24
 1.000000e+02     8.813806e-24
 1.120000e+02     9.907881e-24
 1.250000e+02     1.112074e-23
 1.400000e+02     1.256204e-23
 1.550000e+02     1.398641e-23
 1.650000e+02     1.491605e-23
 1.750000e+02     1.585370e-23
 1.850000e+02     1.671302e-23
 1.900000e+02     1.712830e-23
 1.950000e+02     1.754363e-23
 2.000000e+02     1.795677e-23
 2.050000e+02     1.843309e-23
 2.100000e+02     1.892723e-23
 2.150000e+02     1.951456e-23
 2.180000e+02     1.997933e-23
 2.210000e+02     2.056246e-23
 2.240000e+02     2.138770e-23
 2.260000e+02     2.205573e-23
 2.270000e+02     2.246001e-23
 2.275000e+02     2.271349e-23
 2.278400e+02     2.287092e-23
 2.380000e+02     2.574599e-23
 2.500000e+02     2.907245e-23
 2.700000e+02     3.478300e-23
 2.900000e+02     4.083549e-23
 3.035000e+02     4.517271e-23
 3.037800e+02     5.664382e-23
 3.045000e+02     5.690506e-23
 3.060000e+02     5.742986e-23
 3.080000e+02     5.809114e-23
 3.100000e+02     5.875023e-23
 3.120000e+02     5.939729e-23
 3.150000e+02     6.037945e-23
 3.200000e+02     6.199957e-23
 3.250000e+02     6.388254e-23
 3.300000e+02     6.545350e-23
 3.400000e+02     6.868530e-23
 3.600000e+02     7.495892e-23
 3.800000e+02     8.117678e-23
 4.050000e+02     8.793256e-23
 4.250000e+02     9.288365e-23
 4.500000e+02     9.899589e-23
 4.650000e+02     1.023177e-22
 4.750000e+02     1.045146e-22
 4.820000e+02     1.063822e-22
 4.870000e+02     1.074600e-22
 4.910000e+02     1.083436e-22
 4.950000e+02     1.092299e-22
 4.980000e+02     1.098951e-22
 5.000000e+02     1.103284e-22
 5.020000e+02     1.107894e-22
 5.039800e+02     1.112477e-22
 5.100000e+02     1.127158e-22
 5.250000e+02     1.165665e-22
 5.600000e+02     1.250206e-22
 6.000000e+02     1.358967e-22
 6.500000e+02     1.502577e-22
 7.000000e+02     1.652825e-22
 7.500000e+02     1.813591e-22
 8.000000e+02     1.995051e-22
 8.300000e+02     2.105863e-22
 8.600000e+02     2.233259e-22
 8.800000e+02     2.328192e-22
 8.900000e+02     2.375390e-22
 8.960000e+02     2.404091e-22
 9.000000e+02     2.423387e-22
 9.030000e+02     2.437947e-22
 9.060000e+02     2.452850e-22
 9.090000e+02     2.468659e-22
 9.117800e+02     2.483386e-22
 9.300000e+02     3.393743e-22
 9.500000e+02     3.606077e-22
 9.750000e+02     4.427891e-22
 9.900000e+02     5.072725e-22
 1.005000e+03     5.654668e-22
 1.025000e+03     6.465505e-22
 1.045000e+03     7.442236e-22
 1.065000e+03     8.691789e-22
 1.085000e+03     9.970798e-22
 1.105000e+03     1.126316e-21
 1.125000e+03     1.273724e-21
 1.145000e+03     1.427253e-21
 1.165000e+03     1.604662e-21
 1.185000e+03     1.770692e-21
 1.205000e+03     1.943554e-21
 1.215600e+03     2.022541e-21
 1.215670e+03     2.059292e-21
 1.216000e+03     2.061786e-21
 1.218000e+03     2.076157e-21
 1.221000e+03     2.097218e-21
 1.225000e+03     2.124374e-21
 1.230000e+03     2.157365e-21
 1.240000e+03     2.235179e-21
 1.250000e+03     2.333489e-21
 1.265000e+03     2.494736e-21
 1.285000e+03     2.718117e-21
 1.305000e+03     2.957209e-21
 1.325000e+03     3.198247e-21
 1.345000e+03     3.451481e-21
 1.365000e+03     3.707737e-21
 1.385000e+03     3.977644e-21
 1.405000e+03     4.236531e-21
 1.425000e+03     4.504109e-21
 1.442000e+03     4.730762e-21
 1.455000e+03     4.915382e-21
 1.475000e+03     5.193273e-21
 1.517000e+03     5.777075e-21
 1.595000e+03     6.830645e-21
 1.672000e+03     7.902019e-21
 1.745000e+03     8.892457e-21
 1.825000e+03     9.984483e-21
 1.905000e+03     1.100610e-20
 1.984000e+03     1.196141e-20
 2.065000e+03     1.286739e-20
 2.135000e+03     1.356258e-20
 2.215000e+03     1.429795e-20
 2.295000e+03     1.499968e-20
 2.375000e+03     1.570309e-20
 2.455000e+03     1.641138e-20
 2.525000e+03     1.703761e-20
 2.605000e+03     1.774089e-20
 2.685000e+03     1.852727e-20
 2.765000e+03     1.928183e-20
 2.845000e+03     1.994287e-20
 2.950000e+03     2.093460e-20
 3.110000e+03     2.246381e-20
 3.270000e+03     2.395654e-20
 3.430000e+03     2.545295e-20
 3.590000e+03     2.690417e-20
 3.730000e+03     2.822603e-20
 3.890000e+03     3.056038e-20
 4.050000e+03     3.290653e-20
 4.210000e+03     3.673148e-20
 4.370000e+03     4.011513e-20
 4.530000e+03     4.374763e-20
 4.690000e+03     4.749369e-20
 4.850000e+03     5.109521e-20
 5.010000e+03     5.441951e-20
 5.170000e+03     5.788881e-20
 5.330000e+03     6.118060e-20
 5.490000e+03     6.460419e-20
 5.650000e+03     6.791291e-20
 5.810000e+03     7.131109e-20
 5.970000e+03     7.444196e-20
 6.130000e+03     7.758131e-20
 6.290000e+03     8.055443e-20
 6.450000e+03     8.341002e-20
 6.610000e+03     8.616265e-20
 6.770000e+03     8.887112e-20
 6.930000e+03     9.146339e-20
 7.090000e+03     9.393553e-20
 7.250000e+03     9.630430e-20
 7.410000e+03     9.858998e-20
 7.570000e+03     1.008167e-19
 7.730000e+03     1.030156e-19
 7.890000e+03     1.051691e-19
 8.050000e+03     1.071711e-19
 8.210000e+03     1.091428e-19
 8.370000e+03     1.110563e-19
 8.530000e+03     1.128567e-19
 8.690000e+03     1.146222e-19
 8.850000e+03     1.164078e-19
 9.010000e+03     1.181173e-19
 9.170000e+03     1.198015e-19
 9.330000e+03     1.214939e-19
 9.490000e+03     1.231801e-19
 9.650000e+03     1.247728e-19
 9.810000e+03     1.263456e-19
 9.970000e+03     1.279255e-19
 1.050000e+04     1.326563e-19
 1.150000e+04     1.393624e-19
 1.250000e+04     1.449690e-19
 1.350000e+04     1.494015e-19
 1.450000e+04     1.532061e-19
 1.550000e+04     1.567956e-19
 1.650000e+04     1.598949e-19
 1.750000e+04     1.617539e-19
 1.850000e+04     1.621925e-19
 1.950000e+04     1.613788e-19
 2.050000e+04     1.596518e-19
 2.150000e+04     1.574298e-19
 2.250000e+04     1.546538e-19
 2.350000e+04     1.511470e-19
 2.450000e+04     1.466651e-19
 2.550000e+04     1.424164e-19
 2.650000e+04     1.381985e-19
 2.750000e+04     1.341513e-19
 2.850000e+04     1.303354e-19
 2.950000e+04     1.267901e-19
 3.050000e+04     1.234327e-19
 3.150000e+04     1.203222e-19
 3.250000e+04     1.175335e-19
 3.350000e+04     1.149647e-19
 3.450000e+04     1.125708e-19
 3.550000e+04     1.104407e-19
 3.650000e+04     1.086595e-19
 3.750000e+04     1.071617e-19
 3.850000e+04     1.058942e-19
 3.950000e+04     1.047513e-19
 4.050000e+04     1.035894e-19
 4.150000e+04     1.025437e-19
 4.250000e+04     1.014772e-19
 4.350000e+04     1.005379e-19
