## EBL from Khaire & Srianand 2018; Q15 Model with alpha=-1.5 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.090321e-43
 1.122019e-08     1.587193e-43
 1.258925e-08     2.260156e-43
 1.412538e-08     3.148147e-43
 1.584893e-08     4.298363e-43
 1.778279e-08     5.765188e-43
 1.995263e-08     7.610709e-43
 2.238721e-08     9.905701e-43
 2.511887e-08     1.273102e-42
 2.818382e-08     1.617904e-42
 3.162278e-08     2.035572e-42
 3.548135e-08     2.538262e-42
 3.981071e-08     3.139960e-42
 4.466837e-08     3.856797e-42
 5.011870e-08     4.707368e-42
 5.623413e-08     5.713194e-42
 6.309576e-08     6.899134e-42
 7.079456e-08     8.293956e-42
 7.943284e-08     9.931017e-42
 8.912505e-08     1.184889e-41
 1.000000e-07     1.409234e-41
 1.122019e-07     1.671320e-41
 1.258925e-07     1.977150e-41
 1.412538e-07     2.333694e-41
 1.584892e-07     2.749014e-41
 1.778279e-07     3.232476e-41
 1.995263e-07     3.794918e-41
 2.238721e-07     4.448900e-41
 2.511887e-07     5.208997e-41
 2.818382e-07     6.092080e-41
 3.162278e-07     7.117729e-41
 3.548136e-07     8.308612e-41
 3.981071e-07     9.690993e-41
 4.466837e-07     1.129535e-40
 5.011870e-07     1.315696e-40
 5.623413e-07     1.531675e-40
 6.309576e-07     1.782210e-40
 7.079456e-07     2.072792e-40
 7.943284e-07     2.409792e-40
 8.912505e-07     2.800579e-40
 1.000000e-06     3.253710e-40
 1.122019e-06     3.779087e-40
 1.258925e-06     4.388182e-40
 1.412538e-06     5.094312e-40
 1.584893e-06     5.912876e-40
 1.778279e-06     6.861745e-40
 1.995263e-06     7.961623e-40
 2.238721e-06     9.236480e-40
 2.511887e-06     1.071413e-39
 2.818382e-06     1.242675e-39
 3.162278e-06     1.441171e-39
 3.548136e-06     1.671223e-39
 3.981071e-06     1.937841e-39
 4.466837e-06     2.246836e-39
 5.011870e-06     2.604933e-39
 5.623413e-06     3.019937e-39
 6.309576e-06     3.500881e-39
 7.079456e-06     4.058230e-39
 7.943284e-06     4.704129e-39
 8.912505e-06     5.452626e-39
 1.000000e-05     6.320028e-39
 1.122019e-05     7.325209e-39
 1.258925e-05     8.490033e-39
 1.412538e-05     9.839878e-39
 1.584893e-05     1.140409e-38
 1.778279e-05     1.321674e-38
 1.995263e-05     1.531726e-38
 2.238721e-05     1.775135e-38
 2.511887e-05     2.057199e-38
 2.818382e-05     2.384054e-38
 3.162278e-05     2.762816e-38
 3.548135e-05     3.201723e-38
 3.981071e-05     3.710324e-38
 4.466837e-05     4.299690e-38
 5.011870e-05     4.982636e-38
 5.623413e-05     5.774034e-38
 6.309577e-05     6.691097e-38
 7.079457e-05     7.753766e-38
 7.943284e-05     8.985180e-38
 8.912505e-05     1.041211e-37
 1.000000e-04     1.206563e-37
 1.122018e-04     1.398168e-37
 1.258926e-04     1.619926e-37
 1.412538e-04     1.869935e-37
 1.584893e-04     2.158820e-37
 1.778279e-04     2.494328e-37
 1.995262e-04     2.884543e-37
 2.238722e-04     3.338848e-37
 2.511887e-04     3.868277e-37
 2.818383e-04     4.485851e-37
 3.162278e-04     5.206943e-37
 3.548134e-04     6.049709e-37
 3.981073e-04     7.035627e-37
 4.466837e-04     8.190098e-37
 5.011873e-04     9.543209e-37
 5.623413e-04     1.113061e-36
 6.309572e-04     1.299458e-36
 7.079460e-04     1.518529e-36
 7.943284e-04     1.776227e-36
 8.912510e-04     2.079628e-36
 1.000000e-03     2.437142e-36
 1.122018e-03     2.858772e-36
 1.258926e-03     3.356426e-36
 1.412538e-03     3.944269e-36
 1.584893e-03     4.639184e-36
 1.778279e-03     5.461295e-36
 1.995262e-03     6.434592e-36
 2.238722e-03     7.587691e-36
 2.511887e-03     8.954727e-36
 2.818383e-03     1.057647e-35
 3.162278e-03     1.250159e-35
 3.548133e-03     1.478824e-35
 3.981073e-03     1.750593e-35
 4.466837e-03     2.073773e-35
 5.011873e-03     2.458309e-35
 5.623413e-03     2.916125e-35
 6.309573e-03     3.461574e-35
 7.079460e-03     4.112050e-35
 7.943284e-03     4.888821e-35
 8.912510e-03     5.818201e-35
 1.000000e-02     6.933080e-35
 1.122019e-02     8.274833e-35
 1.258925e-02     9.895501e-35
 1.412538e-02     1.186029e-34
 1.584894e-02     1.424991e-34
 1.778279e-02     1.716299e-34
 1.995263e-02     2.071851e-34
 2.238721e-02     2.505785e-34
 2.511887e-02     3.034750e-34
 2.818385e-02     3.678181e-34
 3.162277e-02     4.458656e-34
 3.548136e-02     5.402415e-34
 3.981071e-02     6.539883e-34
 4.466837e-02     7.906556e-34
 5.011876e-02     9.543887e-34
 5.623413e-02     1.150052e-33
 6.309576e-02     1.383384e-33
 7.079456e-02     1.661160e-33
 7.943284e-02     1.991421e-33
 8.912515e-02     2.383715e-33
 1.000000e-01     2.849398e-33
 1.122019e-01     3.402420e-33
 1.258925e-01     4.038130e-33
 1.412538e-01     4.727866e-33
 1.584894e-01     5.462794e-33
 1.778279e-01     6.237130e-33
 1.995263e-01     7.045694e-33
 2.238721e-01     7.883683e-33
 2.511887e-01     8.746823e-33
 2.818385e-01     9.631419e-33
 3.162278e-01     1.053440e-32
 3.548135e-01     1.145335e-32
 3.981071e-01     1.238647e-32
 4.466837e-01     1.333255e-32
 5.011876e-01     1.429089e-32
 5.623413e-01     1.526125e-32
 6.309576e-01     1.622999e-32
 7.079456e-01     1.710239e-32
 7.943284e-01     1.798898e-32
 8.912515e-01     1.891106e-32
 1.000000e+00     1.987448e-32
 1.122019e+00     2.088380e-32
 1.258925e+00     2.194363e-32
 1.412538e+00     2.305814e-32
 1.584894e+00     2.422991e-32
 1.778279e+00     2.545813e-32
 1.995263e+00     2.673584e-32
 2.238721e+00     2.804567e-32
 2.511887e+00     2.935424e-32
 2.818385e+00     3.060480e-32
 3.162278e+00     3.170974e-32
 3.548136e+00     3.254590e-32
 3.981071e+00     3.295864e-32
 4.466837e+00     3.278243e-32
 5.011876e+00     3.188223e-32
 5.623413e+00     3.018372e-32
 6.309576e+00     2.779508e-32
 7.079456e+00     2.472746e-32
 7.943284e+00     2.149689e-32
 8.912516e+00     1.833406e-32
 1.000000e+01     1.541077e-32
 1.122019e+01     1.281579e-32
 1.258925e+01     1.058548e-32
 1.412538e+01     8.709436e-33
 1.584894e+01     7.154332e-33
 1.778279e+01     5.877253e-33
 1.995263e+01     4.833789e-33
 2.238721e+01     3.983083e-33
 2.511887e+01     3.289051e-33
 2.818385e+01     2.722649e-33
 3.162278e+01     2.259641e-33
 3.548135e+01     1.880057e-33
 3.981071e+01     1.568349e-33
 4.466837e+01     1.311800e-33
 5.011876e+01     1.100239e-33
 5.623413e+01     9.251993e-34
 6.309576e+01     7.803122e-34
 7.079456e+01     6.600424e-34
 7.943284e+01     5.601268e-34
 8.912515e+01     4.769240e-34
 1.000000e+02     4.076844e-34
 1.120000e+02     3.507212e-34
 1.250000e+02     3.044178e-34
 1.400000e+02     2.643574e-34
 1.550000e+02     2.339592e-34
 1.650000e+02     2.175924e-34
 1.750000e+02     2.037996e-34
 1.850000e+02     1.926298e-34
 1.900000e+02     1.891054e-34
 1.950000e+02     1.887021e-34
 2.000000e+02     1.948802e-34
 2.050000e+02     2.149145e-34
 2.100000e+02     2.634471e-34
 2.150000e+02     3.688292e-34
 2.180000e+02     4.798855e-34
 2.210000e+02     6.476737e-34
 2.240000e+02     8.976183e-34
 2.260000e+02     1.126934e-33
 2.270000e+02     1.265283e-33
 2.275000e+02     1.341224e-33
 2.278400e+02     1.395626e-33
 2.380000e+02     1.185396e-24
 2.500000e+02     1.211445e-24
 2.700000e+02     1.253309e-24
 2.900000e+02     1.293168e-24
 3.035000e+02     1.318940e-24
 3.037800e+02     1.319475e-24
 3.045000e+02     1.320792e-24
 3.060000e+02     1.323576e-24
 3.080000e+02     1.327298e-24
 3.100000e+02     1.331013e-24
 3.120000e+02     1.334705e-24
 3.150000e+02     1.340188e-24
 3.200000e+02     1.349250e-24
 3.250000e+02     1.358162e-24
 3.300000e+02     1.366969e-24
 3.400000e+02     1.384289e-24
 3.600000e+02     1.417655e-24
 3.800000e+02     1.449549e-24
 4.050000e+02     1.487523e-24
 4.250000e+02     1.516876e-24
 4.500000e+02     1.551977e-24
 4.650000e+02     1.573350e-24
 4.750000e+02     1.587269e-24
 4.820000e+02     1.596921e-24
 4.870000e+02     1.603684e-24
 4.910000e+02     1.609093e-24
 4.950000e+02     1.614468e-24
 4.980000e+02     1.618443e-24
 5.000000e+02     1.621111e-24
 5.020000e+02     1.624092e-24
 5.039800e+02     1.627107e-24
 5.100000e+02     2.302854e-24
 5.250000e+02     2.316112e-24
 5.600000e+02     2.348944e-24
 6.000000e+02     2.395984e-24
 6.500000e+02     2.499051e-24
 7.000000e+02     2.670511e-24
 7.500000e+02     2.958229e-24
 8.000000e+02     3.390220e-24
 8.300000e+02     3.744717e-24
 8.600000e+02     4.180704e-24
 8.800000e+02     4.521673e-24
 8.900000e+02     4.708364e-24
 8.960000e+02     4.825703e-24
 9.000000e+02     4.906032e-24
 9.030000e+02     4.967717e-24
 9.060000e+02     5.030222e-24
 9.090000e+02     5.094060e-24
 9.117800e+02     5.153901e-24
 9.300000e+02     9.787630e-22
 9.500000e+02     2.064838e-21
 9.750000e+02     4.351181e-21
 9.900000e+02     5.048816e-21
 1.005000e+03     6.097173e-21
 1.025000e+03     7.719844e-21
 1.045000e+03     9.049537e-21
 1.065000e+03     1.074541e-20
 1.085000e+03     1.241056e-20
 1.105000e+03     1.379383e-20
 1.125000e+03     1.529034e-20
 1.145000e+03     1.629505e-20
 1.165000e+03     1.727218e-20
 1.185000e+03     1.781214e-20
 1.205000e+03     1.820551e-20
 1.215600e+03     1.830827e-20
 1.215670e+03     2.339669e-20
 1.216000e+03     2.339787e-20
 1.218000e+03     2.340122e-20
 1.221000e+03     2.339464e-20
 1.225000e+03     2.337054e-20
 1.230000e+03     2.335349e-20
 1.240000e+03     2.335693e-20
 1.250000e+03     2.330448e-20
 1.265000e+03     2.329127e-20
 1.285000e+03     2.350216e-20
 1.305000e+03     2.382747e-20
 1.325000e+03     2.387268e-20
 1.345000e+03     2.378325e-20
 1.365000e+03     2.410441e-20
 1.385000e+03     2.426486e-20
 1.405000e+03     2.419258e-20
 1.425000e+03     2.394896e-20
 1.442000e+03     2.388059e-20
 1.455000e+03     2.404488e-20
