## EBL from Khaire & Srianand 2018; Q17 Model with alpha=-1.7 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     7.597235e-37
 1.122019e-08     1.106693e-36
 1.258925e-08     1.597804e-36
 1.412538e-08     2.274400e-36
 1.584893e-08     3.184200e-36
 1.778279e-08     4.382028e-36
 1.995263e-08     5.930714e-36
 2.238721e-08     7.902156e-36
 2.511887e-08     1.037868e-35
 2.818382e-08     1.345440e-35
 3.162278e-08     1.723715e-35
 3.548135e-08     2.185035e-35
 3.981071e-08     2.743564e-35
 4.466837e-08     3.415583e-35
 5.011870e-08     4.219809e-35
 5.623413e-08     5.177841e-35
 6.309576e-08     6.314585e-35
 7.079456e-08     7.658807e-35
 7.943284e-08     9.243813e-35
 8.912505e-08     1.110808e-34
 1.000000e-07     1.329624e-34
 1.122019e-07     1.585992e-34
 1.258925e-07     1.885892e-34
 1.412538e-07     2.236264e-34
 1.584892e-07     2.645132e-34
 1.778279e-07     3.121822e-34
 1.995263e-07     3.677121e-34
 2.238721e-07     4.323535e-34
 2.511887e-07     5.075571e-34
 2.818382e-07     5.950025e-34
 3.162278e-07     6.966389e-34
 3.548136e-07     8.147232e-34
 3.981071e-07     9.518701e-34
 4.466837e-07     1.111115e-33
 5.011870e-07     1.295969e-33
 5.623413e-07     1.510507e-33
 6.309576e-07     1.759449e-33
 7.079456e-07     2.048260e-33
 7.943284e-07     2.383286e-33
 8.912505e-07     2.771865e-33
 1.000000e-06     3.222518e-33
 1.122019e-06     3.745105e-33
 1.258925e-06     4.351049e-33
 1.412538e-06     5.053613e-33
 1.584893e-06     5.868133e-33
 1.778279e-06     6.812405e-33
 1.995263e-06     7.907047e-33
 2.238721e-06     9.175929e-33
 2.511887e-06     1.064675e-32
 2.818382e-06     1.235157e-32
 3.162278e-06     1.432757e-32
 3.548136e-06     1.661782e-32
 3.981071e-06     1.927220e-32
 4.466837e-06     2.234861e-32
 5.011870e-06     2.591398e-32
 5.623413e-06     3.004607e-32
 6.309576e-06     3.483483e-32
 7.079456e-06     4.038448e-32
 7.943284e-06     4.681596e-32
 8.912505e-06     5.426919e-32
 1.000000e-05     6.290658e-32
 1.122019e-05     7.291606e-32
 1.258925e-05     8.451541e-32
 1.412538e-05     9.795735e-32
 1.584893e-05     1.135342e-31
 1.778279e-05     1.315851e-31
 1.995263e-05     1.525030e-31
 2.238721e-05     1.767428e-31
 2.511887e-05     2.048323e-31
 2.818382e-05     2.373824e-31
 3.162278e-05     2.751020e-31
 3.548135e-05     3.188114e-31
 3.981071e-05     3.694615e-31
 4.466837e-05     4.281552e-31
 5.011870e-05     4.961684e-31
 5.623413e-05     5.749823e-31
