## EBL from Khaire & Srianand 2018; Q17 Model with alpha=-1.7 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.988874e-37
 1.122019e-08     2.900619e-37
 1.258925e-08     4.209867e-37
 1.412538e-08     6.056030e-37
 1.584893e-08     8.608708e-37
 1.778279e-08     1.206907e-36
 1.995263e-08     1.667123e-36
 2.238721e-08     2.268443e-36
 2.511887e-08     3.041695e-36
 2.818382e-08     4.022079e-36
 3.162278e-08     5.249842e-36
 3.548135e-08     6.770991e-36
 3.981071e-08     8.638206e-36
 4.466837e-08     1.091192e-35
 5.011870e-08     1.366142e-35
 5.623413e-08     1.696649e-35
 6.309576e-08     2.091887e-35
 7.079456e-08     2.562431e-35
 7.943284e-08     3.120498e-35
 8.912505e-08     3.780184e-35
 1.000000e-07     4.557814e-35
 1.122019e-07     5.472257e-35
 1.258925e-07     6.545349e-35
 1.412538e-07     7.802426e-35
 1.584892e-07     9.272774e-35
 1.778279e-07     1.099041e-34
 1.995263e-07     1.299467e-34
 2.238721e-07     1.533118e-34
 2.511887e-07     1.805284e-34
 2.818382e-07     2.122091e-34
 3.162278e-07     2.490648e-34
 3.548136e-07     2.919187e-34
 3.981071e-07     3.417244e-34
 4.466837e-07     3.995890e-34
 5.011870e-07     4.667932e-34
 5.623413e-07     5.448239e-34
 6.309576e-07     6.354021e-34
 7.079456e-07     7.405220e-34
 7.943284e-07     8.624981e-34
 8.912505e-07     1.004007e-33
 1.000000e-06     1.168158e-33
 1.122019e-06     1.358548e-33
 1.258925e-06     1.579344e-33
 1.412538e-06     1.835386e-33
 1.584893e-06     2.132267e-33
 1.778279e-06     2.476480e-33
 1.995263e-06     2.875549e-33
 2.238721e-06     3.338181e-33
 2.511887e-06     3.874482e-33
 2.818382e-06     4.496147e-33
 3.162278e-06     5.216746e-33
 3.548136e-06     6.051991e-33
 3.981071e-06     7.020079e-33
 4.466837e-06     8.142129e-33
 5.011870e-06     9.442570e-33
 5.623413e-06     1.094977e-32
 6.309576e-06     1.269655e-32
 7.079456e-06     1.472092e-32
 7.943284e-06     1.706703e-32
 8.912505e-06     1.978591e-32
 1.000000e-05     2.293682e-32
 1.122019e-05     2.658833e-32
 1.258925e-05     3.081988e-32
 1.412538e-05     3.572371e-32
 1.584893e-05     4.140643e-32
 1.778279e-05     4.799182e-32
 1.995263e-05     5.562321e-32
 2.238721e-05     6.446660e-32
 2.511887e-05     7.471457e-32
 2.818382e-05     8.659000e-32
 3.162278e-05     1.003515e-31
 3.548135e-05     1.162984e-31
 3.981071e-05     1.347776e-31
 4.466837e-05     1.561915e-31
 5.011870e-05     1.810057e-31
 5.623413e-05     2.097606e-31
 6.309577e-05     2.430816e-31
 7.079457e-05     2.816933e-31
 7.943284e-05     3.264365e-31
 8.912505e-05     3.782840e-31
 1.000000e-04     4.383648e-31
 1.122018e-04     5.079850e-31
 1.258926e-04     5.886553e-31
 1.412538e-04     6.818325e-31
 1.584893e-04     7.893347e-31
 1.778279e-04     9.133440e-31
 1.995262e-04     1.056468e-30
 2.238722e-04     1.221846e-30
 2.511887e-04     1.413247e-30
 2.818383e-04     1.635171e-30
 3.162278e-04     1.892945e-30
 3.548134e-04     2.192851e-30
 3.981073e-04     2.542282e-30
 4.466837e-04     2.949935e-30
 5.011873e-04     3.426059e-30
 5.623413e-04     3.982747e-30
 6.309572e-04     4.634286e-30
 7.079460e-04     5.397582e-30
 7.943284e-04     6.292640e-30
 8.912510e-04     7.343182e-30
 1.000000e-03     8.577341e-30
 1.122018e-03     1.002850e-29
 1.258926e-03     1.173634e-29
 1.412538e-03     1.374795e-29
 1.584893e-03     1.611937e-29
 1.778279e-03     1.891726e-29
 1.995262e-03     2.222098e-29
 2.238722e-03     2.612502e-29
 2.511887e-03     3.074193e-29
 2.818383e-03     3.620592e-29
 3.162278e-03     4.267708e-29
 3.548133e-03     5.034629e-29
 3.981073e-03     5.944154e-29
 4.466837e-03     7.023482e-29
 5.011873e-03     8.305124e-29
 5.623413e-03     9.827929e-29
 6.309573e-03     1.163839e-28
 7.079460e-03     1.379224e-28
 7.943284e-03     1.635646e-28
 8.912510e-03     1.941199e-28
 1.000000e-02     2.305714e-28
 1.122019e-02     2.741216e-28
 1.258925e-02     3.262495e-28
 1.412538e-02     3.887865e-28
 1.584894e-02     4.639996e-28
 1.778279e-02     5.546969e-28
 1.995263e-02     6.643442e-28
 2.238721e-02     7.971857e-28
 2.511887e-02     9.583883e-28
 2.818385e-02     1.154183e-27
 3.162277e-02     1.392021e-27
 3.548136e-02     1.680769e-27
 3.981071e-02     2.030877e-27
 4.466837e-02     2.454654e-27
 5.011876e-02     2.966521e-27
 5.623413e-02     3.583369e-27
 6.309576e-02     4.325011e-27
 7.079456e-02     5.214660e-27
 7.943284e-02     6.279648e-27
 8.912515e-02     7.552153e-27
 1.000000e-01     9.070181e-27
 1.122019e-01     1.087888e-26
 1.258925e-01     1.302487e-26
 1.412538e-01     1.554008e-26
 1.584894e-01     1.844423e-26
 1.778279e-01     2.174230e-26
 1.995263e-01     2.542400e-26
 2.238721e-01     2.946558e-26
 2.511887e-01     3.383406e-26
 2.818385e-01     3.849150e-26
 3.162278e-01     4.339906e-26
 3.548135e-01     4.852002e-26
 3.981071e-01     5.382121e-26
 4.466837e-01     5.927405e-26
 5.011876e-01     6.485450e-26
 5.623413e-01     7.054299e-26
 6.309576e-01     7.632433e-26
 7.079456e-01     8.218691e-26
 7.943284e-01     8.812276e-26
 8.912515e-01     9.412668e-26
 1.000000e+00     1.001962e-25
 1.122019e+00     1.063311e-25
 1.258925e+00     1.125328e-25
 1.412538e+00     1.188044e-25
 1.584894e+00     1.251498e-25
 1.778279e+00     1.315742e-25
 1.995263e+00     1.380831e-25
 2.238721e+00     1.446824e-25
 2.511887e+00     1.513786e-25
 2.818385e+00     1.581783e-25
 3.162278e+00     1.650866e-25
 3.548136e+00     1.720758e-25
 3.981071e+00     1.791937e-25
 4.466837e+00     1.865391e-25
 5.011876e+00     1.942653e-25
 5.623413e+00     2.025848e-25
 6.309576e+00     2.117626e-25
 7.079456e+00     2.219299e-25
 7.943284e+00     2.333740e-25
 8.912516e+00     2.464932e-25
 1.000000e+01     2.618114e-25
 1.122019e+01     2.800085e-25
 1.258925e+01     3.019342e-25
 1.412538e+01     3.286160e-25
 1.584894e+01     3.612611e-25
 1.778279e+01     4.012663e-25
 1.995263e+01     4.502297e-25
 2.238721e+01     5.099532e-25
 2.511887e+01     5.824314e-25
 2.818385e+01     6.697972e-25
 3.162278e+01     7.742120e-25
 3.548135e+01     8.976860e-25
 3.981071e+01     1.041810e-24
 4.466837e+01     1.207460e-24
 5.011876e+01     1.394452e-24
 5.623413e+01     1.600718e-24
 6.309576e+01     1.817320e-24
 7.079456e+01     2.061805e-24
 7.943284e+01     2.334123e-24
 8.912515e+01     2.637403e-24
 1.000000e+02     2.974084e-24
 1.120000e+02     3.362095e-24
 1.250000e+02     3.798465e-24
 1.400000e+02     4.312598e-24
 1.550000e+02     4.829197e-24
 1.650000e+02     5.163605e-24
 1.750000e+02     5.495862e-24
 1.850000e+02     5.818373e-24
 1.900000e+02     5.974258e-24
 1.950000e+02     6.132232e-24
 2.000000e+02     6.289303e-24
 2.050000e+02     6.452650e-24
 2.100000e+02     6.628359e-24
 2.150000e+02     6.842053e-24
 2.180000e+02     7.003186e-24
 2.210000e+02     7.215051e-24
 2.240000e+02     7.490686e-24
 2.260000e+02     7.735696e-24
 2.270000e+02     7.874984e-24
 2.275000e+02     7.954862e-24
 2.278400e+02     8.008263e-24
 2.380000e+02     9.040426e-24
 2.500000e+02     1.032884e-23
 2.700000e+02     1.264437e-23
 2.900000e+02     1.508412e-23
 3.035000e+02     1.680694e-23
 3.037800e+02     2.017303e-23
 3.045000e+02     2.028438e-23
 3.060000e+02     2.052194e-23
 3.080000e+02     2.083955e-23
 3.100000e+02     2.114360e-23
 3.120000e+02     2.154537e-23
 3.150000e+02     2.199884e-23
 3.200000e+02     2.275563e-23
 3.250000e+02     2.353067e-23
 3.300000e+02     2.432137e-23
 3.400000e+02     2.590205e-23
 3.600000e+02     2.909286e-23
 3.800000e+02     3.223717e-23
 4.050000e+02     3.602693e-23
 4.250000e+02     3.920858e-23
 4.500000e+02     4.298482e-23
 4.650000e+02     4.513841e-23
 4.750000e+02     4.657275e-23
 4.820000e+02     4.767231e-23
 4.870000e+02     4.834188e-23
 4.910000e+02     4.888504e-23
 4.950000e+02     4.942081e-23
 4.980000e+02     4.982563e-23
 5.000000e+02     5.008904e-23
 5.020000e+02     5.035825e-23
 5.039800e+02     5.062501e-23
 5.100000e+02     5.151764e-23
 5.250000e+02     5.377420e-23
 5.600000e+02     5.868295e-23
 6.000000e+02     6.440656e-23
 6.500000e+02     7.159728e-23
 7.000000e+02     7.966460e-23
 7.500000e+02     8.849142e-23
 8.000000e+02     9.791004e-23
 8.300000e+02     1.042069e-22
 8.600000e+02     1.106630e-22
 8.800000e+02     1.155129e-22
 8.900000e+02     1.178572e-22
 8.960000e+02     1.192797e-22
 9.000000e+02     1.202359e-22
 9.030000e+02     1.209570e-22
 9.060000e+02     1.216816e-22
 9.090000e+02     1.224098e-22
 9.117800e+02     1.233712e-22
 9.300000e+02     1.610440e-22
 9.500000e+02     2.112608e-22
 9.750000e+02     2.340156e-22
 9.900000e+02     2.891809e-22
 1.005000e+03     3.145281e-22
 1.025000e+03     3.601543e-22
 1.045000e+03     4.141940e-22
 1.065000e+03     4.958497e-22
 1.085000e+03     5.749597e-22
 1.105000e+03     6.629458e-22
 1.125000e+03     7.517334e-22
 1.145000e+03     8.381645e-22
 1.165000e+03     9.473184e-22
 1.185000e+03     1.050849e-21
 1.205000e+03     1.155361e-21
 1.215600e+03     1.203007e-21
 1.215670e+03     1.222235e-21
 1.216000e+03     1.223485e-21
 1.218000e+03     1.231828e-21
 1.221000e+03     1.244686e-21
 1.225000e+03     1.260819e-21
 1.230000e+03     1.282665e-21
 1.240000e+03     1.335441e-21
 1.250000e+03     1.390968e-21
 1.265000e+03     1.492500e-21
 1.285000e+03     1.622299e-21
 1.305000e+03     1.760470e-21
 1.325000e+03     1.897838e-21
 1.345000e+03     2.047516e-21
 1.365000e+03     2.199901e-21
 1.385000e+03     2.359264e-21
 1.405000e+03     2.512928e-21
 1.425000e+03     2.663337e-21
 1.442000e+03     2.795287e-21
 1.455000e+03     2.898700e-21
 1.475000e+03     3.063382e-21
 1.517000e+03     3.402317e-21
 1.595000e+03     4.016792e-21
 1.672000e+03     4.655038e-21
 1.745000e+03     5.250145e-21
 1.825000e+03     5.921571e-21
 1.905000e+03     6.555432e-21
 1.984000e+03     7.160170e-21
 2.065000e+03     7.746318e-21
 2.135000e+03     8.207913e-21
 2.215000e+03     8.713038e-21
 2.295000e+03     9.198758e-21
 2.375000e+03     9.694004e-21
 2.455000e+03     1.019528e-20
 2.525000e+03     1.064187e-20
 2.605000e+03     1.115060e-20
 2.685000e+03     1.171440e-20
 2.765000e+03     1.225186e-20
 2.845000e+03     1.275117e-20
 2.950000e+03     1.347219e-20
 3.110000e+03     1.460676e-20
 3.270000e+03     1.571989e-20
 3.430000e+03     1.685321e-20
 3.590000e+03     1.796013e-20
 3.730000e+03     1.896526e-20
 3.890000e+03     2.060831e-20
 4.050000e+03     2.229706e-20
 4.210000e+03     2.481156e-20
