## EBL from Khaire & Srianand 2018; Q17 Model with alpha=-1.7 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.017436e-36
 1.122019e-08     1.481195e-36
 1.258925e-08     2.132180e-36
 1.412538e-08     3.019198e-36
 1.584893e-08     4.198618e-36
 1.778279e-08     5.735422e-36
 1.995263e-08     7.704266e-36
 2.238721e-08     1.019068e-35
 2.511887e-08     1.329262e-35
 2.818382e-08     1.712208e-35
 3.162278e-08     2.180738e-35
 3.548135e-08     2.749551e-35
 3.981071e-08     3.435519e-35
 4.466837e-08     4.258060e-35
 5.011870e-08     5.239514e-35
 5.623413e-08     6.405687e-35
 6.309576e-08     7.786355e-35
 7.079456e-08     9.415932e-35
 7.943284e-08     1.133429e-34
 8.912505e-08     1.358750e-34
 1.000000e-07     1.622902e-34
 1.122019e-07     1.932071e-34
 1.258925e-07     2.293422e-34
 1.412538e-07     2.715272e-34
 1.584892e-07     3.207240e-34
 1.778279e-07     3.780500e-34
 1.995263e-07     4.447983e-34
 2.238721e-07     5.224675e-34
 2.511887e-07     6.127966e-34
 2.818382e-07     7.177987e-34
 3.162278e-07     8.398099e-34
 3.548136e-07     9.815351e-34
 3.981071e-07     1.146108e-33
 4.466837e-07     1.337167e-33
 5.011870e-07     1.558918e-33
 5.623413e-07     1.816249e-33
 6.309576e-07     2.114812e-33
 7.079456e-07     2.461160e-33
 7.943284e-07     2.862896e-33
 8.912505e-07     3.328816e-33
 1.000000e-06     3.869129e-33
 1.122019e-06     4.495653e-33
 1.258925e-06     5.222080e-33
 1.412538e-06     6.064302e-33
 1.584893e-06     7.040697e-33
 1.778279e-06     8.172593e-33
 1.995263e-06     9.484699e-33
 2.238721e-06     1.100563e-32
 2.511887e-06     1.276856e-32
 2.818382e-06     1.481191e-32
 3.162278e-06     1.718026e-32
 3.548136e-06     1.992523e-32
 3.981071e-06     2.310657e-32
 4.466837e-06     2.679366e-32
 5.011870e-06     3.106674e-32
 5.623413e-06     3.601898e-32
 6.309576e-06     4.175816e-32
 7.079456e-06     4.840921e-32
 7.943284e-06     5.611706e-32
 8.912505e-06     6.504937e-32
 1.000000e-05     7.540076e-32
 1.122019e-05     8.739648e-32
 1.258925e-05     1.012975e-31
 1.412538e-05     1.174067e-31
 1.584893e-05     1.360743e-31
 1.778279e-05     1.577068e-31
 1.995263e-05     1.827751e-31
 2.238721e-05     2.118243e-31
 2.511887e-05     2.454870e-31
 2.818382e-05     2.844953e-31
 3.162278e-05     3.296986e-31
 3.548135e-05     3.820801e-31
 3.981071e-05     4.427793e-31
 4.466837e-05     5.131177e-31
 5.011870e-05     5.946245e-31
 5.623413e-05     6.890749e-31
 6.309577e-05     7.985232e-31
 7.079457e-05     9.253492e-31
 7.943284e-05     1.072315e-30
 8.912505e-05     1.242614e-30
 1.000000e-04     1.439957e-30
 1.122018e-04     1.668633e-30
 1.258926e-04     1.933507e-30
 1.412538e-04     2.236708e-30
 1.584893e-04     2.585186e-30
 1.778279e-04     2.987406e-30
 1.995262e-04     3.453182e-30
 2.238722e-04     3.993876e-30
 2.511887e-04     4.622673e-30
 2.818383e-04     5.354976e-30
 3.162278e-04     6.208851e-30
 3.548134e-04     7.205548e-30
 3.981073e-04     8.370142e-30
 4.466837e-04     9.732238e-30
 5.011873e-04     1.132686e-29
 5.623413e-04     1.319546e-29
 6.309572e-04     1.538717e-29
 7.079460e-04     1.796023e-29
 7.943284e-04     2.098367e-29
 8.912510e-04     2.453953e-29
 1.000000e-03     2.872523e-29
 1.122018e-03     3.365651e-29
 1.258926e-03     3.947113e-29
 1.412538e-03     4.633281e-29
 1.584893e-03     5.443659e-29
 1.778279e-03     6.401480e-29
 1.995262e-03     7.534425e-29
 2.238722e-03     8.875498e-29
 2.511887e-03     1.046404e-28
 2.818383e-03     1.234702e-28
 3.162278e-03     1.458051e-28
 3.548133e-03     1.723142e-28
 3.981073e-03     2.037974e-28
 4.466837e-03     2.412099e-28
 5.011873e-03     2.856942e-28
 5.623413e-03     3.386185e-28
 6.309573e-03     4.016236e-28
 7.079460e-03     4.766862e-28
 7.943284e-03     5.662003e-28
 8.912510e-03     6.730912e-28
 1.000000e-02     8.009630e-28
 1.122019e-02     9.542912e-28
 1.258925e-02     1.138654e-27
 1.412538e-02     1.361018e-27
 1.584894e-02     1.630025e-27
 1.778279e-02     1.956322e-27
 1.995263e-02     2.352905e-27
 2.238721e-02     2.835425e-27
 2.511887e-02     3.422581e-27
 2.818385e-02     4.136481e-27
 3.162277e-02     5.003089e-27
 3.548136e-02     6.052814e-27
 3.981071e-02     7.321091e-27
 4.466837e-02     8.849345e-27
 5.011876e-02     1.068596e-26
 5.623413e-02     1.288761e-26
 6.309576e-02     1.552100e-26
 7.079456e-02     1.866468e-26
 7.943284e-02     2.241167e-26
 8.912515e-02     2.687212e-26
 1.000000e-01     3.217689e-26
 1.122019e-01     3.848366e-26
 1.258925e-01     4.587556e-26
 1.412538e-01     5.425596e-26
 1.584894e-01     6.351150e-26
 1.778279e-01     7.352761e-26
 1.995263e-01     8.419657e-26
 2.238721e-01     9.542054e-26
 2.511887e-01     1.071134e-25
 2.818385e-01     1.192005e-25
 3.162278e-01     1.316178e-25
 3.548135e-01     1.443121e-25
 3.981071e-01     1.572398e-25
 4.466837e-01     1.703669e-25
 5.011876e-01     1.836679e-25
 5.623413e-01     1.971246e-25
 6.309576e-01     2.107267e-25
 7.079456e-01     2.244688e-25
 7.943284e-01     2.383515e-25
 8.912515e-01     2.523791e-25
 1.000000e+00     2.665592e-25
 1.122019e+00     2.809023e-25
 1.258925e+00     2.954201e-25
 1.412538e+00     3.101264e-25
 1.584894e+00     3.250350e-25
 1.778279e+00     3.401605e-25
 1.995263e+00     3.555178e-25
 2.238721e+00     3.711221e-25
 2.511887e+00     3.869891e-25
 2.818385e+00     4.031357e-25
 3.162278e+00     4.195423e-25
 3.548136e+00     4.358750e-25
 3.981071e+00     4.529553e-25
 4.466837e+00     4.716029e-25
 5.011876e+00     4.926092e-25
 5.623413e+00     5.167810e-25
 6.309576e+00     5.448971e-25
 7.079456e+00     5.757489e-25
 7.943284e+00     6.113176e-25
 8.912516e+00     6.539147e-25
 1.000000e+01     7.060160e-25
 1.122019e+01     7.703119e-25
 1.258925e+01     8.497935e-25
 1.412538e+01     9.478558e-25
 1.584894e+01     1.068369e-24
 1.778279e+01     1.215722e-24
 1.995263e+01     1.394793e-24
 2.238721e+01     1.610808e-24
 2.511887e+01     1.869068e-24
 2.818385e+01     2.174454e-24
 3.162278e+01     2.530648e-24
 3.548135e+01     2.939147e-24
 3.981071e+01     3.394788e-24
 4.466837e+01     3.875330e-24
 5.011876e+01     4.444555e-24
 5.623413e+01     5.044061e-24
 6.309576e+01     5.700828e-24
 7.079456e+01     6.414694e-24
 7.943284e+01     7.263435e-24
 8.912515e+01     8.219274e-24
 1.000000e+02     9.344202e-24
 1.120000e+02     1.063518e-23
 1.250000e+02     1.203034e-23
 1.400000e+02     1.360576e-23
 1.550000e+02     1.513024e-23
 1.650000e+02     1.611819e-23
 1.750000e+02     1.705203e-23
 1.850000e+02     1.793238e-23
 1.900000e+02     1.836611e-23
 1.950000e+02     1.882998e-23
 2.000000e+02     1.928641e-23
 2.050000e+02     1.981696e-23
 2.100000e+02     2.054886e-23
 2.150000e+02     2.165013e-23
 2.180000e+02     2.267670e-23
 2.210000e+02     2.415231e-23
 2.240000e+02     2.624431e-23
 2.260000e+02     2.814174e-23
 2.270000e+02     2.935337e-23
 2.275000e+02     2.998826e-23
 2.278400e+02     3.047830e-23
 2.380000e+02     3.789822e-23
 2.500000e+02     4.562028e-23
 2.700000e+02     5.785679e-23
 2.900000e+02     6.923180e-23
 3.035000e+02     7.622398e-23
 3.037800e+02     1.161026e-22
 3.045000e+02     1.161773e-22
 3.060000e+02     1.164084e-22
 3.080000e+02     1.167433e-22
