## EBL from Khaire & Srianand 2018; Q17 Model with alpha=-1.7 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.886035e-37
 1.122019e-08     2.741822e-37
 1.258925e-08     3.924213e-37
 1.412538e-08     5.507189e-37
 1.584893e-08     7.578789e-37
 1.778279e-08     1.024164e-36
 1.995263e-08     1.361391e-36
 2.238721e-08     1.783087e-36
 2.511887e-08     2.304726e-36
 2.818382e-08     2.943987e-36
 3.162278e-08     3.721133e-36
 3.548135e-08     4.659392e-36
 3.981071e-08     5.785463e-36
 4.466837e-08     7.130114e-36
 5.011870e-08     8.728786e-36
 5.623413e-08     1.062247e-35
 6.309576e-08     1.285849e-35
 7.079456e-08     1.549161e-35
 7.943284e-08     1.858528e-35
 8.912505e-08     2.221290e-35
 1.000000e-07     2.645961e-35
 1.122019e-07     3.142398e-35
 1.258925e-07     3.722018e-35
 1.412538e-07     4.398078e-35
 1.584892e-07     5.185908e-35
 1.778279e-07     6.103319e-35
 1.995263e-07     7.170921e-35
 2.238721e-07     8.412600e-35
 2.511887e-07     9.856075e-35
 2.818382e-07     1.153343e-34
 3.162278e-07     1.348190e-34
 3.548136e-07     1.574460e-34
 3.981071e-07     1.837147e-34
 4.466837e-07     2.142049e-34
 5.011870e-07     2.495872e-34
 5.623413e-07     2.906402e-34
 6.309576e-07     3.382650e-34
 7.079456e-07     3.935059e-34
 7.943284e-07     4.575745e-34
 8.912505e-07     5.318725e-34
 1.000000e-06     6.180270e-34
 1.122019e-06     7.179216e-34
 1.258925e-06     8.337380e-34
 1.412538e-06     9.680088e-34
 1.584893e-06     1.123663e-33
 1.778279e-06     1.304100e-33
 1.995263e-06     1.513256e-33
 2.238721e-06     1.755691e-33
 2.511887e-06     2.036695e-33
 2.818382e-06     2.362388e-33
 3.162278e-06     2.739876e-33
 3.548136e-06     3.177382e-33
 3.981071e-06     3.684431e-33
 4.466837e-06     4.272078e-33
 5.011870e-06     4.953113e-33
 5.623413e-06     5.742379e-33
 6.309576e-06     6.657056e-33
 7.079456e-06     7.717050e-33
 7.943284e-06     8.945459e-33
 8.912505e-06     1.036900e-32
 1.000000e-05     1.201869e-32
 1.122019e-05     1.393042e-32
 1.258925e-05     1.614578e-32
 1.412538e-05     1.871304e-32
 1.584893e-05     2.168801e-32
 1.778279e-05     2.513548e-32
 1.995263e-05     2.913047e-32
 2.238721e-05     3.375987e-32
 2.511887e-05     3.912449e-32
 2.818382e-05     4.534097e-32
 3.162278e-05     5.254469e-32
 3.548135e-05     6.089233e-32
 3.981071e-05     7.056550e-32
 4.466837e-05     8.177476e-32
 5.011870e-05     9.476384e-32
 5.623413e-05     1.098156e-31
 6.309577e-05     1.272574e-31
 7.079457e-05     1.474686e-31
 7.943284e-05     1.708891e-31
 8.912505e-05     1.980283e-31
 1.000000e-04     2.294770e-31
 1.122018e-04     2.659190e-31
 1.258926e-04     3.080978e-31
 1.412538e-04     3.560421e-31
 1.584893e-04     4.112140e-31
 1.778279e-04     4.750835e-31
 1.995262e-04     5.492451e-31
 2.238722e-04     6.355093e-31
 2.511887e-04     7.359771e-31
 2.818383e-04     8.531135e-31
 3.162278e-04     9.898209e-31
 3.548134e-04     1.149524e-30
 3.981073e-04     1.336272e-30
 4.466837e-04     1.554851e-30
 5.011873e-04     1.810928e-30
 5.623413e-04     2.111216e-30
 6.309572e-04     2.463673e-30
 7.079460e-04     2.877739e-30
 7.943284e-04     3.364616e-30
 8.912510e-04     3.937610e-30
 1.000000e-03     4.612535e-30
 1.122018e-03     5.408189e-30
 1.258926e-03     6.346955e-30
 1.412538e-03     7.455444e-30
 1.584893e-03     8.765368e-30
 1.778279e-03     1.031452e-29
 1.995262e-03     1.214794e-29
 2.238722e-03     1.431934e-29
 2.511887e-03     1.689279e-29
 2.818383e-03     1.994479e-29
 3.162278e-03     2.356668e-29
 3.548133e-03     2.786751e-29
 3.981073e-03     3.297765e-29
 4.466837e-03     3.905288e-29
 5.011873e-03     4.627959e-29
 5.623413e-03     5.488109e-29
 6.309573e-03     6.512571e-29
 7.079460e-03     7.733751e-29
 7.943284e-03     9.191063e-29
 8.912510e-03     1.093293e-28
 1.000000e-02     1.301938e-28
 1.122019e-02     1.552532e-28
 1.258925e-02     1.854447e-28
 1.412538e-02     2.219386e-28
 1.584894e-02     2.661835e-28
 1.778279e-02     3.199548e-28
 1.995263e-02     3.854040e-28
 2.238721e-02     4.651030e-28
 2.511887e-02     5.621006e-28
 2.818385e-02     6.799772e-28
 3.162277e-02     8.229149e-28
 3.548136e-02     9.957945e-28
 3.981071e-02     1.204293e-27
 4.466837e-02     1.455046e-27
 5.011876e-02     1.755813e-27
 5.623413e-02     2.115697e-27
 6.309576e-02     2.545442e-27
 7.079456e-02     3.057727e-27
 7.943284e-02     3.667602e-27
 8.912515e-02     4.392922e-27
 1.000000e-01     5.254929e-27
 1.122019e-01     6.279714e-27
 1.258925e-01     7.467497e-27
 1.412538e-01     8.784224e-27
 1.584894e-01     1.020700e-26
 1.778279e-01     1.171891e-26
 1.995263e-01     1.330637e-26
 2.238721e-01     1.495780e-26
 2.511887e-01     1.666319e-26
 2.818385e-01     1.841386e-26
 3.162278e-01     2.020249e-26
 3.548135e-01     2.202307e-26
 3.981071e-01     2.387087e-26
 4.466837e-01     2.574235e-26
 5.011876e-01     2.763507e-26
 5.623413e-01     2.954754e-26
 6.309576e-01     3.147908e-26
 7.079456e-01     3.342983e-26
 7.943284e-01     3.540049e-26
 8.912515e-01     3.739219e-26
 1.000000e+00     3.940636e-26
 1.122019e+00     4.144473e-26
 1.258925e+00     4.350904e-26
 1.412538e+00     4.560116e-26
 1.584894e+00     4.772281e-26
 1.778279e+00     4.987562e-26
 1.995263e+00     5.206097e-26
 2.238721e+00     5.427988e-26
 2.511887e+00     5.653296e-26
 2.818385e+00     5.882014e-26
 3.162278e+00     6.112432e-26
 3.548136e+00     6.337665e-26
 3.981071e+00     6.579275e-26
 4.466837e+00     6.849968e-26
 5.011876e+00     7.158944e-26
 5.623413e+00     7.514537e-26
 6.309576e+00     7.920834e-26
 7.079456e+00     8.335541e-26
 7.943284e+00     8.805648e-26
 8.912516e+00     9.360598e-26
 1.000000e+01     1.002136e-25
 1.122019e+01     1.078045e-25
 1.258925e+01     1.163073e-25
 1.412538e+01     1.262198e-25
 1.584894e+01     1.368045e-25
 1.778279e+01     1.469530e-25
 1.995263e+01     1.597860e-25
 2.238721e+01     1.705698e-25
 2.511887e+01     1.793484e-25
 2.818385e+01     1.863292e-25
 3.162278e+01     1.901283e-25
 3.548135e+01     1.908750e-25
 3.981071e+01     1.877967e-25
 4.466837e+01     1.820013e-25
 5.011876e+01     1.739442e-25
 5.623413e+01     1.643180e-25
 6.309576e+01     1.540853e-25
 7.079456e+01     1.437733e-25
 7.943284e+01     1.339601e-25
 8.912515e+01     1.249209e-25
 1.000000e+02     1.168187e-25
 1.120000e+02     1.099678e-25
 1.250000e+02     1.043291e-25
 1.400000e+02     9.951978e-26
 1.550000e+02     9.597328e-26
 1.650000e+02     9.410377e-26
 1.750000e+02     9.262084e-26
 1.850000e+02     9.150529e-26
 1.900000e+02     9.138690e-26
 1.950000e+02     9.197064e-26
 2.000000e+02     9.406338e-26
 2.050000e+02     9.953764e-26
 2.100000e+02     1.120853e-25
 2.150000e+02     1.391540e-25
 2.180000e+02     1.676170e-25
 2.210000e+02     2.109833e-25
 2.240000e+02     2.757410e-25
 2.260000e+02     3.358052e-25
 2.270000e+02     3.720290e-25
 2.275000e+02     3.919343e-25
 2.278400e+02     4.062163e-25
 2.380000e+02     1.288395e-23
 2.500000e+02     2.814070e-23
 2.700000e+02     4.401662e-23
 2.900000e+02     5.421846e-23
 3.035000e+02     5.951088e-23
 3.037800e+02     8.820515e-23
 3.045000e+02     8.699368e-23
 3.060000e+02     8.497317e-23
 3.080000e+02     8.248229e-23
 3.100000e+02     8.047336e-23
 3.120000e+02     7.865300e-23
 3.150000e+02     7.654743e-23
 3.200000e+02     7.398063e-23
 3.250000e+02     7.250420e-23
 3.300000e+02     7.188536e-23
 3.400000e+02     7.224590e-23
 3.600000e+02     7.599461e-23
 3.800000e+02     8.104713e-23
 4.050000e+02     8.760734e-23
 4.250000e+02     9.293804e-23
 4.500000e+02     9.949944e-23
 4.650000e+02     1.034716e-22
 4.750000e+02     1.060675e-22
 4.820000e+02     1.079500e-22
 4.870000e+02     1.092103e-22
 4.910000e+02     1.102734e-22
 4.950000e+02     1.113456e-22
 4.980000e+02     1.121112e-22
 5.000000e+02     1.126814e-22
 5.020000e+02     1.131934e-22
 5.039800e+02     1.137004e-22
 5.100000e+02     1.192939e-22
 5.250000e+02     1.301559e-22
 5.600000e+02     1.472247e-22
 6.000000e+02     1.621266e-22
 6.500000e+02     1.791578e-22
 7.000000e+02     1.976933e-22
 7.500000e+02     2.202810e-22
 8.000000e+02     2.494247e-22
 8.300000e+02     2.708151e-22
 8.600000e+02     2.965466e-22
 8.800000e+02     3.163681e-22
 8.900000e+02     3.272167e-22
 8.960000e+02     3.339097e-22
 9.000000e+02     3.385843e-22
 9.030000e+02     3.422090e-22
 9.060000e+02     3.457499e-22
 9.090000e+02     3.494810e-22
 9.117800e+02     3.530118e-22
 9.300000e+02     8.213428e-22
 9.500000e+02     1.545117e-21
 9.750000e+02     2.752782e-21
 9.900000e+02     3.347224e-21
 1.005000e+03     4.054324e-21
 1.025000e+03     5.254886e-21
 1.045000e+03     6.295638e-21
 1.065000e+03     7.737803e-21
 1.085000e+03     9.188574e-21
 1.105000e+03     1.059875e-20
 1.125000e+03     1.211031e-20
 1.145000e+03     1.345604e-20
 1.165000e+03     1.495810e-20
 1.185000e+03     1.624103e-20
 1.205000e+03     1.751477e-20
 1.215600e+03     1.812062e-20
 1.215670e+03     1.946996e-20
 1.216000e+03     1.948404e-20
 1.218000e+03     1.956400e-20
 1.221000e+03     1.966749e-20
 1.225000e+03     1.980367e-20
 1.230000e+03     2.000983e-20
 1.240000e+03     2.056073e-20
 1.250000e+03     2.112311e-20
 1.265000e+03     2.224893e-20
 1.285000e+03     2.364001e-20
 1.305000e+03     2.518235e-20
 1.325000e+03     2.648203e-20
 1.345000e+03     2.784191e-20
 1.365000e+03     2.917172e-20
 1.385000e+03     3.057384e-20
 1.405000e+03     3.175783e-20
 1.425000e+03     3.282632e-20
 1.442000e+03     3.381082e-20
 1.455000e+03     3.458599e-20
 1.475000e+03     3.579480e-20
 1.517000e+03     3.764528e-20
 1.595000e+03     4.069908e-20
 1.672000e+03     4.340753e-20
 1.745000e+03     4.557276e-20
 1.825000e+03     4.766529e-20
 1.905000e+03     4.914922e-20
 1.984000e+03     5.031833e-20
 2.065000e+03     5.126929e-20
 2.135000e+03     5.168794e-20
 2.215000e+03     5.206879e-20
 2.295000e+03     5.240054e-20
 2.375000e+03     5.266784e-20
 2.455000e+03     5.301033e-20
 2.525000e+03     5.329250e-20
 2.605000e+03     5.366910e-20
 2.685000e+03     5.432706e-20
 2.765000e+03     5.473446e-20
 2.845000e+03     5.496354e-20
 2.950000e+03     5.548877e-20
 3.110000e+03     5.620501e-20
 3.270000e+03     5.672794e-20
 3.430000e+03     5.709785e-20
 3.590000e+03     5.741407e-20
 3.730000e+03     5.810221e-20
 3.890000e+03     6.157140e-20
 4.050000e+03     6.539720e-20
 4.210000e+03     7.080514e-20
