## EBL from Khaire & Srianand 2018; Q17 Model with alpha=-1.7 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.669996e-38
 1.122019e-08     2.439175e-38
 1.258925e-08     3.555959e-38
 1.412538e-08     5.164436e-38
 1.584893e-08     7.457849e-38
 1.778279e-08     1.068932e-37
 1.995263e-08     1.518174e-37
 2.238721e-08     2.133603e-37
 2.511887e-08     2.963771e-37
 2.818382e-08     4.066145e-37
 3.162278e-08     5.507672e-37
 3.548135e-08     7.365402e-37
 3.981071e-08     9.727555e-37
 4.466837e-08     1.269498e-36
 5.011870e-08     1.638286e-36
 5.623413e-08     2.092314e-36
 6.309576e-08     2.646686e-36
 7.079456e-08     3.318737e-36
 7.943284e-08     4.128399e-36
 8.912505e-08     5.098581e-36
 1.000000e-07     6.255715e-36
 1.122019e-07     7.630259e-36
 1.258925e-07     9.257373e-36
 1.412538e-07     1.117775e-35
 1.584892e-07     1.343837e-35
 1.778279e-07     1.609372e-35
 1.995263e-07     1.920680e-35
 2.238721e-07     2.285056e-35
 2.511887e-07     2.710963e-35
 2.818382e-07     3.208194e-35
 3.162278e-07     3.788113e-35
 3.548136e-07     4.463877e-35
 3.981071e-07     5.250732e-35
 4.466837e-07     6.166371e-35
 5.011870e-07     7.231265e-35
 5.623413e-07     8.469188e-35
 6.309576e-07     9.907656e-35
 7.079456e-07     1.157855e-34
 7.943284e-07     1.351887e-34
 8.912505e-07     1.577143e-34
 1.000000e-06     1.838592e-34
 1.122019e-06     2.141988e-34
 1.258925e-06     2.493995e-34
 1.412538e-06     2.902351e-34
 1.584893e-06     3.376002e-34
 1.778279e-06     3.925333e-34
 1.995263e-06     4.562375e-34
 2.238721e-06     5.301056e-34
 2.511887e-06     6.157536e-34
 2.818382e-06     7.150521e-34
 3.162278e-06     8.301717e-34
 3.548136e-06     9.636254e-34
 3.981071e-06     1.118323e-33
 4.466837e-06     1.297644e-33
 5.011870e-06     1.505495e-33
 5.623413e-06     1.746411e-33
 6.309576e-06     2.025645e-33
 7.079456e-06     2.349276e-33
 7.943284e-06     2.724364e-33
 8.912505e-06     3.159072e-33
 1.000000e-05     3.662881e-33
 1.122019e-05     4.246756e-33
 1.258925e-05     4.923404e-33
 1.412538e-05     5.707579e-33
 1.584893e-05     6.616336e-33
 1.778279e-05     7.669468e-33
 1.995263e-05     8.889907e-33
 2.238721e-05     1.030421e-32
 2.511887e-05     1.194316e-32
 2.818382e-05     1.384242e-32
 3.162278e-05     1.604337e-32
 3.548135e-05     1.859386e-32
 3.981071e-05     2.154941e-32
 4.466837e-05     2.497436e-32
 5.011870e-05     2.894319e-32
 5.623413e-05     3.354233e-32
 6.309577e-05     3.887183e-32
 7.079457e-05     4.504760e-32
 7.943284e-05     5.220414e-32
 8.912505e-05     6.049702e-32
 1.000000e-04     7.010684e-32
 1.122018e-04     8.124253e-32
 1.258926e-04     9.414643e-32
 1.412538e-04     1.090916e-31
 1.584893e-04     1.263919e-31
 1.778279e-04     1.464096e-31
 1.995262e-04     1.695591e-31
 2.238722e-04     1.963174e-31
 2.511887e-04     2.272373e-31
 2.818383e-04     2.629684e-31
 3.162278e-04     3.042817e-31
 3.548134e-04     3.520971e-31
 3.981073e-04     4.075148e-31
 4.466837e-04     4.718438e-31
 5.011873e-04     5.466367e-31
 5.623413e-04     6.337281e-31
 6.309572e-04     7.352809e-31
 7.079460e-04     8.538455e-31
 7.943284e-04     9.924282e-31
 8.912510e-04     1.154582e-30
 1.000000e-03     1.344507e-30
 1.122018e-03     1.567171e-30
